,0.3761,0.39315,0.4102,0.42725,0.4443,0.46135,0.4784,0.49545,0.5125,0.52955,0.5466,0.56365,0.5807,0.59775,0.6148,0.63185,0.6489,0.66595,0.683,0.70005,0.7171,0.73415,0.7512,0.76825,0.7853,0.80235,0.8194,0.83645,0.8535,0.87055,0.8876,0.90465,0.9217,0.93875,0.9558,0.97285,0.9899,1.00695,1.04105,1.07515,1.10925,1.14335,1.17745,1.21155,1.24565,1.2968,1.34795,1.41615,1.4673,1.5355,1.6037,1.65485,1.7401,1.8083,1.8765,2.047,2.13225,2.22602,2.3198,2.41357,2.51587,2.6267,2.73752,2.84835,2.9677,3.09557,3.22345,3.35985,3.50477,3.6497,3.80315,3.9566,4.1271,4.2976,4.48515,4.6727,4.86877,5.07337,5.2865,5.50815,5.73832,5.97702,6.23277,6.48852,6.76132,7.05117,7.34955,7.65645,7.97187,8.31287,8.6624,9.02897,9.40407,9.79622,10.214,10.6402,11.0835,11.5524,12.0383,12.5413,13.0698,13.6239,14.1951,14.7919,15.4057,16.0536,16.727,17.4346,18.1678,18.9265,19.7279,20.5548,21.4158,22.3194,23.2572,24.2291,25.2521,26.3091,27.4174,28.5683,29.7618,31.0149,32.3193,33.6748,35.0899,36.5647,38.0992,39.7019,41.3728,43.1034,44.9192,46.8033,48.7725,50.8185
1e-08,17.3805,16.2857,11.9513,5.46866,2.11331,0.679082,0.250767,0.0988054,0.0415302,0.0190025,0.00962337,0.0054172,0.00336273,0.00226765,0.00163437,0.00124108,0.000981769,0.000802164,0.000672644,0.000576088,0.000502091,0.000444046,0.000397603,0.0003598,0.000328567,0.00030242,0.000280273,0.00026132,0.000244944,0.000230675,0.000218145,0.000207066,0.000197204,0.000188373,0.000180424,0.000173231,0.000166691,0.00016072,0.000150206,0.00014124,0.000133496,0.00012673,0.000120759,0.000115445,0.000110677,0.000104355,9.88634e-05,9.25384e-05,8.83938e-05,8.3503e-05,7.9204e-05,7.62997e-05,7.19631e-05,6.88732e-05,6.60655e-05,5.89031e-05,5.63123e-05,5.41475e-05,5.19508e-05,4.99251e-05,4.78879e-05,4.58613e-05,4.39985e-05,4.22816e-05,4.05764e-05,3.88955e-05,3.73483e-05,3.58285e-05,3.43432e-05,3.29764e-05,3.16429e-05,3.04128e-05,2.90935e-05,2.79948e-05,2.68221e-05,2.57435e-05,2.47049e-05,2.37069e-05,2.27129e-05,2.18329e-05,2.09557e-05,2.01177e-05,1.9291e-05,1.85296e-05,1.77812e-05,1.70493e-05,1.63373e-05,1.57e-05,1.50781e-05,1.44589e-05,1.38749e-05,1.33111e-05,1.27797e-05,1.22677e-05,1.17557e-05,1.12847e-05,1.08334e-05,1.04014e-05,9.98126e-06,9.58066e-06,9.193e-06,8.81881e-06,8.46377e-06,8.12212e-06,7.79834e-06,7.48343e-06,7.18201e-06,6.89037e-06,6.61216e-06,6.34699e-06,6.08641e-06,5.84398e-06,5.60893e-06,5.3797e-06,5.16278e-06,4.95744e-06,4.75657e-06,4.56538e-06,4.38077e-06,4.20426e-06,4.0356e-06,3.87251e-06,3.71617e-06,3.56656e-06,3.42267e-06,3.28459e-06,3.15227e-06,3.025e-06,2.9028e-06,2.78624e-06,2.67358e-06,2.56546e-06,2.46232e-06,2.36316e-06
1.2e-08,18.2186,17.2132,13.5538,6.62086,2.85889,0.859685,0.306296,0.119339,0.0499629,0.0228273,0.0115538,0.00650235,0.00403591,0.00272148,0.0019614,0.00148939,0.00117818,0.000962637,0.000807201,0.000691327,0.000602525,0.00053287,0.000477135,0.00043177,0.000394288,0.000362911,0.000336335,0.000313589,0.000293938,0.000276815,0.000261779,0.000248483,0.000236648,0.000226052,0.000216512,0.00020788,0.000200032,0.000192866,0.000180249,0.00016949,0.000160196,0.000152077,0.000144913,0.000138535,0.000132814,0.000125228,0.000118637,0.000111048,0.000106073,0.000100204,9.50457e-05,9.15609e-05,8.63567e-05,8.26491e-05,7.92791e-05,7.06841e-05,6.75755e-05,6.49777e-05,6.23416e-05,5.99106e-05,5.74663e-05,5.50337e-05,5.27989e-05,5.07383e-05,4.8692e-05,4.66749e-05,4.48186e-05,4.29943e-05,4.12123e-05,3.95718e-05,3.79717e-05,3.64957e-05,3.49126e-05,3.35942e-05,3.21867e-05,3.08924e-05,2.96462e-05,2.84486e-05,2.72558e-05,2.61997e-05,2.51471e-05,2.41414e-05,2.31495e-05,2.22359e-05,2.13374e-05,2.04594e-05,1.9605e-05,1.88401e-05,1.80939e-05,1.73509e-05,1.66501e-05,1.59735e-05,1.53358e-05,1.47213e-05,1.4107e-05,1.35418e-05,1.30002e-05,1.24818e-05,1.19776e-05,1.14969e-05,1.10317e-05,1.05827e-05,1.01566e-05,9.74661e-06,9.3581e-06,8.98019e-06,8.61845e-06,8.26851e-06,7.93469e-06,7.61645e-06,7.30378e-06,7.01288e-06,6.73079e-06,6.45571e-06,6.19541e-06,5.949e-06,5.70792e-06,5.47851e-06,5.25699e-06,5.04515e-06,4.84277e-06,4.64703e-06,4.45943e-06,4.2799e-06,4.10724e-06,3.94155e-06,3.78275e-06,3.63002e-06,3.4834e-06,3.3435e-06,3.20832e-06,3.07859e-06,2.9548e-06,2.83582e-06
1.44e-08,18.9934,18.0803,14.8631,7.98846,3.67293,1.10659,0.375736,0.144343,0.0601395,0.027428,0.0138729,0.00780529,0.00484402,0.00326618,0.0023539,0.00178739,0.0014139,0.00115522,0.000968683,0.000829624,0.000723055,0.000639462,0.000572578,0.000518137,0.000473158,0.000435503,0.00040361,0.000376315,0.000352732,0.000332184,0.000314141,0.000298185,0.000283983,0.000271267,0.000259819,0.00024946,0.000240042,0.000231443,0.000216302,0.000203391,0.000192238,0.000182495,0.000173897,0.000166245,0.000159379,0.000150275,0.000142366,0.000133259,0.00012729,0.000120247,0.000114056,0.000109874,0.000103629,9.91801e-05,9.51361e-05,8.48223e-05,8.10915e-05,7.79741e-05,7.48106e-05,7.18936e-05,6.89602e-05,6.60412e-05,6.33591e-05,6.08869e-05,5.8431e-05,5.60106e-05,5.37828e-05,5.15938e-05,4.9455e-05,4.74868e-05,4.55666e-05,4.37953e-05,4.18956e-05,4.03135e-05,3.86246e-05,3.70713e-05,3.55759e-05,3.41388e-05,3.27073e-05,3.14398e-05,3.01769e-05,2.89701e-05,2.77797e-05,2.66833e-05,2.56053e-05,2.45515e-05,2.35263e-05,2.26084e-05,2.17129e-05,2.08213e-05,1.99803e-05,1.91684e-05,1.84031e-05,1.76658e-05,1.69285e-05,1.62504e-05,1.56004e-05,1.49783e-05,1.43733e-05,1.37964e-05,1.32381e-05,1.26994e-05,1.21881e-05,1.16961e-05,1.12298e-05,1.07764e-05,1.03423e-05,9.92232e-06,9.52171e-06,9.13985e-06,8.76463e-06,8.41551e-06,8.07703e-06,7.74694e-06,7.43457e-06,7.13889e-06,6.84957e-06,6.57428e-06,6.30844e-06,6.05424e-06,5.81139e-06,5.57651e-06,5.3514e-06,5.13594e-06,4.92876e-06,4.72991e-06,4.53936e-06,4.35609e-06,4.18011e-06,4.01224e-06,3.85003e-06,3.69435e-06,3.5458e-06,3.40302e-06
1.73e-08,19.7391,18.9255,15.999,9.67927,4.47576,1.45885,0.464133,0.175103,0.0725207,0.033003,0.0166788,0.00938077,0.00582089,0.00392457,0.00282827,0.00214755,0.00169876,0.00138795,0.00116382,0.000996746,0.000868706,0.000768271,0.000687912,0.000622503,0.000568462,0.000523223,0.000484905,0.000452111,0.000423779,0.000399091,0.000377413,0.000358243,0.00034118,0.000325903,0.000312149,0.000299704,0.00028839,0.000278058,0.000259868,0.000244356,0.000230957,0.000219251,0.000208922,0.000199728,0.00019148,0.000180541,0.00017104,0.000160098,0.000152927,0.000144466,0.000137028,0.000132003,0.000124501,0.000119155,0.000114297,0.000101906,9.74236e-05,9.36782e-05,8.98778e-05,8.63731e-05,8.28491e-05,7.93423e-05,7.612e-05,7.31496e-05,7.01993e-05,6.72913e-05,6.4615e-05,6.19851e-05,5.94157e-05,5.70508e-05,5.47438e-05,5.26161e-05,5.03335e-05,4.84329e-05,4.64036e-05,4.45377e-05,4.2741e-05,4.10144e-05,3.92947e-05,3.7772e-05,3.62547e-05,3.48047e-05,3.33746e-05,3.20574e-05,3.07623e-05,2.94963e-05,2.82645e-05,2.71619e-05,2.6086e-05,2.50148e-05,2.40045e-05,2.3029e-05,2.21096e-05,2.12238e-05,2.0338e-05,1.95233e-05,1.87424e-05,1.7995e-05,1.72681e-05,1.65752e-05,1.59043e-05,1.52571e-05,1.46428e-05,1.40518e-05,1.34916e-05,1.29468e-05,1.24252e-05,1.19207e-05,1.14395e-05,1.09807e-05,1.05299e-05,1.01105e-05,9.70378e-06,9.3072e-06,8.93192e-06,8.57668e-06,8.22912e-06,7.89836e-06,7.579e-06,7.27358e-06,6.98183e-06,6.69964e-06,6.4292e-06,6.17033e-06,5.92143e-06,5.68254e-06,5.45362e-06,5.23342e-06,5.02201e-06,4.82034e-06,4.62544e-06,4.4384e-06,4.25994e-06,4.0884e-06
2.07e-08,20.4577,19.7533,17.0167,11.497,5.27721,1.95409,0.574843,0.211963,0.0871562,0.0395617,0.0199735,0.0112294,0.00696675,0.00469673,0.00338457,0.00256987,0.0020328,0.00166085,0.00139265,0.0011927,0.00103948,0.000919301,0.000823141,0.000744873,0.000680207,0.000626073,0.000580222,0.000540981,0.000507078,0.000477538,0.000451598,0.000428659,0.000408244,0.000389964,0.000373506,0.000358614,0.000345075,0.000332712,0.000310947,0.000292386,0.000276353,0.000262346,0.000249987,0.000238985,0.000229116,0.000216027,0.000204658,0.000191566,0.000182984,0.00017286,0.00016396,0.000157949,0.000148972,0.000142576,0.000136763,0.000121935,0.000116572,0.000112091,0.000107543,0.00010335,9.91333e-05,9.49372e-05,9.10816e-05,8.75271e-05,8.39969e-05,8.05175e-05,7.73151e-05,7.41682e-05,7.10939e-05,6.82643e-05,6.55038e-05,6.29576e-05,6.02266e-05,5.79523e-05,5.55244e-05,5.32917e-05,5.11418e-05,4.90758e-05,4.70181e-05,4.51961e-05,4.33804e-05,4.16456e-05,3.99344e-05,3.83583e-05,3.68087e-05,3.52937e-05,3.38199e-05,3.25005e-05,3.12132e-05,2.99314e-05,2.87226e-05,2.75553e-05,2.64552e-05,2.53953e-05,2.43355e-05,2.33606e-05,2.24263e-05,2.15319e-05,2.06622e-05,1.9833e-05,1.90304e-05,1.82559e-05,1.75209e-05,1.68136e-05,1.61433e-05,1.54915e-05,1.48674e-05,1.42637e-05,1.36879e-05,1.31389e-05,1.25995e-05,1.20977e-05,1.16111e-05,1.11365e-05,1.06875e-05,1.02624e-05,9.84657e-06,9.45079e-06,9.06864e-06,8.70321e-06,8.3541e-06,8.01646e-06,7.69285e-06,7.38311e-06,7.08527e-06,6.79944e-06,6.52551e-06,6.26204e-06,6.00909e-06,5.76779e-06,5.53457e-06,5.31077e-06,5.09723e-06,4.89199e-06
2.49e-08,21.2031,20.6198,18.0273,13.1906,6.19339,2.63306,0.724052,0.258744,0.105418,0.0476969,0.0240515,0.0135154,0.00838309,0.00565095,0.00407195,0.0030917,0.00244551,0.001998,0.00167533,0.00143479,0.00125047,0.00110589,0.000990205,0.000896047,0.000818255,0.000753133,0.000697976,0.000650768,0.000609985,0.000574448,0.000543244,0.00051565,0.00049109,0.0004691,0.000449302,0.000431387,0.000415101,0.00040023,0.000374047,0.000351719,0.000332432,0.000315583,0.000300716,0.000287482,0.000275609,0.000259865,0.000246189,0.000230439,0.000220117,0.000207938,0.000197232,0.000190001,0.000179201,0.000171508,0.000164515,0.000146679,0.000140227,0.000134836,0.000129366,0.000124322,0.000119249,0.000114202,0.000109564,0.000105289,0.000101042,9.68562e-05,9.30038e-05,8.92187e-05,8.55201e-05,8.21164e-05,7.87957e-05,7.57331e-05,7.24479e-05,6.97121e-05,6.67914e-05,6.41058e-05,6.15195e-05,5.90343e-05,5.65591e-05,5.43673e-05,5.21833e-05,5.00963e-05,4.8038e-05,4.61419e-05,4.42779e-05,4.24556e-05,4.06827e-05,3.90956e-05,3.7547e-05,3.60052e-05,3.45511e-05,3.3147e-05,3.18236e-05,3.05485e-05,2.92737e-05,2.8101e-05,2.6977e-05,2.59012e-05,2.4855e-05,2.38575e-05,2.28921e-05,2.19604e-05,2.10762e-05,2.02254e-05,1.94192e-05,1.8635e-05,1.78843e-05,1.71582e-05,1.64654e-05,1.58051e-05,1.51562e-05,1.45525e-05,1.39672e-05,1.33964e-05,1.28562e-05,1.23449e-05,1.18446e-05,1.13685e-05,1.09089e-05,1.04693e-05,1.00493e-05,9.64318e-06,9.25389e-06,8.88131e-06,8.52303e-06,8.17918e-06,7.84968e-06,7.53273e-06,7.22846e-06,6.93818e-06,6.65765e-06,6.38844e-06,6.13158e-06,5.88466e-06
2.99e-08,21.9527,21.4804,19.026,14.6054,7.29014,3.37037,0.922106,0.316355,0.127426,0.0574304,0.0289175,0.01624,0.0100704,0.00678748,0.00489057,0.00371308,0.00293693,0.00239947,0.00201192,0.00172304,0.00150167,0.00132804,0.00118911,0.00107603,0.000982613,0.000904407,0.000838169,0.000781478,0.000732502,0.000689826,0.000652354,0.000619218,0.000589724,0.000563316,0.000539542,0.00051803,0.000498472,0.000480613,0.000449171,0.000422358,0.000399197,0.000378964,0.000361111,0.000345219,0.000330962,0.000312054,0.000295632,0.000276719,0.000264324,0.000249699,0.000236843,0.000228159,0.000215191,0.000205952,0.000197555,0.000176136,0.000168389,0.000161916,0.000155347,0.000149289,0.000143198,0.000137137,0.000131568,0.000126434,0.000121334,0.000116308,0.000111682,0.000107137,0.000102695,9.86079e-05,9.46204e-05,9.09428e-05,8.69977e-05,8.37124e-05,8.02052e-05,7.69801e-05,7.38745e-05,7.08902e-05,6.79179e-05,6.52861e-05,6.26633e-05,6.01573e-05,5.76854e-05,5.54088e-05,5.31703e-05,5.09819e-05,4.88531e-05,4.69471e-05,4.50876e-05,4.32362e-05,4.14899e-05,3.98038e-05,3.82148e-05,3.66836e-05,3.51527e-05,3.37445e-05,3.23948e-05,3.1103e-05,2.98466e-05,2.86488e-05,2.74894e-05,2.63707e-05,2.5309e-05,2.42873e-05,2.33192e-05,2.23775e-05,2.14761e-05,2.06041e-05,1.97722e-05,1.89792e-05,1.82001e-05,1.74751e-05,1.67723e-05,1.60868e-05,1.54381e-05,1.48241e-05,1.42234e-05,1.36517e-05,1.30997e-05,1.25718e-05,1.20675e-05,1.15798e-05,1.11123e-05,1.06649e-05,1.02347e-05,9.82181e-06,9.42615e-06,9.04554e-06,8.68015e-06,8.33158e-06,7.99472e-06,7.67143e-06,7.36298e-06,7.06648e-06
3.58e-08,22.6991,22.2941,20.0042,15.8337,8.67968,4.07883,1.19125,0.387236,0.153783,0.0689852,0.0346749,0.0194597,0.0120632,0.00812937,0.00585694,0.00444656,0.00351697,0.00287328,0.00240918,0.00206323,0.00179814,0.00159021,0.00142385,0.00128845,0.00117658,0.00108293,0.00100361,0.000935731,0.000877084,0.000825984,0.000781115,0.000741436,0.00070612,0.0006745,0.000646032,0.000620273,0.000596855,0.000575471,0.000537823,0.000505718,0.000477985,0.000453758,0.000432381,0.000413352,0.000396281,0.000373642,0.000353978,0.000331332,0.00031649,0.000298979,0.000283586,0.000273188,0.000257661,0.000246598,0.000236544,0.000210898,0.000201622,0.000193871,0.000186006,0.000178753,0.000171459,0.000164202,0.000157534,0.000151386,0.00014528,0.000139262,0.000133723,0.00012828,0.000122963,0.000118069,0.000113294,0.000108891,0.000104167,0.000100233,9.60342e-05,9.21726e-05,8.84541e-05,8.48808e-05,8.1322e-05,7.81706e-05,7.50304e-05,7.20297e-05,6.907e-05,6.63439e-05,6.36638e-05,6.10436e-05,5.84946e-05,5.62125e-05,5.39859e-05,5.17691e-05,4.96783e-05,4.76594e-05,4.57567e-05,4.39234e-05,4.20904e-05,4.04042e-05,3.87882e-05,3.72413e-05,3.57371e-05,3.43029e-05,3.29147e-05,3.15751e-05,3.03038e-05,2.90806e-05,2.79213e-05,2.67939e-05,2.57145e-05,2.46704e-05,2.36744e-05,2.27249e-05,2.1792e-05,2.09239e-05,2.00824e-05,1.92616e-05,1.8485e-05,1.77498e-05,1.70304e-05,1.6346e-05,1.5685e-05,1.5053e-05,1.44491e-05,1.38652e-05,1.33054e-05,1.27697e-05,1.22546e-05,1.17602e-05,1.12864e-05,1.08307e-05,1.03932e-05,9.97586e-06,9.57253e-06,9.18545e-06,8.81612e-06,8.46112e-06
4.3e-08,23.4472,23.0521,20.9451,17.0084,10.4612,4.80523,1.5829,0.478425,0.186537,0.0831886,0.0417246,0.0233957,0.0144977,0.00976809,0.00703685,0.005342,0.00422505,0.00345167,0.00289407,0.00247847,0.00215999,0.0019102,0.00171036,0.00154769,0.0014133,0.00130082,0.00120554,0.00112399,0.00105354,0.000992161,0.000938262,0.000890599,0.000848176,0.000810193,0.000775999,0.000745057,0.000716926,0.00069124,0.000646017,0.000607453,0.00057414,0.000545039,0.000519361,0.000496504,0.000475998,0.000448805,0.000425185,0.000397984,0.000380156,0.000359122,0.000340633,0.000328143,0.000309492,0.000296203,0.000284127,0.000253321,0.00024218,0.000232869,0.000223422,0.00021471,0.000205949,0.000197233,0.000189222,0.000181838,0.000174504,0.000167276,0.000160622,0.000154085,0.000147698,0.000141819,0.000136084,0.000130795,0.000125121,0.000120396,0.000115352,0.000110714,0.000106247,0.000101955,9.76805e-05,9.38952e-05,9.01232e-05,8.65189e-05,8.29639e-05,7.96895e-05,7.64702e-05,7.33229e-05,7.02612e-05,6.752e-05,6.48455e-05,6.21828e-05,5.96713e-05,5.72464e-05,5.49609e-05,5.27589e-05,5.05571e-05,4.85318e-05,4.65907e-05,4.47327e-05,4.29258e-05,4.12031e-05,3.95357e-05,3.79267e-05,3.63997e-05,3.49303e-05,3.35379e-05,3.21836e-05,3.08872e-05,2.9633e-05,2.84366e-05,2.72961e-05,2.61756e-05,2.5133e-05,2.41221e-05,2.31362e-05,2.22034e-05,2.13203e-05,2.04562e-05,1.96341e-05,1.88402e-05,1.8081e-05,1.73557e-05,1.66542e-05,1.59819e-05,1.53385e-05,1.47197e-05,1.41259e-05,1.35568e-05,1.30094e-05,1.24839e-05,1.19826e-05,1.14981e-05,1.10332e-05,1.05895e-05,1.01631e-05
