,0.348864,0.35792,0.366976,0.376032,0.389616,0.398672,0.407728,0.416784,0.42584,0.439424,0.44848,0.457536,0.466592,0.475648,0.489232,0.498288,0.507344,0.5164,0.529984,0.53904,0.548096,0.557152,0.566208,0.579792,0.588848,0.597904,0.60696,0.616016,0.6296,0.638656,0.647712,0.656768,0.668088,0.67488,0.688464,0.695256,0.70884,0.715632,0.729216,0.736008,0.749592,0.756384,0.769968,0.77676,0.783552,0.797136,0.803928,0.817512,0.824304,0.837888,0.84468,0.858264,0.865056,0.87864,0.885432,0.899016,0.905808,0.919392,0.926184,0.939768,0.94656,0.953352,0.966936,0.973728,0.987312,0.99184,1.01901,1.04618,1.07334,1.10957,1.14579,1.17296,1.20918,1.24541,1.29069,1.32691,1.36314,1.40842,1.4537,1.48992,1.53067,1.58501,1.62576,1.6801,1.73443,1.78877,1.82952,1.89744,1.95178,2.1012,2.271,2.45778,2.64456,2.87096,3.09283,3.33734,3.60902,3.8807,4.20672,4.54632,4.91988,5.29344,5.73492,6.1764,6.6858,7.22916,7.80648,8.41776,9.09696,9.81012,10.5912,11.4742,12.3911,13.3759,14.4287,15.5833,16.8398,18.1982,19.6585,21.2207,22.9187,24.7525,26.7222,28.8956,31.2049,33.684,36.4008,39.2874,42.4457,45.8417,49.5094,53.4827
5e-08,0.0392938,0.0827222,0.131944,0.168671,0.177598,0.156986,0.126666,0.0955546,0.0687138,0.0395833,0.0268324,0.018069,0.0121674,0.00823441,0.00466411,0.00324141,0.00228408,0.00163328,0.00101587,0.000754187,0.000568141,0.000434055,0.000336114,0.000234556,0.000187303,0.000151242,0.000123406,0.000101686,7.7368e-05,6.51653e-05,5.53192e-05,4.73073e-05,3.95755e-05,3.55631e-05,2.901e-05,2.63265e-05,2.18734e-05,2.0021e-05,1.69034e-05,1.55884e-05,1.33476e-05,1.23908e-05,1.07419e-05,1.00301e-05,9.38223e-06,8.25123e-06,7.75665e-06,6.8858e-06,6.50175e-06,5.82025e-06,5.51742e-06,4.97623e-06,4.73408e-06,4.29857e-06,4.10247e-06,3.74776e-06,3.58714e-06,3.29504e-06,3.16208e-06,2.91911e-06,2.80798e-06,2.7031e-06,2.51032e-06,2.42163e-06,2.25798e-06,2.21493e-06,1.94257e-06,1.71864e-06,1.53249e-06,1.32959e-06,1.16626e-06,1.06384e-06,9.48292e-07,8.51889e-07,7.52276e-07,6.85726e-07,6.2847e-07,5.6745e-07,5.15849e-07,4.80071e-07,4.46352e-07,4.05453e-07,3.78861e-07,3.47859e-07,3.21066e-07,2.97725e-07,2.82127e-07,2.59165e-07,2.431e-07,2.0745e-07,1.76794e-07,1.5156e-07,1.3263e-07,1.1464e-07,1.07413e-07,1.09704e-07,1.13172e-07,1.195e-07,1.26734e-07,1.37059e-07,1.50481e-07,1.69541e-07,1.92959e-07,2.2594e-07,2.68567e-07,2.86953e-07,2.58855e-07,2.34441e-07,2.12125e-07,1.92792e-07,1.75248e-07,1.58865e-07,1.44778e-07,1.32168e-07,1.20894e-07,1.10539e-07,1.01103e-07,9.2553e-08,8.48345e-08,7.78811e-08,7.15065e-08,6.56957e-08,6.04196e-08,5.54993e-08,5.10782e-08,4.7053e-08,4.33116e-08,3.9937e-08,3.67993e-08,3.39321e-08,3.12982e-08,2.88702e-08
5.6e-08,0.0440267,0.0927312,0.147998,0.189292,0.199365,0.176197,0.142119,0.107172,0.0770408,0.044362,0.030066,0.0202438,0.0136306,0.009224,0.00522431,0.00363062,0.00255829,0.00182934,0.0011378,0.000844706,0.000636327,0.000486148,0.000376451,0.000262704,0.000209781,0.000169392,0.000138215,0.000113888,8.66524e-05,7.29854e-05,6.19577e-05,5.29843e-05,4.43246e-05,3.98308e-05,3.24913e-05,2.94857e-05,2.44983e-05,2.24234e-05,1.89318e-05,1.7459e-05,1.49494e-05,1.38776e-05,1.2031e-05,1.12337e-05,1.05081e-05,9.24137e-06,8.68745e-06,7.7121e-06,7.28197e-06,6.51869e-06,6.17951e-06,5.57337e-06,5.30216e-06,4.8144e-06,4.59477e-06,4.1975e-06,4.0176e-06,3.69045e-06,3.54153e-06,3.26941e-06,3.14494e-06,3.02748e-06,2.81155e-06,2.71223e-06,2.52893e-06,2.48072e-06,2.17567e-06,1.92489e-06,1.71639e-06,1.48915e-06,1.30621e-06,1.1915e-06,1.06209e-06,9.54116e-07,8.42548e-07,7.6801e-07,7.03888e-07,6.35544e-07,5.77751e-07,5.3768e-07,4.99915e-07,4.54107e-07,4.24325e-07,3.89602e-07,3.59593e-07,3.33453e-07,3.15982e-07,2.90265e-07,2.72272e-07,2.32344e-07,1.9801e-07,1.69747e-07,1.48545e-07,1.28397e-07,1.20302e-07,1.22868e-07,1.26753e-07,1.3384e-07,1.41942e-07,1.53506e-07,1.68539e-07,1.89886e-07,2.16115e-07,2.53053e-07,3.00796e-07,3.21387e-07,2.89918e-07,2.62573e-07,2.3758e-07,2.15926e-07,1.96278e-07,1.77928e-07,1.62151e-07,1.48028e-07,1.35401e-07,1.23803e-07,1.13235e-07,1.03659e-07,9.50146e-08,8.72267e-08,8.00871e-08,7.35791e-08,6.76699e-08,6.21593e-08,5.72075e-08,5.26993e-08,4.85091e-08,4.47294e-08,4.12152e-08,3.8004e-08,3.5054e-08,3.23345e-08
6.27e-08,0.0493159,0.103929,0.165982,0.212418,0.223789,0.197746,0.159441,0.120183,0.08636,0.0497056,0.0336805,0.0226739,0.0152652,0.0103294,0.00584998,0.00406532,0.00286454,0.0020483,0.00127396,0.000945788,0.000712469,0.000544319,0.000421497,0.000294136,0.000234882,0.000189659,0.000154752,0.000127515,9.70201e-05,8.17178e-05,6.93706e-05,5.93236e-05,4.96279e-05,4.45962e-05,3.63787e-05,3.30135e-05,2.74293e-05,2.51063e-05,2.1197e-05,1.9548e-05,1.6738e-05,1.5538e-05,1.34704e-05,1.25777e-05,1.17653e-05,1.0347e-05,9.72684e-06,8.6348e-06,8.1532e-06,7.29861e-06,6.91884e-06,6.24019e-06,5.93653e-06,5.39041e-06,5.1445e-06,4.6997e-06,4.49827e-06,4.13198e-06,3.96525e-06,3.66056e-06,3.52122e-06,3.38969e-06,3.14793e-06,3.03673e-06,2.8315e-06,2.77752e-06,2.43598e-06,2.15518e-06,1.92174e-06,1.66731e-06,1.4625e-06,1.33405e-06,1.18916e-06,1.06827e-06,9.43352e-07,8.59898e-07,7.88101e-07,7.11579e-07,6.46873e-07,6.02009e-07,5.59726e-07,5.08438e-07,4.75092e-07,4.36215e-07,4.02616e-07,3.73348e-07,3.53787e-07,3.24993e-07,3.04848e-07,2.60143e-07,2.217e-07,1.90056e-07,1.66317e-07,1.43759e-07,1.34696e-07,1.37569e-07,1.41918e-07,1.49853e-07,1.58924e-07,1.71871e-07,1.88704e-07,2.12604e-07,2.41971e-07,2.8333e-07,3.36783e-07,3.59838e-07,3.24604e-07,2.93989e-07,2.66005e-07,2.41761e-07,2.19761e-07,1.99216e-07,1.81552e-07,1.65739e-07,1.51601e-07,1.38615e-07,1.26783e-07,1.16062e-07,1.06382e-07,9.7663e-08,8.96689e-08,8.23823e-08,7.57661e-08,6.95962e-08,6.40521e-08,5.90045e-08,5.4313e-08,5.0081e-08,4.61462e-08,4.25509e-08,3.92479e-08,3.62031e-08
7.02e-08,0.0552426,0.116491,0.186185,0.238429,0.251278,0.22199,0.178913,0.134797,0.0968182,0.0556963,0.0377308,0.0253963,0.0170959,0.0115673,0.0065505,0.00455199,0.00320738,0.00229341,0.00142639,0.00105895,0.000797708,0.000609438,0.000471919,0.000329322,0.000262979,0.000212347,0.000173264,0.000142768,0.000108626,9.14929e-05,7.76688e-05,6.64199e-05,5.55643e-05,4.99308e-05,4.07303e-05,3.69625e-05,3.07103e-05,2.81094e-05,2.37324e-05,2.18862e-05,1.87401e-05,1.73967e-05,1.50818e-05,1.40823e-05,1.31727e-05,1.15847e-05,1.08903e-05,9.66768e-06,9.12847e-06,8.17166e-06,7.74646e-06,6.98663e-06,6.64664e-06,6.0352e-06,5.75988e-06,5.26187e-06,5.03634e-06,4.62624e-06,4.43956e-06,4.09843e-06,3.94242e-06,3.79515e-06,3.52448e-06,3.39998e-06,3.1702e-06,3.10976e-06,2.72736e-06,2.41298e-06,2.15161e-06,1.86675e-06,1.63743e-06,1.49363e-06,1.3314e-06,1.19605e-06,1.05619e-06,9.6276e-07,8.82374e-07,7.96702e-07,7.24255e-07,6.74022e-07,6.2668e-07,5.69256e-07,5.31921e-07,4.88394e-07,4.50775e-07,4.18007e-07,3.96106e-07,3.63868e-07,3.41313e-07,2.9126e-07,2.48219e-07,2.1279e-07,1.86212e-07,1.60955e-07,1.50808e-07,1.54024e-07,1.58894e-07,1.67777e-07,1.77934e-07,1.9243e-07,2.11276e-07,2.38035e-07,2.70914e-07,3.1722e-07,3.77069e-07,4.02882e-07,3.63432e-07,3.29155e-07,2.97823e-07,2.70679e-07,2.46048e-07,2.23046e-07,2.03269e-07,1.85564e-07,1.69735e-07,1.55196e-07,1.41949e-07,1.29945e-07,1.19108e-07,1.09345e-07,1.00395e-07,9.22367e-08,8.48291e-08,7.79208e-08,7.17137e-08,6.60626e-08,6.08097e-08,5.60716e-08,5.16661e-08,4.76407e-08,4.39427e-08,4.05336e-08
7.87e-08,0.0619666,0.130761,0.209174,0.268069,0.282626,0.249624,0.201089,0.151422,0.108705,0.0624976,0.0423268,0.0284844,0.0191721,0.0129708,0.00734464,0.00510365,0.003596,0.00257124,0.00159916,0.0011872,0.000894315,0.000683241,0.000529067,0.000369202,0.000294824,0.000238061,0.000194244,0.000160055,0.000121779,0.000102571,8.70733e-05,7.44624e-05,6.22924e-05,5.59767e-05,4.56621e-05,4.14381e-05,3.44289e-05,3.15132e-05,2.66061e-05,2.45363e-05,2.10093e-05,1.95031e-05,1.69079e-05,1.57874e-05,1.47676e-05,1.29875e-05,1.22089e-05,1.08383e-05,1.02338e-05,9.1611e-06,8.68443e-06,7.83259e-06,7.45144e-06,6.76595e-06,6.4573e-06,5.89899e-06,5.64617e-06,5.18639e-06,4.97711e-06,4.59468e-06,4.41978e-06,4.25469e-06,3.95124e-06,3.81165e-06,3.55406e-06,3.4863e-06,3.05761e-06,2.70515e-06,2.41214e-06,2.09278e-06,1.8357e-06,1.67448e-06,1.49261e-06,1.34087e-06,1.18408e-06,1.07934e-06,9.89212e-07,8.93163e-07,8.11944e-07,7.5563e-07,7.0256e-07,6.38183e-07,5.96329e-07,5.4753e-07,5.05357e-07,4.6862e-07,4.44068e-07,4.07926e-07,3.8264e-07,3.26527e-07,2.78274e-07,2.38555e-07,2.08759e-07,1.80444e-07,1.69068e-07,1.72674e-07,1.78133e-07,1.88093e-07,1.99479e-07,2.1573e-07,2.36857e-07,2.66858e-07,3.03717e-07,3.55631e-07,4.22726e-07,4.51663e-07,4.07438e-07,3.6901e-07,3.33885e-07,3.03454e-07,2.75841e-07,2.50053e-07,2.27881e-07,2.08032e-07,1.90287e-07,1.73987e-07,1.59136e-07,1.45679e-07,1.3353e-07,1.22585e-07,1.12551e-07,1.03405e-07,9.51003e-08,8.73558e-08,8.03971e-08,7.40614e-08,6.81728e-08,6.28609e-08,5.79221e-08,5.34093e-08,4.92634e-08,4.54415e-08
8.81e-08,0.0694114,0.146584,0.234712,0.301047,0.317533,0.280378,0.225746,0.169885,0.121891,0.0700337,0.0474165,0.0319024,0.0214695,0.0145236,0.00822312,0.00571384,0.00402583,0.00287852,0.00179024,0.00132904,0.00100115,0.000764862,0.000592268,0.000413304,0.000330041,0.000266497,0.000217447,0.000179174,0.000136325,0.000114823,9.74737e-05,8.33565e-05,6.97328e-05,6.26628e-05,5.11161e-05,4.63875e-05,3.85411e-05,3.52771e-05,2.9784e-05,2.7467e-05,2.35187e-05,2.18326e-05,1.89274e-05,1.76731e-05,1.65315e-05,1.45387e-05,1.36672e-05,1.21328e-05,1.14561e-05,1.02553e-05,9.7217e-06,8.76813e-06,8.34144e-06,7.57409e-06,7.22858e-06,6.60357e-06,6.32055e-06,5.80586e-06,5.57159e-06,5.14348e-06,4.94767e-06,4.76287e-06,4.42318e-06,4.26692e-06,3.97856e-06,3.90271e-06,3.42281e-06,3.02826e-06,2.70025e-06,2.34275e-06,2.05496e-06,1.87448e-06,1.67089e-06,1.50102e-06,1.32551e-06,1.20825e-06,1.10737e-06,9.9985e-07,9.08926e-07,8.45888e-07,7.86471e-07,7.14408e-07,6.67556e-07,6.12929e-07,5.65718e-07,5.24593e-07,4.97107e-07,4.56649e-07,4.28343e-07,3.65528e-07,3.11511e-07,2.67049e-07,2.33693e-07,2.01996e-07,1.89261e-07,1.93298e-07,1.9941e-07,2.10558e-07,2.23305e-07,2.41496e-07,2.65148e-07,2.98731e-07,3.39993e-07,3.98107e-07,4.73217e-07,5.05611e-07,4.56103e-07,4.13085e-07,3.73765e-07,3.39699e-07,3.08787e-07,2.79919e-07,2.55099e-07,2.3288e-07,2.13015e-07,1.94769e-07,1.78143e-07,1.63079e-07,1.49478e-07,1.37226e-07,1.25994e-07,1.15756e-07,1.06459e-07,9.77897e-08,8.99998e-08,8.29075e-08,7.63152e-08,7.0369e-08,6.48402e-08,5.97885e-08,5.51474e-08,5.08692e-08
9.87e-08,0.0778179,0.16448,0.263656,0.33849,0.357202,0.31531,0.25372,0.190805,0.136814,0.0785503,0.0531647,0.0357612,0.0240623,0.0162756,0.00921405,0.0064021,0.00451059,0.00322507,0.00200572,0.00148899,0.00112164,0.000856906,0.000663539,0.000463037,0.000369753,0.000298562,0.000243611,0.000200732,0.000152728,0.000128639,0.000109202,9.3386e-05,7.81231e-05,7.02024e-05,5.72664e-05,5.19689e-05,4.31784e-05,3.95216e-05,3.33676e-05,3.07718e-05,2.63484e-05,2.44595e-05,2.12047e-05,1.97996e-05,1.85206e-05,1.6288e-05,1.53117e-05,1.35926e-05,1.28345e-05,1.14892e-05,1.08914e-05,9.8231e-06,9.34508e-06,8.48539e-06,8.09831e-06,7.3981e-06,7.08103e-06,6.50442e-06,6.24195e-06,5.76233e-06,5.54297e-06,5.33593e-06,4.95536e-06,4.78031e-06,4.45725e-06,4.37227e-06,3.83463e-06,3.39261e-06,3.02514e-06,2.62462e-06,2.3022e-06,2.10001e-06,1.87192e-06,1.68163e-06,1.48499e-06,1.35363e-06,1.2406e-06,1.12015e-06,1.01829e-06,9.47659e-07,8.811e-07,8.00366e-07,7.47873e-07,6.86676e-07,6.33784e-07,5.8771e-07,5.56919e-07,5.11594e-07,4.7988e-07,4.09507e-07,3.48992e-07,2.99179e-07,2.61811e-07,2.263e-07,2.12033e-07,2.16556e-07,2.23403e-07,2.35892e-07,2.50172e-07,2.70552e-07,2.97051e-07,3.34673e-07,3.80901e-07,4.46007e-07,5.30153e-07,5.66445e-07,5.1098e-07,4.62786e-07,4.18735e-07,3.80571e-07,3.45939e-07,3.13599e-07,2.85792e-07,2.60899e-07,2.38644e-07,2.18203e-07,1.99577e-07,1.827e-07,1.67464e-07,1.53737e-07,1.41153e-07,1.29683e-07,1.19268e-07,1.09555e-07,1.00828e-07,9.28829e-08,8.54973e-08,7.88358e-08,7.26418e-08,6.69822e-08,6.17826e-08,5.69897e-08
1.11e-07,0.0875875,0.185318,0.297437,0.382281,0.403649,0.35618,0.286405,0.215212,0.154201,0.0884574,0.0598464,0.0402442,0.0270733,0.0183098,0.0103643,0.00720094,0.00507323,0.00362725,0.00225578,0.00167461,0.00126146,0.000963716,0.000746244,0.000520747,0.000415838,0.000335774,0.000273972,0.00022575,0.000171762,0.00014467,0.000122811,0.000105024,8.7859e-05,7.89512e-05,6.44031e-05,5.84455e-05,4.85595e-05,4.44469e-05,3.7526e-05,3.46066e-05,2.9632e-05,2.75076e-05,2.38472e-05,2.2267e-05,2.08287e-05,1.83178e-05,1.72198e-05,1.52865e-05,1.44339e-05,1.2921e-05,1.22487e-05,1.10473e-05,1.05097e-05,9.54284e-06,9.10752e-06,8.32005e-06,7.96347e-06,7.315e-06,7.01983e-06,6.48043e-06,6.23374e-06,6.00089e-06,5.57291e-06,5.37603e-06,5.01272e-06,4.91715e-06,4.31251e-06,3.8154e-06,3.40213e-06,2.95171e-06,2.58911e-06,2.36172e-06,2.1052e-06,1.89119e-06,1.67005e-06,1.52231e-06,1.39521e-06,1.25974e-06,1.14518e-06,1.06576e-06,9.90902e-07,9.00106e-07,8.41071e-07,7.72244e-07,7.12764e-07,6.60949e-07,6.26322e-07,5.75348e-07,5.39681e-07,4.60538e-07,3.92483e-07,3.36463e-07,2.94438e-07,2.54502e-07,2.38456e-07,2.43543e-07,2.51243e-07,2.65289e-07,2.81348e-07,3.04269e-07,3.34069e-07,3.76381e-07,4.28369e-07,5.01589e-07,5.9622e-07,6.37035e-07,5.74659e-07,5.20459e-07,4.70918e-07,4.27998e-07,3.8905e-07,3.52679e-07,3.21408e-07,2.93413e-07,2.68384e-07,2.45396e-07,2.24448e-07,2.05468e-07,1.88333e-07,1.72896e-07,1.58744e-07,1.45844e-07,1.34131e-07,1.23208e-07,1.13393e-07,1.04458e-07,9.61521e-08,8.86601e-08,8.16944e-08,7.53293e-08,6.94819e-08,6.40917e-08
1.24e-07,0.0979312,0.207425,0.333371,0.42897,0.453227,0.399774,0.321218,0.241166,0.172661,0.0989573,0.066922,0.0449891,0.030259,0.0204611,0.0115805,0.00804548,0.00566801,0.00405239,0.00252009,0.00187081,0.00140924,0.00107661,0.000833658,0.000581744,0.000464545,0.000375101,0.000306061,0.000252191,0.000191879,0.000161614,0.000137195,0.000117325,9.81492e-05,8.81981e-05,7.19461e-05,6.52905e-05,5.42467e-05,4.96525e-05,4.19209e-05,3.86596e-05,3.31024e-05,3.07294e-05,2.66402e-05,2.48749e-05,2.32681e-05,2.04632e-05,1.92365e-05,1.70768e-05,1.61244e-05,1.44343e-05,1.36832e-05,1.23411e-05,1.17405e-05,1.06605e-05,1.01742e-05,9.29448e-06,8.89613e-06,8.17171e-06,7.84197e-06,7.23941e-06,6.96381e-06,6.7037e-06,6.22559e-06,6.00566e-06,5.59979e-06,5.49303e-06,4.81758e-06,4.26225e-06,3.80058e-06,3.2974e-06,2.89234e-06,2.63832e-06,2.35176e-06,2.11268e-06,1.86565e-06,1.7006e-06,1.55861e-06,1.40727e-06,1.27931e-06,1.19058e-06,1.10696e-06,1.00552e-06,9.39578e-07,8.62692e-07,7.96243e-07,7.38361e-07,6.99677e-07,6.42728e-07,6.02888e-07,5.14477e-07,4.38451e-07,3.75868e-07,3.28921e-07,2.84308e-07,2.66384e-07,2.72066e-07,2.80667e-07,2.96359e-07,3.14299e-07,3.39904e-07,3.73193e-07,4.20461e-07,4.78538e-07,5.60334e-07,6.66048e-07,7.11643e-07,6.41961e-07,5.81414e-07,5.26071e-07,4.78124e-07,4.34615e-07,3.93984e-07,3.5905e-07,3.27776e-07,2.99817e-07,2.74136e-07,2.50735e-07,2.29532e-07,2.1039e-07,1.93145e-07,1.77336e-07,1.62925e-07,1.49841e-07,1.37638e-07,1.26674e-07,1.16692e-07,1.07413e-07,9.90439e-08,9.12621e-08,8.41517e-08,7.76194e-08,7.15979e-08
