,0.34166,0.373237,0.409326,0.440903,0.476992,0.508569,0.544658,0.576235,0.612324,0.643901,0.67999,0.713823,0.747656,0.781489,0.815322,0.849155,0.882988,0.916821,0.950654,0.984487,1.01832,1.04539,1.08147,1.11756,1.15365,1.18072,1.21681,1.2529,1.28898,1.31605,1.35214,1.38823,1.42432,1.45138,1.48747,1.51905,1.55965,1.58671,1.62731,1.65438,1.69498,1.72205,1.76265,1.78971,1.83031,1.85738,1.89798,1.92504,1.96564,1.99271,2.03331,2.10098,2.16864,2.23631,2.30397,2.37164,2.43931,2.50697,2.57464,2.6423,2.70997,2.77764,2.8453,2.91297,2.98063,3.0483,3.10243,3.18363,3.23776,3.31896,3.3731,3.4543,3.50843,3.58963,3.64376,3.72496,3.77909,3.86029,3.91442,3.99562,4.06329,4.13096,4.19862,4.26629,4.33395,4.40162,4.46929,4.53695,4.60462,4.67228,4.73995,4.90911,5.17978,5.45044,5.75494,6.05944,6.36393,6.70226,7.04059,7.41276,7.81875,8.22475,8.63075,9.10441,9.57807,10.0517,10.5931,11.1344,11.7095,12.3185,12.9275,13.6042,14.2809,15.0252,15.8033,16.6153,17.4612,18.3408,19.2881,20.2693
1e-08,0.0531535,2.31413,5.11422,1.95798,0.388063,0.0920997,0.0206581,0.00665561,0.00222595,0.000985399,0.000450654,0.000239667,0.000138299,8.56416e-05,5.62624e-05,3.86337e-05,2.76787e-05,2.05056e-05,1.56229e-05,1.22216e-05,9.78474e-06,8.28153e-06,6.74486e-06,5.5766e-06,4.68512e-06,4.14781e-06,3.56129e-06,3.08358e-06,2.69825e-06,2.45705e-06,2.18291e-06,1.95011e-06,1.75551e-06,1.62562e-06,1.47875e-06,1.37375e-06,1.24156e-06,1.16707e-06,1.06863e-06,1.01138e-06,9.31692e-07,8.84297e-07,8.21265e-07,7.82584e-07,7.29275e-07,6.98404e-07,6.53748e-07,6.25025e-07,5.88204e-07,5.66063e-07,5.36268e-07,4.92152e-07,4.50789e-07,4.16132e-07,3.85959e-07,3.5949e-07,3.35645e-07,3.15712e-07,2.96826e-07,2.7962e-07,2.64313e-07,2.50429e-07,2.37866e-07,2.26532e-07,2.15712e-07,2.06299e-07,1.99063e-07,1.89262e-07,1.82904e-07,1.74464e-07,1.68877e-07,1.61642e-07,1.57005e-07,1.50311e-07,1.46272e-07,1.4056e-07,1.36805e-07,1.31736e-07,1.28714e-07,1.23981e-07,1.20759e-07,1.17416e-07,1.1418e-07,1.11047e-07,1.08229e-07,1.05498e-07,1.02849e-07,1.00279e-07,9.77844e-08,9.55635e-08,9.3406e-08,8.82725e-08,8.11193e-08,7.51939e-08,6.92553e-08,6.42238e-08,5.98215e-08,5.55394e-08,5.1936e-08,4.8314e-08,4.49637e-08,4.20584e-08,3.95354e-08,3.68591e-08,3.45456e-08,3.25436e-08,3.04369e-08,2.87039e-08,2.69729e-08,2.54105e-08,2.39953e-08,2.25945e-08,2.13265e-08,2.00823e-08,1.89745e-08,1.7934e-08,1.69576e-08,1.60418e-08,1.52052e-08,1.43764e-08
1.2e-08,0.0638097,2.83624,6.43763,2.40968,0.468414,0.110694,0.0247998,0.00799326,0.00267113,0.00118394,0.000540508,0.000287074,0.000165959,0.000102842,6.74457e-05,4.63826e-05,3.32145e-05,2.46068e-05,1.87871e-05,1.47041e-05,1.17232e-05,9.981e-06,8.0921e-06,6.69528e-06,5.62215e-06,4.97578e-06,4.272e-06,3.69879e-06,3.2379e-06,2.94989e-06,2.62088e-06,2.34284e-06,2.10529e-06,1.95593e-06,1.77577e-06,1.64603e-06,1.4947e-06,1.40403e-06,1.28236e-06,1.21024e-06,1.1147e-06,1.05897e-06,9.81252e-07,9.34899e-07,8.73075e-07,8.35048e-07,7.82517e-07,7.51983e-07,7.07758e-07,6.79276e-07,6.42598e-07,5.90583e-07,5.41814e-07,5.00199e-07,4.65109e-07,4.32022e-07,4.04623e-07,3.78704e-07,3.55972e-07,3.35828e-07,3.17384e-07,3.00853e-07,2.85439e-07,2.71709e-07,2.58918e-07,2.4762e-07,2.39058e-07,2.27055e-07,2.19485e-07,2.093e-07,2.02876e-07,1.93753e-07,1.88352e-07,1.80425e-07,1.75423e-07,1.68571e-07,1.64415e-07,1.58278e-07,1.54408e-07,1.48918e-07,1.44819e-07,1.40854e-07,1.37016e-07,1.33301e-07,1.29701e-07,1.26426e-07,1.2325e-07,1.20376e-07,1.17382e-07,1.14676e-07,1.12048e-07,1.05889e-07,9.7452e-08,9.01982e-08,8.3139e-08,7.69444e-08,7.17858e-08,6.66193e-08,6.22163e-08,5.80783e-08,5.39805e-08,5.05158e-08,4.73771e-08,4.42928e-08,4.15136e-08,3.89963e-08,3.65598e-08,3.43602e-08,3.23514e-08,3.04468e-08,2.87216e-08,2.70858e-08,2.56049e-08,2.41488e-08,2.27813e-08,2.14982e-08,2.03492e-08,1.92707e-08,1.82267e-08,1.72517e-08
1.44e-08,0.0766084,3.49217,8.11261,2.98207,0.566095,0.133084,0.0297743,0.00959191,0.00319308,0.00142043,0.000649715,0.000345016,0.000198648,0.000123892,8.09349e-05,5.56812e-05,3.99213e-05,2.95281e-05,2.25445e-05,1.75685e-05,1.41233e-05,1.19592e-05,9.73485e-06,8.03265e-06,6.74658e-06,5.97094e-06,5.12177e-06,4.44155e-06,3.88694e-06,3.53558e-06,3.14228e-06,2.81006e-06,2.52767e-06,2.34452e-06,2.12966e-06,1.974e-06,1.79002e-06,1.68247e-06,1.53652e-06,1.45456e-06,1.34208e-06,1.27186e-06,1.17857e-06,1.12398e-06,1.04769e-06,1.00206e-06,9.41001e-07,9.03356e-07,8.4644e-07,8.16074e-07,7.72042e-07,7.0691e-07,6.50176e-07,6.0108e-07,5.54867e-07,5.19219e-07,4.81694e-07,4.53695e-07,4.27167e-07,4.01998e-07,3.81554e-07,3.62106e-07,3.43584e-07,3.25922e-07,3.10639e-07,2.97267e-07,2.8693e-07,2.72525e-07,2.63614e-07,2.51217e-07,2.43284e-07,2.32667e-07,2.25862e-07,2.16563e-07,2.10508e-07,2.02386e-07,1.97248e-07,1.89934e-07,1.85146e-07,1.7856e-07,1.73736e-07,1.68842e-07,1.6433e-07,1.59961e-07,1.55728e-07,1.5184e-07,1.48068e-07,1.4441e-07,1.40859e-07,1.37611e-07,1.34457e-07,1.27143e-07,1.1687e-07,1.08134e-07,9.96361e-08,9.24574e-08,8.61134e-08,8.00834e-08,7.47664e-08,6.96178e-08,6.48006e-08,6.05733e-08,5.68526e-08,5.30688e-08,4.97574e-08,4.68516e-08,4.3925e-08,4.12829e-08,3.88538e-08,3.65514e-08,3.45387e-08,3.24753e-08,3.06732e-08,2.8966e-08,2.73613e-08,2.57979e-08,2.44405e-08,2.31146e-08,2.18818e-08,2.07299e-08
1.73e-08,0.0919828,4.32353,10.1125,3.71452,0.68517,0.160065,0.0357499,0.0115168,0.00383784,0.00170803,0.000778276,0.000413492,0.00023888,0.000147948,9.7191e-05,6.68618e-05,4.79055e-05,3.54748e-05,2.6994e-05,2.11013e-05,1.68925e-05,1.42971e-05,1.16471e-05,9.67283e-06,8.09915e-06,7.16513e-06,6.14921e-06,5.33436e-06,4.66724e-06,4.24269e-06,3.76796e-06,3.37207e-06,3.03584e-06,2.81084e-06,2.55306e-06,2.37004e-06,2.14561e-06,2.02015e-06,1.84844e-06,1.74434e-06,1.60828e-06,1.52841e-06,1.41322e-06,1.34983e-06,1.25826e-06,1.20449e-06,1.1292e-06,1.07914e-06,1.0186e-06,9.81176e-07,9.29224e-07,8.45607e-07,7.80212e-07,7.18774e-07,6.65025e-07,6.2227e-07,5.81887e-07,5.43684e-07,5.1114e-07,4.8382e-07,4.57865e-07,4.33174e-07,4.09658e-07,3.90461e-07,3.72136e-07,3.57708e-07,3.45406e-07,3.27739e-07,3.16453e-07,3.00214e-07,2.92609e-07,2.80289e-07,2.70605e-07,2.59771e-07,2.52816e-07,2.42762e-07,2.36549e-07,2.27677e-07,2.22127e-07,2.14319e-07,2.08668e-07,2.02747e-07,1.97241e-07,1.91909e-07,1.86961e-07,1.82165e-07,1.77514e-07,1.73209e-07,1.6903e-07,1.65174e-07,1.61428e-07,1.5261e-07,1.4028e-07,1.29865e-07,1.19563e-07,1.10918e-07,1.03395e-07,9.6072e-08,8.97197e-08,8.35667e-08,7.77848e-08,7.26879e-08,6.82884e-08,6.37032e-08,5.97678e-08,5.62033e-08,5.26212e-08,4.95564e-08,4.65603e-08,4.38769e-08,4.13737e-08,3.89703e-08,3.68605e-08,3.47217e-08,3.27741e-08,3.10027e-08,2.92856e-08,2.77272e-08,2.62192e-08,2.48573e-08
2.07e-08,0.110456,5.38662,12.2536,4.65954,0.830811,0.192605,0.0429299,0.0138169,0.0046054,0.00204379,0.000934484,0.000496454,0.000286656,0.000178019,0.000116445,8.02563e-05,5.73802e-05,4.25492e-05,3.24324e-05,2.53025e-05,2.0308e-05,1.71745e-05,1.39939e-05,1.16074e-05,9.69616e-06,8.59816e-06,7.37751e-06,6.39974e-06,5.60069e-06,5.09266e-06,4.52572e-06,4.04242e-06,3.63641e-06,3.3743e-06,3.06493e-06,2.84033e-06,2.57956e-06,2.42299e-06,2.21813e-06,2.09662e-06,1.92993e-06,1.8341e-06,1.70119e-06,1.61769e-06,1.50991e-06,1.44236e-06,1.35207e-06,1.29888e-06,1.21945e-06,1.17458e-06,1.11414e-06,1.01562e-06,9.36254e-07,8.61688e-07,7.99662e-07,7.45138e-07,6.97493e-07,6.5617e-07,6.17019e-07,5.79873e-07,5.4805e-07,5.21163e-07,4.9225e-07,4.67908e-07,4.47824e-07,4.28632e-07,4.12064e-07,3.92696e-07,3.80324e-07,3.62523e-07,3.51131e-07,3.34714e-07,3.24191e-07,3.1162e-07,3.04411e-07,2.90204e-07,2.8356e-07,2.72725e-07,2.66553e-07,2.56431e-07,2.49847e-07,2.43479e-07,2.37316e-07,2.31349e-07,2.23399e-07,2.17829e-07,2.12428e-07,2.07188e-07,2.02918e-07,1.98169e-07,1.93555e-07,1.83055e-07,1.68409e-07,1.55734e-07,1.43574e-07,1.33101e-07,1.24074e-07,1.15286e-07,1.0761e-07,1.00305e-07,9.32936e-08,8.72027e-08,8.19025e-08,7.64026e-08,7.16428e-08,6.74252e-08,6.3181e-08,5.94339e-08,5.59526e-08,5.26523e-08,4.9663e-08,4.67782e-08,4.42326e-08,4.17286e-08,3.93765e-08,3.71693e-08,3.51535e-08,3.33137e-08,3.14826e-08,2.98195e-08
2.49e-08,0.132656,6.7541,14.2811,5.87907,1.00967,0.231889,0.051559,0.0165919,0.00552649,0.00245255,0.0011211,0.000595218,0.00034449,0.000212901,0.000139503,9.61968e-05,6.88775e-05,5.1059e-05,3.88596e-05,3.0363e-05,2.43695e-05,2.05914e-05,1.67752e-05,1.38784e-05,1.16517e-05,1.03496e-05,8.88391e-06,7.65267e-06,6.71645e-06,6.11405e-06,5.42947e-06,4.85497e-06,4.36897e-06,4.04786e-06,3.67792e-06,3.40963e-06,3.09185e-06,2.90878e-06,2.65714e-06,2.51139e-06,2.31814e-06,2.19982e-06,2.03716e-06,1.94333e-06,1.81291e-06,1.73083e-06,1.62447e-06,1.55768e-06,1.46812e-06,1.41044e-06,1.33605e-06,1.22143e-06,1.12264e-06,1.03403e-06,9.58778e-07,8.95751e-07,8.36221e-07,7.83655e-07,7.37502e-07,6.9727e-07,6.59048e-07,6.22688e-07,5.91361e-07,5.64716e-07,5.36128e-07,5.14976e-07,4.969e-07,4.69464e-07,4.55808e-07,4.33328e-07,4.208e-07,4.02745e-07,3.91172e-07,3.74468e-07,3.63745e-07,3.50769e-07,3.4077e-07,3.28732e-07,3.19383e-07,3.08187e-07,3.00742e-07,2.91264e-07,2.84331e-07,2.75415e-07,2.68946e-07,2.62676e-07,2.56596e-07,2.48625e-07,2.4293e-07,2.374e-07,2.32028e-07,2.20203e-07,2.01437e-07,1.8626e-07,1.71505e-07,1.59784e-07,1.49184e-07,1.38288e-07,1.29106e-07,1.20341e-07,1.11928e-07,1.04689e-07,9.82395e-08,9.17863e-08,8.59714e-08,8.09851e-08,7.58704e-08,7.13376e-08,6.7111e-08,6.31065e-08,5.96247e-08,5.61753e-08,5.30528e-08,5.00493e-08,4.7228e-08,4.46371e-08,4.22057e-08,3.99252e-08,3.77693e-08,3.58019e-08
2.99e-08,0.15935,8.50493,16.0496,7.41769,1.23047,0.279381,0.0619342,0.0199177,0.00663178,0.0029489,0.00134643,0.000715051,0.000413639,0.000256203,0.000168326,0.000115126,8.27169e-05,6.12093e-05,4.6671e-05,3.64738e-05,2.92619e-05,2.47277e-05,2.01651e-05,1.66541e-05,1.40146e-05,1.23399e-05,1.06607e-05,9.22822e-06,8.09475e-06,7.35686e-06,6.51398e-06,5.82325e-06,5.24013e-06,4.85744e-06,4.4173e-06,4.09032e-06,3.71263e-06,3.48935e-06,3.19434e-06,3.01708e-06,2.77844e-06,2.63651e-06,2.4478e-06,2.33199e-06,2.17242e-06,2.08003e-06,1.94639e-06,1.87019e-06,1.75983e-06,1.69347e-06,1.60418e-06,1.46303e-06,1.34803e-06,1.24419e-06,1.15461e-06,1.07411e-06,1.00192e-06,9.41135e-07,8.87193e-07,8.36013e-07,7.90857e-07,7.47902e-07,7.10294e-07,6.74432e-07,6.43353e-07,6.16737e-07,5.93857e-07,5.63947e-07,5.45809e-07,5.21126e-07,5.04403e-07,4.81661e-07,4.68871e-07,4.4779e-07,4.35978e-07,4.18904e-07,4.07929e-07,3.94478e-07,3.8422e-07,3.69354e-07,3.6089e-07,3.50427e-07,3.40302e-07,3.32701e-07,3.23169e-07,3.1393e-07,3.07074e-07,3.00422e-07,2.91924e-07,2.85685e-07,2.79623e-07,2.64243e-07,2.43176e-07,2.24202e-07,2.07439e-07,1.92361e-07,1.78726e-07,1.65496e-07,1.54873e-07,1.44562e-07,1.34651e-07,1.25718e-07,1.17626e-07,1.10474e-07,1.03048e-07,9.72569e-08,9.13995e-08,8.52674e-08,8.02764e-08,7.57736e-08,7.15496e-08,6.73689e-08,6.36502e-08,6.00592e-08,5.66855e-08,5.35192e-08,5.06576e-08,4.79204e-08,4.53232e-08,4.29438e-08
3.58e-08,0.191449,10.6748,17.5433,9.22938,1.5046,0.336872,0.0744114,0.0239118,0.00796735,0.00353284,0.00161738,0.000857271,0.000495362,0.000306722,0.000201761,0.000138373,9.92177e-05,7.35127e-05,5.60646e-05,4.38259e-05,3.50774e-05,2.96732e-05,2.41633e-05,2.00185e-05,1.6785e-05,1.48875e-05,1.27465e-05,1.10289e-05,9.69911e-06,8.78538e-06,7.78618e-06,6.97436e-06,6.28948e-06,5.82893e-06,5.30202e-06,4.91334e-06,4.45395e-06,4.1884e-06,3.82975e-06,3.61936e-06,3.33302e-06,3.166e-06,2.93309e-06,2.79944e-06,2.60895e-06,2.49502e-06,2.33765e-06,2.2413e-06,2.10893e-06,2.02839e-06,1.92317e-06,1.75833e-06,1.61677e-06,1.49219e-06,1.38309e-06,1.28814e-06,1.20231e-06,1.13236e-06,1.06244e-06,1.00322e-06,9.46948e-07,8.96806e-07,8.52352e-07,8.09964e-07,7.72654e-07,7.40085e-07,7.15052e-07,6.79099e-07,6.56132e-07,6.25918e-07,6.04726e-07,5.79626e-07,5.62645e-07,5.39443e-07,5.2369e-07,5.04703e-07,4.90012e-07,4.72399e-07,4.61064e-07,4.44636e-07,4.32605e-07,4.20968e-07,4.09706e-07,3.98801e-07,3.88237e-07,3.77997e-07,3.68068e-07,3.58434e-07,3.51126e-07,3.42017e-07,3.35151e-07,3.15943e-07,2.9036e-07,2.69042e-07,2.48274e-07,2.29592e-07,2.14176e-07,1.99157e-07,1.85581e-07,1.73728e-07,1.611e-07,1.50862e-07,1.41587e-07,1.32156e-07,1.23657e-07,1.16895e-07,1.09147e-07,1.02996e-07,9.63316e-08,9.08062e-08,8.58013e-08,8.08427e-08,7.6354e-08,7.19459e-08,6.78084e-08,6.44946e-08,6.08322e-08,5.7402e-08,5.45828e-08,5.14769e-08
4.3e-08,0.230068,13.1568,18.8012,11.1242,1.84754,0.406595,0.0894234,0.0287089,0.00956389,0.00424817,0.00193532,0.00102846,0.000594685,0.000368067,0.000242113,0.000166047,0.000119232,8.81742e-05,6.72379e-05,5.25147e-05,4.20929e-05,3.56079e-05,2.90307e-05,2.39718e-05,2.01257e-05,1.78332e-05,1.52958e-05,1.32796e-05,1.15952e-05,1.0571e-05,9.38513e-06,8.39632e-06,7.52361e-06,6.99471e-06,6.38265e-06,5.89106e-06,5.34595e-06,5.02371e-06,4.59801e-06,4.34096e-06,4.00406e-06,3.7992e-06,3.52504e-06,3.35618e-06,3.1328e-06,2.99605e-06,2.80815e-06,2.69054e-06,2.53454e-06,2.43407e-06,2.30688e-06,2.10731e-06,1.93753e-06,1.79063e-06,1.66052e-06,1.54577e-06,1.44508e-06,1.35733e-06,1.27785e-06,1.20244e-06,1.13772e-06,1.07617e-06,1.02414e-06,9.74539e-07,9.27185e-07,8.88102e-07,8.57456e-07,8.11966e-07,7.86777e-07,7.50535e-07,7.27343e-07,6.93919e-07,6.75174e-07,6.46808e-07,6.2946e-07,6.03121e-07,5.89507e-07,5.67366e-07,5.52316e-07,5.34034e-07,5.18201e-07,5.05162e-07,4.90304e-07,4.78121e-07,4.64149e-07,4.52742e-07,4.41681e-07,4.3095e-07,4.20534e-07,4.1042e-07,4.00595e-07,3.79131e-07,3.48432e-07,3.22506e-07,2.97275e-07,2.76131e-07,2.57011e-07,2.38427e-07,2.22964e-07,2.07966e-07,1.9356e-07,1.80577e-07,1.69904e-07,1.59e-07,1.48193e-07,1.40274e-07,1.31331e-07,1.23258e-07,1.15598e-07,1.0912e-07,1.03252e-07,9.67349e-08,9.14931e-08,8.63351e-08,8.14891e-08,7.6941e-08,7.26756e-08,6.91899e-08,6.53044e-08,6.16795e-08
