,0.34166,0.373237,0.409326,0.440903,0.476992,0.508569,0.544658,0.576235,0.612324,0.643901,0.67999,0.713823,0.747656,0.781489,0.815322,0.849155,0.882988,0.916821,0.950654,0.984487,1.01832,1.04539,1.08147,1.11756,1.15365,1.18072,1.21681,1.2529,1.28898,1.31605,1.35214,1.38823,1.42432,1.45138,1.48747,1.51905,1.55965,1.58671,1.62731,1.65438,1.69498,1.72205,1.76265,1.78971,1.83031,1.85738,1.89798,1.92504,1.96564,1.99271,2.03331,2.10098,2.16864,2.23631,2.30397,2.37164,2.43931,2.50697,2.57464,2.6423,2.70997,2.77764,2.8453,2.91297,2.98063,3.0483,3.10243,3.18363,3.23776,3.31896,3.3731,3.4543,3.50843,3.58963,3.64376,3.72496,3.77909,3.86029,3.91442,3.99562,4.06329,4.13096,4.19862,4.26629,4.33395,4.40162,4.46929,4.53695,4.60462,4.67228,4.73995,4.90911,5.17978,5.45044,5.75494,6.05944,6.36393,6.70226,7.04059,7.41276,7.81875,8.22475,8.63075,9.10441,9.57807,10.0517,10.5931,11.1344,11.7095,12.3185,12.9275,13.6042,14.2809,15.0252,15.8033,16.6153,17.4612,18.3408,19.2881,20.2693,21.2843,22.3669,23.4834,24.7014,25.9532,27.2389,28.626,30.0809
1e-08,0.00973571,0.28602,0.554501,0.266647,0.0687835,0.0196166,0.00522977,0.00190752,0.000713704,0.000343843,0.000170022,9.60065e-05,5.85037e-05,3.79441e-05,2.59086e-05,1.84646e-05,1.36409e-05,1.0389e-05,8.12042e-06,6.49054e-06,5.30725e-06,4.56029e-06,3.78119e-06,3.18271e-06,2.71456e-06,2.42789e-06,2.11156e-06,1.85391e-06,1.64155e-06,1.50596e-06,1.35063e-06,1.21904e-06,1.10664e-06,1.03276e-06,9.45877e-07,8.8252e-07,8.06871e-07,7.62118e-07,7.02201e-07,6.6644e-07,6.18161e-07,5.89111e-07,5.49608e-07,5.2567e-07,4.92917e-07,4.72947e-07,4.4546e-07,4.2861e-07,4.05298e-07,3.90937e-07,3.71726e-07,3.42053e-07,3.16272e-07,2.9371e-07,2.73835e-07,2.56223e-07,2.40529e-07,2.27068e-07,2.14371e-07,2.02899e-07,1.92491e-07,1.83014e-07,1.74354e-07,1.66415e-07,1.59115e-07,1.52639e-07,1.47608e-07,1.40614e-07,1.36284e-07,1.30236e-07,1.26475e-07,1.21201e-07,1.17908e-07,1.13273e-07,1.10369e-07,1.06267e-07,1.03689e-07,1.00038e-07,9.77359e-08,9.44662e-08,9.20577e-08,8.96109e-08,8.72853e-08,8.50724e-08,8.29644e-08,8.09546e-08,7.90361e-08,7.72031e-08,7.54504e-08,7.37726e-08,7.21654e-08,6.84294e-08,6.31749e-08,5.86526e-08,5.42672e-08,5.04819e-08,4.71836e-08,4.39851e-08,4.11896e-08,3.84964e-08,3.59324e-08,3.36889e-08,3.17099e-08,2.96777e-08,2.78924e-08,2.6312e-08,2.47147e-08,2.33032e-08,2.19731e-08,2.07243e-08,1.9613e-08,1.85138e-08,1.75347e-08,1.65744e-08,1.56806e-08,1.4849e-08,1.40753e-08,1.33555e-08,1.2662e-08,1.20195e-08,1.14237e-08,1.08535e-08,1.03258e-08,9.80938e-09,9.33338e-09,8.89375e-09,8.46711e-09,8.06502e-09
1.25892e-08,0.0122583,0.361953,0.706514,0.337988,0.0867735,0.0247124,0.00658522,0.00240163,0.00089853,0.000432881,0.000214047,0.000120865,7.36518e-05,4.77687e-05,3.26169e-05,2.32454e-05,1.7173e-05,1.30789e-05,1.02229e-05,8.17109e-06,6.68141e-06,5.74104e-06,4.76022e-06,4.00678e-06,3.41741e-06,3.05651e-06,2.65828e-06,2.33393e-06,2.06658e-06,1.89588e-06,1.70034e-06,1.53468e-06,1.39316e-06,1.30015e-06,1.19078e-06,1.11102e-06,1.01578e-06,9.59447e-07,8.84019e-07,8.38993e-07,7.78213e-07,7.41641e-07,6.91911e-07,6.61782e-07,6.20541e-07,5.95404e-07,5.60797e-07,5.39587e-07,5.10236e-07,4.92159e-07,4.67973e-07,4.30618e-07,3.98161e-07,3.69757e-07,3.44737e-07,3.22564e-07,3.02807e-07,2.8586e-07,2.69876e-07,2.55434e-07,2.42331e-07,2.304e-07,2.19498e-07,2.09503e-07,2.00313e-07,1.92161e-07,1.85827e-07,1.77022e-07,1.71571e-07,1.63957e-07,1.59222e-07,1.52582e-07,1.48436e-07,1.42601e-07,1.38945e-07,1.33782e-07,1.30537e-07,1.25939e-07,1.23042e-07,1.18925e-07,1.15893e-07,1.12813e-07,1.09885e-07,1.07099e-07,1.04446e-07,1.01915e-07,9.95001e-08,9.71925e-08,9.49858e-08,9.28739e-08,9.08506e-08,8.61471e-08,7.95321e-08,7.3839e-08,6.83181e-08,6.35527e-08,5.94004e-08,5.53738e-08,5.18545e-08,4.84639e-08,4.5236e-08,4.24116e-08,3.99202e-08,3.73619e-08,3.51144e-08,3.31248e-08,3.11138e-08,2.93368e-08,2.76624e-08,2.60901e-08,2.46912e-08,2.33074e-08,2.20748e-08,2.08659e-08,1.97406e-08,1.86937e-08,1.77197e-08,1.68135e-08,1.59405e-08,1.51316e-08,1.43815e-08,1.36638e-08,1.29994e-08,1.23493e-08,1.175e-08,1.11965e-08,1.06594e-08,1.01532e-08
1.58487e-08,0.015435,0.458667,0.903025,0.42918,0.109527,0.0311374,0.0082924,0.00302377,0.00113122,0.000544972,0.000269469,0.00015216,9.27219e-05,6.01368e-05,4.10619e-05,2.9264e-05,2.16192e-05,1.64652e-05,1.28698e-05,1.02867e-05,8.41132e-06,7.22747e-06,5.9927e-06,5.04419e-06,4.30222e-06,3.84788e-06,3.34654e-06,2.93821e-06,2.60164e-06,2.38674e-06,2.14057e-06,1.93203e-06,1.75387e-06,1.63678e-06,1.49909e-06,1.39868e-06,1.27878e-06,1.20786e-06,1.1129e-06,1.05622e-06,9.79702e-07,9.33665e-07,8.71053e-07,8.33126e-07,7.81207e-07,7.49559e-07,7.05994e-07,6.79289e-07,6.42343e-07,6.19584e-07,5.89137e-07,5.4211e-07,5.01251e-07,4.65492e-07,4.33992e-07,4.06081e-07,3.81207e-07,3.59873e-07,3.39751e-07,3.21569e-07,3.05074e-07,2.90053e-07,2.76328e-07,2.63746e-07,2.52176e-07,2.41913e-07,2.3394e-07,2.22855e-07,2.15993e-07,2.06407e-07,2.00447e-07,1.92087e-07,1.86869e-07,1.79522e-07,1.7492e-07,1.6842e-07,1.64334e-07,1.58547e-07,1.54899e-07,1.49716e-07,1.45899e-07,1.42021e-07,1.38336e-07,1.34829e-07,1.31488e-07,1.28302e-07,1.25262e-07,1.22357e-07,1.19579e-07,1.1692e-07,1.14373e-07,1.08452e-07,1.00124e-07,9.29567e-08,8.60064e-08,8.00073e-08,7.478e-08,6.97108e-08,6.52803e-08,6.10117e-08,5.69482e-08,5.33925e-08,5.0256e-08,4.70354e-08,4.42059e-08,4.17011e-08,3.91696e-08,3.69324e-08,3.48245e-08,3.28453e-08,3.10841e-08,2.9342e-08,2.77902e-08,2.62683e-08,2.48517e-08,2.35338e-08,2.23076e-08,2.11667e-08,2.00676e-08,1.90494e-08,1.8105e-08,1.72015e-08,1.63651e-08,1.55466e-08,1.47922e-08,1.40954e-08,1.34193e-08,1.2782e-08
1.99526e-08,0.0194363,0.582238,1.15874,0.546232,0.138346,0.0392423,0.0104431,0.00380726,0.00142423,0.000686109,0.000339252,0.000191564,0.000116732,7.57093e-05,5.16948e-05,3.68418e-05,2.72175e-05,2.07287e-05,1.62024e-05,1.29504e-05,1.05894e-05,9.09898e-06,7.54447e-06,6.35035e-06,5.41625e-06,4.84426e-06,4.2131e-06,3.69905e-06,3.27532e-06,3.00478e-06,2.69486e-06,2.43231e-06,2.20802e-06,2.06062e-06,1.88727e-06,1.76086e-06,1.60991e-06,1.52062e-06,1.40108e-06,1.32972e-06,1.23339e-06,1.17543e-06,1.09661e-06,1.04886e-06,9.83499e-07,9.43655e-07,8.88811e-07,8.5519e-07,8.08676e-07,7.80021e-07,7.41692e-07,6.82485e-07,6.31044e-07,5.86028e-07,5.46373e-07,5.11232e-07,4.79918e-07,4.53061e-07,4.27725e-07,4.04837e-07,3.84069e-07,3.65159e-07,3.47882e-07,3.3204e-07,3.17476e-07,3.04555e-07,2.94517e-07,2.80562e-07,2.71922e-07,2.59855e-07,2.52351e-07,2.41827e-07,2.35257e-07,2.26008e-07,2.20214e-07,2.1203e-07,2.06887e-07,1.99601e-07,1.95008e-07,1.88484e-07,1.83679e-07,1.78797e-07,1.74157e-07,1.69742e-07,1.65536e-07,1.61525e-07,1.57697e-07,1.5404e-07,1.50543e-07,1.47196e-07,1.43989e-07,1.36534e-07,1.2605e-07,1.17027e-07,1.08277e-07,1.00725e-07,9.41437e-08,8.77619e-08,8.21842e-08,7.68103e-08,7.16945e-08,6.72181e-08,6.32695e-08,5.92148e-08,5.56527e-08,5.24994e-08,4.93121e-08,4.64958e-08,4.38421e-08,4.13503e-08,3.9133e-08,3.69398e-08,3.49863e-08,3.30703e-08,3.12869e-08,2.96277e-08,2.80839e-08,2.66477e-08,2.5264e-08,2.39821e-08,2.27932e-08,2.16557e-08,2.06027e-08,1.95723e-08,1.86225e-08,1.77454e-08,1.68941e-08,1.60918e-08
2.51184e-08,0.0244757,0.740686,1.49386,0.697181,0.174893,0.0494694,0.0131523,0.00479379,0.0017931,0.000863781,0.000427095,0.000241163,0.000146956,9.53112e-05,6.50791e-05,4.63804e-05,3.42643e-05,2.60956e-05,2.03973e-05,1.63033e-05,1.3331e-05,1.14548e-05,9.49774e-06,7.99447e-06,6.81854e-06,6.09846e-06,5.30389e-06,4.65674e-06,4.12332e-06,3.78273e-06,3.39257e-06,3.06205e-06,2.77969e-06,2.59412e-06,2.37589e-06,2.21675e-06,2.02673e-06,1.91432e-06,1.76383e-06,1.67399e-06,1.55272e-06,1.47975e-06,1.38053e-06,1.32041e-06,1.23813e-06,1.18797e-06,1.11892e-06,1.0766e-06,1.01804e-06,9.81973e-07,9.33717e-07,8.59181e-07,7.94425e-07,7.37752e-07,6.87832e-07,6.43589e-07,6.04172e-07,5.70358e-07,5.38468e-07,5.09651e-07,4.83509e-07,4.59703e-07,4.37951e-07,4.18009e-07,3.9967e-07,3.83404e-07,3.70769e-07,3.53199e-07,3.42324e-07,3.27131e-07,3.17685e-07,3.04437e-07,2.96166e-07,2.84522e-07,2.77228e-07,2.66925e-07,2.6045e-07,2.51278e-07,2.45497e-07,2.37283e-07,2.31234e-07,2.25088e-07,2.19247e-07,2.13688e-07,2.08394e-07,2.03345e-07,1.98526e-07,1.93922e-07,1.89519e-07,1.85305e-07,1.81268e-07,1.71883e-07,1.58685e-07,1.47326e-07,1.36311e-07,1.26803e-07,1.18518e-07,1.10484e-07,1.03462e-07,9.66967e-08,9.02564e-08,8.4621e-08,7.96501e-08,7.45458e-08,7.00614e-08,6.60917e-08,6.20793e-08,5.85337e-08,5.51929e-08,5.2056e-08,4.92647e-08,4.65036e-08,4.40443e-08,4.16323e-08,3.93872e-08,3.72983e-08,3.5355e-08,3.35468e-08,3.1805e-08,3.01912e-08,2.86945e-08,2.72624e-08,2.59368e-08,2.46396e-08,2.3444e-08,2.23397e-08,2.1268e-08,2.0258e-08
3.16224e-08,0.0308247,0.944859,1.93639,0.893068,0.221345,0.0623853,0.0165666,0.00603636,0.0022576,0.0010875,0.0005377,0.000303615,0.00018501,0.000119992,8.19308e-05,5.83901e-05,4.31365e-05,3.28527e-05,2.56789e-05,2.05247e-05,1.67829e-05,1.44207e-05,1.19571e-05,1.00645e-05,8.58412e-06,7.67756e-06,6.67725e-06,5.86253e-06,5.19098e-06,4.7622e-06,4.27103e-06,3.85492e-06,3.49945e-06,3.26582e-06,2.99108e-06,2.79075e-06,2.55151e-06,2.41e-06,2.22054e-06,2.10745e-06,1.95477e-06,1.86291e-06,1.73799e-06,1.66231e-06,1.55872e-06,1.49557e-06,1.40865e-06,1.35537e-06,1.28165e-06,1.23624e-06,1.17549e-06,1.08166e-06,1.00013e-06,9.28782e-07,8.65932e-07,8.10239e-07,7.60611e-07,7.18045e-07,6.77896e-07,6.41617e-07,6.08704e-07,5.78734e-07,5.5135e-07,5.26244e-07,5.03159e-07,4.8268e-07,4.66774e-07,4.44656e-07,4.30962e-07,4.11837e-07,3.99944e-07,3.83266e-07,3.72851e-07,3.58195e-07,3.49012e-07,3.36042e-07,3.2789e-07,3.16342e-07,3.09064e-07,2.98725e-07,2.91109e-07,2.83371e-07,2.76016e-07,2.69019e-07,2.62355e-07,2.55998e-07,2.49931e-07,2.44135e-07,2.38592e-07,2.33288e-07,2.28204e-07,2.1639e-07,1.99775e-07,1.85474e-07,1.71606e-07,1.59636e-07,1.49207e-07,1.39092e-07,1.30252e-07,1.21735e-07,1.13627e-07,1.06532e-07,1.00274e-07,9.38482e-08,8.82026e-08,8.3205e-08,7.81537e-08,7.36901e-08,6.94842e-08,6.55351e-08,6.20211e-08,5.8545e-08,5.54489e-08,5.24123e-08,4.95859e-08,4.69562e-08,4.45096e-08,4.22332e-08,4.00404e-08,3.80087e-08,3.61244e-08,3.43215e-08,3.26528e-08,3.10197e-08,2.95144e-08,2.81242e-08,2.6775e-08,2.55035e-08
3.98105e-08,0.0388243,1.20944,2.52329,1.14908,0.280523,0.0787084,0.0208701,0.00760144,0.00284249,0.00136917,0.000676954,0.000382239,0.000232919,0.000151062,0.000103146,7.35096e-05,5.43062e-05,4.13595e-05,3.23281e-05,2.58394e-05,2.11286e-05,1.81548e-05,1.50531e-05,1.26706e-05,1.08068e-05,9.66552e-06,8.40626e-06,7.38055e-06,6.53511e-06,5.9953e-06,5.37694e-06,4.85309e-06,4.40557e-06,4.11145e-06,3.76558e-06,3.51337e-06,3.21219e-06,3.03403e-06,2.79551e-06,2.65313e-06,2.46092e-06,2.34528e-06,2.18802e-06,2.09273e-06,1.96233e-06,1.88283e-06,1.7734e-06,1.70632e-06,1.61351e-06,1.55634e-06,1.47986e-06,1.36173e-06,1.25909e-06,1.16927e-06,1.09015e-06,1.02003e-06,9.57558e-07,9.0397e-07,8.53425e-07,8.07752e-07,7.66317e-07,7.28589e-07,6.94112e-07,6.62506e-07,6.33444e-07,6.07665e-07,5.87636e-07,5.59793e-07,5.42554e-07,5.18476e-07,5.03506e-07,4.82505e-07,4.69396e-07,4.50943e-07,4.39383e-07,4.23055e-07,4.12791e-07,3.98255e-07,3.89092e-07,3.76075e-07,3.66486e-07,3.56744e-07,3.47487e-07,3.38677e-07,3.30285e-07,3.22284e-07,3.14647e-07,3.0735e-07,3.00372e-07,2.93692e-07,2.87294e-07,2.72421e-07,2.51502e-07,2.33499e-07,2.16041e-07,2.00971e-07,1.87841e-07,1.75108e-07,1.63979e-07,1.53256e-07,1.43048e-07,1.34117e-07,1.26239e-07,1.18148e-07,1.11041e-07,1.04749e-07,9.83902e-08,9.27709e-08,8.74764e-08,8.25047e-08,7.80807e-08,7.37044e-08,6.98066e-08,6.59838e-08,6.24254e-08,5.91144e-08,5.60345e-08,5.31686e-08,5.04082e-08,4.78503e-08,4.54784e-08,4.32085e-08,4.11078e-08,3.90515e-08,3.71567e-08,3.54064e-08,3.37081e-08,3.21072e-08
5.01184e-08,0.0489058,1.55461,3.29658,1.48631,0.356148,0.0993576,0.0262956,0.00957291,0.003579,0.00172382,0.000852272,0.000481224,0.000293234,0.00019018,0.000129854,9.25438e-05,6.83678e-05,5.20686e-05,4.06987e-05,3.25299e-05,2.65993e-05,2.28556e-05,1.89508e-05,1.59513e-05,1.36049e-05,1.21682e-05,1.05828e-05,9.29155e-06,8.22718e-06,7.54764e-06,6.76916e-06,6.10967e-06,5.54628e-06,5.17601e-06,4.74057e-06,4.42306e-06,4.04391e-06,3.81962e-06,3.51934e-06,3.34009e-06,3.09812e-06,2.95252e-06,2.75455e-06,2.63459e-06,2.47042e-06,2.37034e-06,2.23258e-06,2.14813e-06,2.03129e-06,1.95932e-06,1.86303e-06,1.71432e-06,1.5851e-06,1.47203e-06,1.37242e-06,1.28415e-06,1.20549e-06,1.13803e-06,1.07439e-06,1.0169e-06,9.64735e-07,9.17236e-07,8.73836e-07,8.34047e-07,7.97458e-07,7.65004e-07,7.39791e-07,7.04736e-07,6.83036e-07,6.52722e-07,6.33873e-07,6.07437e-07,5.90935e-07,5.67704e-07,5.5315e-07,5.32593e-07,5.19674e-07,5.01372e-07,4.89837e-07,4.73448e-07,4.61377e-07,4.49116e-07,4.37461e-07,4.26369e-07,4.15806e-07,4.05732e-07,3.96117e-07,3.86929e-07,3.78144e-07,3.69736e-07,3.61682e-07,3.42957e-07,3.16623e-07,2.93958e-07,2.71979e-07,2.53008e-07,2.36477e-07,2.20447e-07,2.06437e-07,1.92938e-07,1.80088e-07,1.68843e-07,1.58925e-07,1.4874e-07,1.39793e-07,1.31872e-07,1.23866e-07,1.16792e-07,1.10126e-07,1.03867e-07,9.82971e-08,9.27881e-08,8.78808e-08,8.30681e-08,7.85888e-08,7.44212e-08,7.05432e-08,6.69354e-08,6.34603e-08,6.024e-08,5.72538e-08,5.43963e-08,5.17513e-08,4.9163e-08,4.67775e-08,4.45742e-08,4.24359e-08,4.04204e-08
6.30961e-08,0.0616153,2.00829,4.28066,1.93364,0.45318,0.125515,0.0331393,0.0120569,0.00450657,0.0021704,0.00107302,0.000605855,0.000369174,0.000239429,0.000163482,0.000116508,8.60715e-05,6.55516e-05,5.12375e-05,4.09533e-05,3.3487e-05,2.87739e-05,2.3858e-05,2.00818e-05,1.71279e-05,1.5319e-05,1.33232e-05,1.16975e-05,1.03576e-05,9.50199e-06,8.52198e-06,7.6917e-06,6.98244e-06,6.51629e-06,5.96811e-06,5.56837e-06,5.09104e-06,4.80867e-06,4.43064e-06,4.20498e-06,3.90035e-06,3.71705e-06,3.46781e-06,3.3168e-06,3.11011e-06,2.98412e-06,2.81068e-06,2.70436e-06,2.55728e-06,2.46667e-06,2.34545e-06,2.15823e-06,1.99555e-06,1.8532e-06,1.7278e-06,1.61667e-06,1.51765e-06,1.43271e-06,1.3526e-06,1.28022e-06,1.21455e-06,1.15475e-06,1.10011e-06,1.05001e-06,1.00395e-06,9.63094e-07,9.31352e-07,8.87222e-07,8.59901e-07,8.2174e-07,7.9801e-07,7.64728e-07,7.43953e-07,7.14704e-07,6.96383e-07,6.70504e-07,6.5424e-07,6.31199e-07,6.16675e-07,5.96043e-07,5.80848e-07,5.6541e-07,5.50736e-07,5.36773e-07,5.23473e-07,5.10792e-07,4.98688e-07,4.87121e-07,4.76061e-07,4.65477e-07,4.55336e-07,4.31762e-07,3.9861e-07,3.70075e-07,3.42405e-07,3.18522e-07,2.9771e-07,2.77529e-07,2.59891e-07,2.42898e-07,2.26719e-07,2.12563e-07,2.00077e-07,1.87255e-07,1.7599e-07,1.66018e-07,1.5594e-07,1.47034e-07,1.38641e-07,1.30762e-07,1.2375e-07,1.16815e-07,1.10637e-07,1.04578e-07,9.89385e-08,9.36915e-08,8.88101e-08,8.42677e-08,7.98926e-08,7.58384e-08,7.20788e-08,6.84819e-08,6.51519e-08,6.18933e-08,5.88903e-08,5.61162e-08,5.34242e-08,5.0887e-08
