,0.296267,0.308107,0.319947,0.347573,0.367307,0.38704,0.406773,0.426507,0.44624,0.46992,0.489653,0.509387,0.52912,0.548853,0.568587,0.58832,0.608053,0.627787,0.64752,0.66528,0.68896,0.70672,0.72448,0.74816,0.76592,0.7896,0.80736,0.82512,0.8488,0.86656,0.88432,0.908,0.92576,0.94944,0.9672,0.98496,1.00272,1.0264,1.08955,1.1448,1.20795,1.2632,1.32635,1.39739,1.46843,1.53552,1.6184,1.70128,1.78416,1.87888,1.9736,2.0624,2.166,2.2844,2.388,2.5064,2.64453,2.76293,2.9208,3.06288,3.20496,3.37072,3.53648,3.72592,3.91536,4.1048,4.312,4.5192,4.756,4.9928,5.2296,5.496,5.792,6.0584,6.384,6.7096,7.0352,7.3904,7.7456,8.1304,8.5448,8.9888,9.4328,9.9064,10.4096
1.07e-07,3.01966e-07,1.44957e-06,7.41801e-06,4.74626e-05,6.79969e-05,6.44351e-05,5.24362e-05,3.66299e-05,2.44778e-05,1.63166e-05,1.10863e-05,7.75266e-06,5.95823e-06,4.4107e-06,3.36313e-06,2.63405e-06,2.1128e-06,1.73073e-06,1.44412e-06,1.2733e-06,1.10795e-06,9.35393e-07,8.3269e-07,7.47271e-07,6.75481e-07,6.14573e-07,5.46724e-07,5.03838e-07,4.66483e-07,4.33727e-07,3.95951e-07,3.71291e-07,3.49264e-07,3.29496e-07,3.11677e-07,2.9051e-07,2.78789e-07,2.67028e-07,2.28034e-07,2.01837e-07,1.80842e-07,1.63682e-07,1.47578e-07,1.34301e-07,1.21915e-07,1.13122e-07,1.02824e-07,9.53708e-08,8.79269e-08,8.15561e-08,7.53162e-08,7.0278e-08,6.5189e-08,6.07869e-08,5.69412e-08,5.32729e-08,4.9902e-08,4.69324e-08,4.38857e-08,4.13736e-08,3.85458e-08,3.64129e-08,3.42049e-08,3.22496e-08,3.02722e-08,2.87558e-08,2.70359e-08,2.55101e-08,2.41475e-08,2.27582e-08,2.15201e-08,2.04099e-08,1.92903e-08,1.81822e-08,1.71946e-08,1.63086e-08,1.5434e-08,1.46485e-08,1.38778e-08,1.31296e-08,1.24579e-08,1.18075e-08,1.12215e-08,1.06551e-08,1.01107e-08
1.28e-07,3.61232e-07,1.73406e-06,8.87387e-06,5.67775e-05,8.13419e-05,7.70813e-05,6.27274e-05,4.38187e-05,2.92819e-05,1.9519e-05,1.32622e-05,9.27421e-06,7.12762e-06,5.27637e-06,4.0232e-06,3.15101e-06,2.52748e-06,2.07039e-06,1.72754e-06,1.5232e-06,1.3254e-06,1.11897e-06,9.96116e-07,8.93931e-07,8.08052e-07,7.35189e-07,6.54025e-07,6.02724e-07,5.58035e-07,5.18851e-07,4.73661e-07,4.44161e-07,4.17811e-07,3.94164e-07,3.72847e-07,3.47526e-07,3.33504e-07,3.19436e-07,2.72788e-07,2.41451e-07,2.16335e-07,1.95807e-07,1.76542e-07,1.60659e-07,1.45843e-07,1.35323e-07,1.23004e-07,1.14089e-07,1.05184e-07,9.75626e-08,9.00978e-08,8.40708e-08,7.79831e-08,7.27171e-08,6.81169e-08,6.37283e-08,5.96957e-08,5.61435e-08,5.24988e-08,4.94936e-08,4.6111e-08,4.35596e-08,4.09182e-08,3.85789e-08,3.62134e-08,3.43995e-08,3.23419e-08,3.05167e-08,2.88866e-08,2.72248e-08,2.57438e-08,2.44155e-08,2.30763e-08,2.17508e-08,2.05691e-08,1.95095e-08,1.84632e-08,1.75234e-08,1.66015e-08,1.57065e-08,1.4903e-08,1.41248e-08,1.3424e-08,1.27463e-08,1.2095e-08
1.54e-07,4.34606e-07,2.08629e-06,1.06764e-05,6.83105e-05,9.78647e-05,9.27383e-05,7.54688e-05,5.27196e-05,3.52298e-05,2.34838e-05,1.5956e-05,1.1158e-05,8.5754e-06,6.34812e-06,4.8404e-06,3.79106e-06,3.04087e-06,2.49095e-06,2.07845e-06,1.8326e-06,1.59461e-06,1.34626e-06,1.19845e-06,1.07551e-06,9.72189e-07,8.84525e-07,7.86874e-07,7.25151e-07,6.71386e-07,6.24243e-07,5.69873e-07,5.34382e-07,5.02679e-07,4.74228e-07,4.48582e-07,4.18118e-07,4.01247e-07,3.84321e-07,3.28197e-07,2.90495e-07,2.60278e-07,2.3558e-07,2.12402e-07,1.93293e-07,1.75467e-07,1.62811e-07,1.4799e-07,1.37263e-07,1.26549e-07,1.1738e-07,1.08399e-07,1.01148e-07,9.38238e-08,8.74878e-08,8.19532e-08,7.66732e-08,7.18216e-08,6.75476e-08,6.31626e-08,5.9547e-08,5.54774e-08,5.24073e-08,4.92295e-08,4.64155e-08,4.35693e-08,4.1387e-08,3.89115e-08,3.67154e-08,3.47543e-08,3.27547e-08,3.09729e-08,2.9375e-08,2.77638e-08,2.61688e-08,2.47473e-08,2.34723e-08,2.22134e-08,2.10827e-08,1.99737e-08,1.88968e-08,1.79302e-08,1.69939e-08,1.61506e-08,1.53353e-08,1.45518e-08
1.85e-07,5.2209e-07,2.50626e-06,1.28255e-05,8.2061e-05,0.000117564,0.000111406,9.06605e-05,6.33319e-05,4.23215e-05,2.8211e-05,1.91679e-05,1.34041e-05,1.03016e-05,7.626e-06,5.81478e-06,4.55419e-06,3.65299e-06,2.99237e-06,2.49684e-06,2.2015e-06,1.91561e-06,1.61727e-06,1.4397e-06,1.29201e-06,1.16789e-06,1.06258e-06,9.45271e-07,8.71123e-07,8.06535e-07,7.49902e-07,6.84588e-07,6.41952e-07,6.03868e-07,5.6969e-07,5.38881e-07,5.02284e-07,4.82018e-07,4.61685e-07,3.94263e-07,3.48971e-07,3.12671e-07,2.83002e-07,2.55159e-07,2.32203e-07,2.10788e-07,1.95585e-07,1.7778e-07,1.64893e-07,1.52023e-07,1.41009e-07,1.30219e-07,1.21509e-07,1.1271e-07,1.05099e-07,9.845e-08,9.21075e-08,8.62791e-08,8.11447e-08,7.58771e-08,7.15336e-08,6.66449e-08,6.29571e-08,5.91394e-08,5.57586e-08,5.23396e-08,4.9718e-08,4.67443e-08,4.41063e-08,4.17502e-08,3.93483e-08,3.72078e-08,3.52881e-08,3.33525e-08,3.14366e-08,2.97288e-08,2.81972e-08,2.6685e-08,2.53266e-08,2.39943e-08,2.27008e-08,2.15394e-08,2.04147e-08,1.94018e-08,1.84223e-08,1.74811e-08
2.22e-07,6.26511e-07,3.00751e-06,1.53906e-05,9.84734e-05,0.000141077,0.000133687,0.000108792,7.59982e-05,5.07858e-05,3.38532e-05,2.30016e-05,1.60849e-05,1.23619e-05,9.1512e-06,6.97772e-06,5.46503e-06,4.38359e-06,3.59084e-06,2.99621e-06,2.6418e-06,2.29873e-06,1.94072e-06,1.72764e-06,1.55042e-06,1.40147e-06,1.2751e-06,1.13432e-06,1.04535e-06,9.67841e-07,8.99883e-07,8.21505e-07,7.70342e-07,7.24642e-07,6.83628e-07,6.46657e-07,6.0274e-07,5.78422e-07,5.54022e-07,4.73116e-07,4.18766e-07,3.75205e-07,3.39602e-07,3.06191e-07,2.78643e-07,2.52946e-07,2.34701e-07,2.13337e-07,1.97872e-07,1.82428e-07,1.6921e-07,1.56263e-07,1.45811e-07,1.35252e-07,1.26119e-07,1.1814e-07,1.10529e-07,1.03535e-07,9.73738e-08,9.10527e-08,8.58404e-08,7.99737e-08,7.55484e-08,7.09673e-08,6.69105e-08,6.28076e-08,5.96616e-08,5.60931e-08,5.29274e-08,5.01003e-08,4.72178e-08,4.46493e-08,4.23458e-08,4.0023e-08,3.77238e-08,3.56746e-08,3.38367e-08,3.20219e-08,3.0392e-08,2.87932e-08,2.72409e-08,2.58474e-08,2.44977e-08,2.32822e-08,2.21069e-08,2.09773e-08
2.66e-07,7.50682e-07,3.60359e-06,1.8441e-05,0.000117991,0.000169039,0.000160184,0.000130355,9.10609e-05,6.08514e-05,4.05629e-05,2.75603e-05,1.92729e-05,1.48121e-05,1.09649e-05,8.36069e-06,6.54819e-06,5.25241e-06,4.30255e-06,3.59005e-06,3.16539e-06,2.75433e-06,2.32537e-06,2.07006e-06,1.8577e-06,1.67924e-06,1.52781e-06,1.35914e-06,1.25254e-06,1.15966e-06,1.07824e-06,9.84326e-07,9.23022e-07,8.68264e-07,8.19121e-07,7.74824e-07,7.22202e-07,6.93064e-07,6.63828e-07,5.66887e-07,5.01764e-07,4.4957e-07,4.06911e-07,3.66877e-07,3.33869e-07,3.0308e-07,2.81219e-07,2.55619e-07,2.3709e-07,2.18585e-07,2.02747e-07,1.87234e-07,1.7471e-07,1.62059e-07,1.51115e-07,1.41555e-07,1.32436e-07,1.24055e-07,1.16673e-07,1.09099e-07,1.02854e-07,9.58243e-08,9.05219e-08,8.50329e-08,8.01719e-08,7.52557e-08,7.14865e-08,6.72107e-08,6.34176e-08,6.00299e-08,5.65764e-08,5.34987e-08,5.07386e-08,4.79554e-08,4.52007e-08,4.27453e-08,4.0543e-08,3.83687e-08,3.64156e-08,3.45e-08,3.26399e-08,3.09702e-08,2.93531e-08,2.78966e-08,2.64884e-08,2.5135e-08
3.19e-07,9.00255e-07,4.32162e-06,2.21153e-05,0.0001415,0.000202719,0.0001921,0.000156328,0.000109204,7.2976e-05,4.86449e-05,3.30517e-05,2.31131e-05,1.77633e-05,1.31497e-05,1.00265e-05,7.8529e-06,6.29895e-06,5.15981e-06,4.30536e-06,3.7961e-06,3.30314e-06,2.78869e-06,2.48251e-06,2.22784e-06,2.01382e-06,1.83223e-06,1.62996e-06,1.5021e-06,1.39073e-06,1.29307e-06,1.18045e-06,1.10693e-06,1.04126e-06,9.8233e-07,9.29205e-07,8.661e-07,8.31155e-07,7.96094e-07,6.79837e-07,6.0174e-07,5.39146e-07,4.87987e-07,4.39977e-07,4.00392e-07,3.63468e-07,3.37251e-07,3.06551e-07,2.8433e-07,2.62137e-07,2.43144e-07,2.2454e-07,2.09521e-07,1.94349e-07,1.81224e-07,1.6976e-07,1.58823e-07,1.48773e-07,1.3992e-07,1.30837e-07,1.23347e-07,1.14917e-07,1.08558e-07,1.01976e-07,9.61462e-08,9.02504e-08,8.57301e-08,8.06022e-08,7.60534e-08,7.19908e-08,6.78491e-08,6.41582e-08,6.08482e-08,5.75104e-08,5.42069e-08,5.12622e-08,4.86211e-08,4.60135e-08,4.36714e-08,4.1374e-08,3.91434e-08,3.71409e-08,3.52017e-08,3.3455e-08,3.17661e-08,3.0143e-08
3.83e-07,1.08087e-06,5.18865e-06,2.65523e-05,0.000169888,0.00024339,0.00023064,0.000187691,0.000131114,8.76169e-05,5.84043e-05,3.96828e-05,2.77501e-05,2.13271e-05,1.57879e-05,1.20382e-05,9.42839e-06,7.56269e-06,6.19501e-06,5.16913e-06,4.55769e-06,3.96583e-06,3.34818e-06,2.98056e-06,2.67481e-06,2.41784e-06,2.19982e-06,1.95697e-06,1.80346e-06,1.66974e-06,1.5525e-06,1.41728e-06,1.32901e-06,1.25017e-06,1.17942e-06,1.11563e-06,1.03986e-06,9.97906e-07,9.55816e-07,8.16231e-07,7.22464e-07,6.47313e-07,5.8589e-07,5.28248e-07,4.80722e-07,4.36389e-07,4.04913e-07,3.68053e-07,3.41374e-07,3.14729e-07,2.91925e-07,2.69589e-07,2.51556e-07,2.3334e-07,2.17583e-07,2.03819e-07,1.90687e-07,1.78621e-07,1.67992e-07,1.57086e-07,1.48094e-07,1.37973e-07,1.30338e-07,1.22435e-07,1.15436e-07,1.08357e-07,1.0293e-07,9.67731e-08,9.13118e-08,8.64341e-08,8.14615e-08,7.703e-08,7.30559e-08,6.90486e-08,6.50822e-08,6.15467e-08,5.83758e-08,5.5245e-08,5.2433e-08,4.96748e-08,4.69965e-08,4.45925e-08,4.22641e-08,4.01669e-08,3.81392e-08,3.61906e-08
4.6e-07,1.29817e-06,6.23178e-06,3.18904e-05,0.000204043,0.000292321,0.000277009,0.000225425,0.000157473,0.000105232,7.01461e-05,4.76608e-05,3.33292e-05,2.56148e-05,1.89619e-05,1.44583e-05,1.13239e-05,9.08311e-06,7.44049e-06,6.20835e-06,5.47399e-06,4.76314e-06,4.02131e-06,3.57979e-06,3.21257e-06,2.90395e-06,2.64208e-06,2.35041e-06,2.16604e-06,2.00544e-06,1.86462e-06,1.70222e-06,1.59621e-06,1.50151e-06,1.41652e-06,1.33992e-06,1.24892e-06,1.19853e-06,1.14797e-06,9.80328e-07,8.6771e-07,7.77452e-07,7.0368e-07,6.34449e-07,5.77368e-07,5.24122e-07,4.86318e-07,4.42048e-07,4.10006e-07,3.78004e-07,3.50615e-07,3.23789e-07,3.0213e-07,2.80252e-07,2.61327e-07,2.44795e-07,2.29024e-07,2.14532e-07,2.01765e-07,1.88668e-07,1.77868e-07,1.65711e-07,1.56542e-07,1.4705e-07,1.38643e-07,1.30142e-07,1.23623e-07,1.16229e-07,1.0967e-07,1.03811e-07,9.78388e-08,9.25164e-08,8.77434e-08,8.29305e-08,7.81666e-08,7.39205e-08,7.01119e-08,6.63517e-08,6.29744e-08,5.96617e-08,5.6445e-08,5.35575e-08,5.07611e-08,4.82423e-08,4.5807e-08,4.34665e-08
