,0.899,0.944,0.992,1.042,1.095,1.15,1.208,1.269,1.333,1.4,1.47,1.544,1.622,1.704,1.79,1.88,1.974,2.073,2.177,2.286,2.401,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.672,6.822,6.972,7.122,7.272,7.422,7.572,7.722,7.872,8.022,8.158,8.566,8.995,9.445,9.918,10.414,10.935
1.14e-06,0.184278,0.159233,0.137531,0.119237,0.103755,0.0908184,0.0800636,0.0701379,0.0620734,0.0548222,0.0500556,0.0442514,0.0360263,0.0318376,0.0283423,0.0253247,0.0227059,0.0204044,0.0183816,0.0166029,0.0150243,0.0138614,0.0128368,0.0119378,0.0111433,0.0104376,0.00980727,0.00924156,0.00873166,0.00827015,0.00785082,0.00746843,0.00711849,0.00679724,0.00650149,0.00622827,0.00597551,0.00574102,0.00552297,0.00531977,0.00513001,0.00495244,0.00478601,0.00462972,0.00448272,0.00434422,0.00421353,0.00409,0.00397311,0.00386235,0.00375704,0.00365713,0.00356213,0.00347163,0.00338535,0.00330305,0.00322442,0.00314918,0.0030772,0.00300822,0.00294208,0.0028786,0.00281761,0.00277517,0.00269045,0.00261041,0.00253469,0.00246292,0.00239486,0.00233021,0.00226877,0.00221031,0.00215465,0.00210646,0.00197378,0.00185135,0.00173914,0.00163669,0.00154391,0.00146024
1.37e-06,0.22281,0.192419,0.166105,0.143946,0.125203,0.109552,0.096547,0.0845533,0.0748129,0.0660596,0.0603023,0.0532989,0.0433879,0.0383382,0.0341246,0.0304879,0.0273325,0.0245598,0.0221232,0.019981,0.01808,0.0166798,0.0154462,0.0143639,0.0134074,0.0125579,0.0117991,0.0111182,0.0105044,0.00994896,0.00944432,0.00898417,0.00856306,0.00817645,0.0078206,0.00749178,0.00718766,0.00690549,0.00664314,0.00639867,0.00617035,0.00595674,0.00575652,0.0055685,0.00539164,0.00522502,0.0050678,0.00491919,0.00477858,0.00464536,0.00451861,0.0043984,0.00428412,0.00417525,0.00407145,0.00397242,0.00387784,0.00378735,0.00370075,0.00361778,0.00353822,0.00346185,0.00338849,0.00333744,0.00323555,0.00313928,0.00304818,0.00296188,0.00288001,0.00280226,0.00272835,0.00265804,0.00259109,0.00253314,0.00237357,0.00222632,0.00209138,0.00196815,0.00185658,0.00175596
1.65e-06,0.270366,0.233321,0.201281,0.17433,0.151554,0.132549,0.116767,0.102225,0.0904217,0.0798214,0.0728448,0.0643679,0.0523925,0.0462875,0.0411934,0.0367981,0.0329859,0.0296365,0.0266934,0.0241066,0.0218112,0.0201209,0.0186317,0.0173255,0.0161709,0.0151457,0.01423,0.0134082,0.0126676,0.0119974,0.0113886,0.0108335,0.0103255,0.0098591,0.00942986,0.00903313,0.00866631,0.00832595,0.00800952,0.00771467,0.00743929,0.00718168,0.00694022,0.00671348,0.0065002,0.00629929,0.0061097,0.00593048,0.00576093,0.00560027,0.00544737,0.00530239,0.00516458,0.00503327,0.00490808,0.00478869,0.00467465,0.0045655,0.00446107,0.00436105,0.00426512,0.00417304,0.00408458,0.00402302,0.00390017,0.00378411,0.00367428,0.00357022,0.00347152,0.00337778,0.00328869,0.00320392,0.00312321,0.00305334,0.00286098,0.00268347,0.0025208,0.00237225,0.00223776,0.00211647
1.98e-06,0.327367,0.282261,0.243302,0.21058,0.182956,0.159925,0.140816,0.123227,0.10896,0.0961571,0.0877235,0.0774909,0.0630659,0.0557066,0.0495661,0.0442703,0.0396785,0.0356449,0.0321012,0.0289872,0.0262246,0.0241905,0.0223987,0.0208272,0.0194382,0.018205,0.0171035,0.016115,0.0152243,0.0144183,0.0136863,0.0130188,0.012408,0.0118473,0.0113312,0.0108542,0.0104132,0.010004,0.00962368,0.00926927,0.00893829,0.00862868,0.00833845,0.00806594,0.00780964,0.00756817,0.00734035,0.00712494,0.00692118,0.00672815,0.00654426,0.00637,0.00620439,0.00604659,0.00589612,0.00575264,0.00561559,0.00548442,0.00535894,0.00523872,0.00512346,0.00501282,0.00490653,0.00483256,0.00468495,0.00454549,0.00441353,0.0042885,0.00416992,0.00405731,0.00395026,0.00384842,0.00375147,0.00366753,0.00343642,0.00322318,0.00302778,0.00284933,0.00268777,0.00254209
2.37e-06,0.396078,0.341183,0.293788,0.254057,0.220562,0.192668,0.169549,0.148296,0.131069,0.115628,0.105442,0.0931081,0.0757653,0.066909,0.0595199,0.0531502,0.0476295,0.042781,0.0385223,0.0347811,0.0314627,0.0290198,0.0268683,0.0249817,0.0233139,0.0218337,0.0205114,0.0193249,0.0182559,0.0172887,0.0164103,0.0156095,0.0148768,0.0142041,0.013585,0.0130127,0.0124836,0.0119928,0.0115366,0.0111116,0.0107147,0.0103433,0.00999533,0.00966856,0.00936121,0.00907167,0.00879851,0.00854021,0.00829592,0.00806446,0.00784381,0.00763483,0.00743624,0.007247,0.00706656,0.00689452,0.00673021,0.00657294,0.00642247,0.00627835,0.00614017,0.00600751,0.0058801,0.00579143,0.00561447,0.00544728,0.0052891,0.00513924,0.00499708,0.0048621,0.00473379,0.00461172,0.00449551,0.0043949,0.0041179,0.00386233,0.00362814,0.00341429,0.00322068,0.0030461
2.85e-06,0.482557,0.415179,0.357154,0.357154,0.267614,0.233568,0.205387,0.179527,0.158586,0.139838,0.127454,0.112491,0.0915237,0.0808028,0.0718585,0.0641529,0.0574778,0.051617,0.0464703,0.0419506,0.0379428,0.0349932,0.0323957,0.0301187,0.0281056,0.0263193,0.0247235,0.0232919,0.0220021,0.0208354,0.0197759,0.0188102,0.0179265,0.0171153,0.0163689,0.0156786,0.0150407,0.014449,0.013899,0.0133866,0.0129081,0.0124606,0.0120412,0.0116473,0.0112769,0.010928,0.0105988,0.0102875,0.0099931,0.00971417,0.00944808,0.00919616,0.00895684,0.00872874,0.00851125,0.00830394,0.00810595,0.0079164,0.00773509,0.00756143,0.00739494,0.00723511,0.00708158,0.00697474,0.00676155,0.00656014,0.00636958,0.00618903,0.00601779,0.00585517,0.00570061,0.00555357,0.00541359,0.0052924,0.00495876,0.00465093,0.00436887,0.00411131,0.00387815,0.00366791
3.42e-06,0.588196,0.505328,0.434094,0.374602,0.324596,0.283043,0.248658,0.217163,0.191705,0.168944,0.153888,0.13575,0.110423,0.0974559,0.0866381,0.0773254,0.069263,0.0621862,0.0559738,0.0505204,0.0456862,0.0421293,0.0389976,0.0362533,0.0338267,0.0316741,0.0297512,0.0280262,0.0264724,0.025067,0.0237912,0.0226284,0.0215644,0.0205877,0.0196891,0.0188578,0.01809,0.0173777,0.0167157,0.0160991,0.0155233,0.0149847,0.01448,0.0140062,0.0135606,0.0131408,0.0127448,0.0123702,0.012016,0.0116805,0.01136,0.0110569,0.010769,0.0104945,0.0102328,0.00998337,0.00974523,0.00951716,0.00929906,0.00909017,0.00888992,0.00869766,0.00851301,0.00838451,0.00812811,0.00788589,0.00765671,0.0074396,0.00723367,0.00703813,0.00685229,0.00667548,0.00650716,0.00636144,0.0059603,0.00559019,0.00525108,0.00494146,0.00466118,0.00440847
4.1e-06,0.71854,0.616211,0.528463,0.455389,0.394082,0.343248,0.301284,0.262837,0.231848,0.204184,0.185849,0.163838,0.133241,0.117546,0.104454,0.0931934,0.0834524,0.0749053,0.0674047,0.0608241,0.0549927,0.0507036,0.0469283,0.0436212,0.0406964,0.0381028,0.035786,0.0337078,0.0318364,0.0301439,0.0286079,0.0272083,0.0259276,0.0247521,0.0236707,0.0226699,0.0217459,0.0208887,0.0200924,0.0193506,0.0186579,0.0180102,0.0174032,0.0168333,0.0162974,0.0157926,0.0153164,0.014866,0.0144401,0.0140367,0.0136509,0.0132862,0.0129399,0.0126098,0.012295,0.0119952,0.0117088,0.0114346,0.0111723,0.0109212,0.0106805,0.0104493,0.0102273,0.0100729,0.00976469,0.00947353,0.00919809,0.00893714,0.00868964,0.00845465,0.00823131,0.00801883,0.00781655,0.00764146,0.00715942,0.00671471,0.00630728,0.00593529,0.00559858,0.00529501
4.92e-06,0.882168,0.754927,0.646106,0.555791,0.480202,0.417673,0.366163,0.319084,0.281197,0.247445,0.225016,0.198209,0.161163,0.142104,0.12621,0.112555,0.100754,0.0904046,0.0813264,0.0733667,0.0663162,0.0611328,0.0565716,0.052578,0.0490454,0.0459142,0.043117,0.0406083,0.0383499,0.0363079,0.0344552,0.0327674,0.0312231,0.0298057,0.028502,0.0272949,0.026181,0.0251478,0.024188,0.0232942,0.0224595,0.0216792,0.0209479,0.0202614,0.0196159,0.0190079,0.0184344,0.0178918,0.0173789,0.0168931,0.0164277,0.0159883,0.0155712,0.0151736,0.0147943,0.0144331,0.0140883,0.013758,0.0134421,0.0131398,0.0128499,0.0125716,0.0123043,0.0121184,0.0117474,0.0113969,0.0110653,0.0107512,0.0104533,0.0101704,0.00990164,0.00964593,0.0094025,0.00919177,0.00861169,0.00807658,0.00758634,0.00713879,0.00673371,0.00636854
