,0.343376,0.393362,0.421925,0.443347,0.493333,0.521896,0.571882,0.593304,0.64329,0.671853,0.700416,0.764683,0.793246,0.82895,0.864654,0.900358,0.936062,0.978907,1.01699,1.05508,1.10268,1.15029,1.19789,1.2455,1.30262,1.35975,1.41688,1.474,1.53589,1.59302,1.66442,1.73583,1.80724,1.87865,1.96434,2.05003,2.13572,2.22141,2.32138,2.40707,2.52132,2.62129,2.73554,2.8498,2.96405,3.09258,3.22112,3.36393,3.49247,3.64957,3.79238,3.96376,4.12086,4.29224,4.4779,4.66356,4.8635,5.06344,5.26339,5.49189,5.7204,5.97747,6.23454,6.4916,6.74867,7.03431,7.3485,7.63413,7.97689,8.29109,8.66241,9.00517,9.40505,9.77637,10.2048,10.6333,11.0903,11.5473,12.0329,12.547,13.0611,13.6038,14.1751,14.7749,15.4033,16.0603,16.7172,17.4313,18.1454,18.9166,19.7164,20.5447,21.4016,22.3156,23.2296,24.2294,25.2291,26.1431,27.3142,28.5424,29.8277,31.1702,32.5698,34.0265,35.5689,37.1685,38.8537,40.5961,42.4241,44.3378,46.3373,48.4224,50.5932,52.8782,55.249,57.734,60.3332,63.0467,65.9031,68.8451,71.9585,75.1861,78.5851,82.127,85.8116,89.6676,93.6951,97.9224,100.008
1e-08,0.0695172,16.3365,14.2738,12.9797,10.8162,9.99927,8.93871,8.521,7.37133,6.39955,4.70683,0.51717,0.249817,0.117338,0.0618581,0.0355045,0.0217847,0.0130123,0.00871285,0.0060582,0.00404009,0.00282001,0.00204479,0.00153108,0.00112136,0.000848713,0.000660383,0.000526073,0.000422362,0.000349756,0.000282121,0.000232147,0.000194313,0.000165059,0.000138004,0.000117216,0.00010092,8.79186e-05,7.58247e-05,6.74415e-05,5.83874e-05,5.19797e-05,4.59632e-05,4.10186e-05,3.69023e-05,3.30418e-05,2.98198e-05,2.68237e-05,2.45435e-05,2.21797e-05,2.03545e-05,1.84878e-05,1.70264e-05,1.56515e-05,1.43716e-05,1.32683e-05,1.22406e-05,1.13834e-05,1.05999e-05,9.81818e-06,9.13643e-06,8.46764e-06,7.88447e-06,7.37206e-06,6.9187e-06,6.47296e-06,6.04153e-06,5.69415e-06,5.32445e-06,5.02369e-06,4.70771e-06,4.44813e-06,4.17809e-06,3.95421e-06,3.72311e-06,3.51678e-06,3.31986e-06,3.14328e-06,2.97468e-06,2.8144e-06,2.67017e-06,2.53284e-06,2.4025e-06,2.2791e-06,2.16252e-06,2.05256e-06,1.9531e-06,1.85524e-06,1.76661e-06,1.67983e-06,1.59832e-06,1.52177e-06,1.44986e-06,1.38022e-06,1.31692e-06,1.25398e-06,1.19674e-06,1.14877e-06,1.09263e-06,1.03932e-06,9.88814e-07,9.41031e-07,8.95877e-07,8.5325e-07,8.12312e-07,7.73801e-07,7.36979e-07,7.02417e-07,6.69469e-07,6.38129e-07,6.0837e-07,5.80153e-07,5.53428e-07,5.27833e-07,5.03664e-07,4.80596e-07,4.58628e-07,4.37739e-07,4.17713e-07,3.98918e-07,3.80787e-07,3.63655e-07,3.47206e-07,3.31579e-07,3.1675e-07,3.02592e-07,2.89098e-07,2.76173e-07,2.70215e-07
1.32e-08,0.0918697,16.3691,14.2964,13.0023,10.8513,10.0492,9.03155,8.64258,7.61707,6.80951,5.5593,0.732034,0.340855,0.157293,0.0823121,0.04708,0.0288353,0.0172043,0.0115134,0.0080028,0.00533557,0.0037237,0.0026998,0.00202142,0.0014804,0.00112042,0.000871782,0.000694464,0.00055755,0.000461699,0.000372415,0.000306444,0.000256501,0.000217884,0.000182169,0.000154728,0.000133216,0.000116054,0.00010009,8.90238e-05,7.70721e-05,6.86138e-05,6.06721e-05,5.41449e-05,4.87114e-05,4.36157e-05,3.93624e-05,3.54077e-05,3.23977e-05,2.92774e-05,2.68681e-05,2.4404e-05,2.2475e-05,2.06601e-05,1.89705e-05,1.75142e-05,1.61576e-05,1.50261e-05,1.3992e-05,1.296e-05,1.20601e-05,1.11773e-05,1.04075e-05,9.73114e-06,9.1327e-06,8.54433e-06,7.97485e-06,7.51631e-06,7.02831e-06,6.6313e-06,6.21419e-06,5.87155e-06,5.5151e-06,5.21958e-06,4.91452e-06,4.64217e-06,4.38222e-06,4.14914e-06,3.92659e-06,3.71503e-06,3.52463e-06,3.34336e-06,3.1713e-06,3.00841e-06,2.85453e-06,2.70939e-06,2.5781e-06,2.44893e-06,2.33193e-06,2.21739e-06,2.10979e-06,2.00873e-06,1.91381e-06,1.8219e-06,1.73834e-06,1.65526e-06,1.5797e-06,1.51638e-06,1.44227e-06,1.37191e-06,1.30524e-06,1.24216e-06,1.18256e-06,1.12629e-06,1.07225e-06,1.02142e-06,9.72816e-07,9.27191e-07,8.83701e-07,8.42331e-07,8.0305e-07,7.65804e-07,7.30527e-07,6.9674e-07,6.64836e-07,6.34389e-07,6.0539e-07,5.77816e-07,5.51382e-07,5.26572e-07,5.02639e-07,4.80025e-07,4.58312e-07,4.37684e-07,4.18112e-07,3.99422e-07,3.8161e-07,3.64548e-07,3.56684e-07
1.74e-08,0.121286,16.4003,14.3182,13.0241,10.8854,10.0977,9.12058,8.75808,7.84162,7.16632,6.2252,1.07578,0.470878,0.211733,0.109675,0.0624359,0.0381489,0.0227271,0.0151983,0.0105595,0.00703785,0.00491077,0.00356002,0.00266527,0.00195181,0.00147714,0.0011493,0.000915516,0.000735009,0.000608645,0.000490936,0.000403967,0.000338127,0.00028722,0.000240138,0.000203965,0.000175607,0.000152984,0.000131939,0.000117351,0.000101597,9.04469e-05,7.99776e-05,7.13735e-05,6.4211e-05,5.74939e-05,5.18872e-05,4.6674e-05,4.27061e-05,3.8593e-05,3.54172e-05,3.21692e-05,2.96262e-05,2.7234e-05,2.50067e-05,2.3087e-05,2.12987e-05,1.98073e-05,1.84441e-05,1.70838e-05,1.58975e-05,1.47338e-05,1.37191e-05,1.28275e-05,1.20386e-05,1.1263e-05,1.05123e-05,9.9079e-06,9.26461e-06,8.74129e-06,8.19146e-06,7.73979e-06,7.26992e-06,6.88038e-06,6.47825e-06,6.11924e-06,5.77659e-06,5.46934e-06,5.17598e-06,4.89709e-06,4.64612e-06,4.40717e-06,4.18037e-06,3.96565e-06,3.7628e-06,3.57148e-06,3.39841e-06,3.22814e-06,3.07392e-06,2.92293e-06,2.78109e-06,2.64788e-06,2.52276e-06,2.4016e-06,2.29146e-06,2.18193e-06,2.08234e-06,1.99887e-06,1.90117e-06,1.80843e-06,1.72054e-06,1.6374e-06,1.55883e-06,1.48466e-06,1.41343e-06,1.34642e-06,1.28235e-06,1.22221e-06,1.16488e-06,1.11035e-06,1.05857e-06,1.00947e-06,9.62968e-07,9.18431e-07,8.76377e-07,8.36243e-07,7.98016e-07,7.61669e-07,7.26824e-07,6.94119e-07,6.62572e-07,6.32761e-07,6.0414e-07,5.7695e-07,5.51149e-07,5.26512e-07,5.03032e-07,4.80542e-07,4.70176e-07
2.3e-08,0.160647,16.4307,14.3395,13.0456,10.9191,10.1456,9.20744,8.8698,8.05159,7.48726,6.7758,1.7268,0.667624,0.288204,0.147116,0.0832066,0.0506745,0.0301281,0.0201278,0.0139763,0.00931099,0.0064952,0.00470787,0.00352423,0.00258062,0.00195291,0.00151942,0.00121031,0.00097166,0.000804598,0.000648983,0.000534011,0.000446973,0.000379676,0.000317436,0.000269618,0.000232132,0.000202225,0.000174407,0.000155123,0.000134297,0.000119558,0.000105719,9.43458e-05,8.4878e-05,7.59986e-05,6.85874e-05,6.16964e-05,5.64514e-05,5.10143e-05,4.68163e-05,4.25229e-05,3.91615e-05,3.59992e-05,3.30552e-05,3.05174e-05,2.81538e-05,2.61822e-05,2.43803e-05,2.25822e-05,2.10141e-05,1.94758e-05,1.81345e-05,1.69559e-05,1.59132e-05,1.48879e-05,1.38957e-05,1.30967e-05,1.22464e-05,1.15546e-05,1.08278e-05,1.02308e-05,9.60971e-06,9.09479e-06,8.56324e-06,8.08869e-06,7.63575e-06,7.22962e-06,6.84184e-06,6.47319e-06,6.14146e-06,5.82559e-06,5.52579e-06,5.24197e-06,4.97383e-06,4.72094e-06,4.49217e-06,4.2671e-06,4.06324e-06,3.86365e-06,3.67617e-06,3.50009e-06,3.33469e-06,3.17454e-06,3.02895e-06,2.88417e-06,2.75252e-06,2.64219e-06,2.51305e-06,2.39046e-06,2.27429e-06,2.16439e-06,2.06053e-06,1.96249e-06,1.86833e-06,1.77976e-06,1.69507e-06,1.61557e-06,1.53979e-06,1.46771e-06,1.39926e-06,1.33436e-06,1.27289e-06,1.21402e-06,1.15843e-06,1.10538e-06,1.05485e-06,1.00681e-06,9.60747e-07,9.17517e-07,8.75816e-07,8.36411e-07,7.98577e-07,7.62637e-07,7.28532e-07,6.95966e-07,6.64929e-07,6.35201e-07,6.21499e-07
3.04e-08,0.212904,16.4598,14.3601,13.0665,10.952,10.1923,9.2915,8.97707,8.24729,7.77706,7.24289,3.62205,0.986473,0.397072,0.198386,0.111192,0.0674182,0.039974,0.0266707,0.0185052,0.012321,0.00859191,0.00622624,0.00466019,0.00341203,0.00258189,0.00200867,0.00159998,0.00128445,0.00106358,0.000857865,0.000705881,0.000590821,0.000501861,0.000419589,0.00035638,0.000306829,0.000267298,0.000230527,0.000205038,0.00017751,0.000158029,0.000139736,0.000124703,0.000112189,0.000100452,9.0656e-05,8.15477e-05,7.4615e-05,6.74287e-05,6.18798e-05,5.62047e-05,5.1762e-05,4.75821e-05,4.36908e-05,4.03365e-05,3.72123e-05,3.46063e-05,3.22246e-05,2.9848e-05,2.77754e-05,2.57422e-05,2.39693e-05,2.24115e-05,2.10333e-05,1.96782e-05,1.83666e-05,1.73105e-05,1.61867e-05,1.52723e-05,1.43117e-05,1.35225e-05,1.27016e-05,1.2021e-05,1.13184e-05,1.06912e-05,1.00925e-05,9.55573e-06,9.04318e-06,8.55589e-06,8.11741e-06,7.69995e-06,7.3037e-06,6.92855e-06,6.57413e-06,6.23989e-06,5.93749e-06,5.64001e-06,5.37055e-06,5.10678e-06,4.85896e-06,4.62622e-06,4.40761e-06,4.19593e-06,4.0035e-06,3.81215e-06,3.63813e-06,3.4923e-06,3.32162e-06,3.15957e-06,3.00603e-06,2.86077e-06,2.7235e-06,2.59391e-06,2.46946e-06,2.35238e-06,2.24045e-06,2.13537e-06,2.03521e-06,1.93993e-06,1.84947e-06,1.76369e-06,1.68244e-06,1.60463e-06,1.53115e-06,1.46103e-06,1.39424e-06,1.33074e-06,1.26986e-06,1.21272e-06,1.1576e-06,1.10552e-06,1.05551e-06,1.00801e-06,9.62934e-07,9.1989e-07,8.78867e-07,8.39574e-07,8.21463e-07
4.01e-08,0.281829,16.4877,14.38,13.0867,10.984,10.2377,9.37245,9.07964,8.42963,8.04017,7.6477,6.25124,1.59533,0.55624,0.268986,0.14885,0.0897072,0.052996,0.0352976,0.0244656,0.0162771,0.0113454,0.00821923,0.00615075,0.00450268,0.00340685,0.0026503,0.00211095,0.00169458,0.00140316,0.00113173,0.000931205,0.00077941,0.000662046,0.000553509,0.000470122,0.000404753,0.000352604,0.000304096,0.000270471,0.000234157,0.000208459,0.000184328,0.000164498,0.000147989,0.000132507,0.000119585,0.00010757,9.84249e-05,8.89451e-05,8.16255e-05,7.41395e-05,6.8279e-05,6.27654e-05,5.76322e-05,5.32077e-05,4.90866e-05,4.5649e-05,4.25073e-05,3.93723e-05,3.66384e-05,3.39562e-05,3.16177e-05,2.95629e-05,2.77448e-05,2.59573e-05,2.42271e-05,2.28342e-05,2.13516e-05,2.01456e-05,1.88783e-05,1.78374e-05,1.67546e-05,1.58568e-05,1.493e-05,1.41026e-05,1.33129e-05,1.26048e-05,1.19288e-05,1.1286e-05,1.07077e-05,1.01569e-05,9.63422e-06,9.13939e-06,8.67189e-06,8.23095e-06,7.83208e-06,7.43968e-06,7.08427e-06,6.73627e-06,6.40939e-06,6.10238e-06,5.81404e-06,5.53479e-06,5.28096e-06,5.02853e-06,4.79902e-06,4.60664e-06,4.3815e-06,4.16776e-06,3.96522e-06,3.77361e-06,3.59254e-06,3.42158e-06,3.25743e-06,3.10299e-06,2.95533e-06,2.81673e-06,2.68461e-06,2.55894e-06,2.4396e-06,2.32645e-06,2.21927e-06,2.11663e-06,2.01972e-06,1.92723e-06,1.83913e-06,1.75536e-06,1.67506e-06,1.59968e-06,1.52698e-06,1.45828e-06,1.39231e-06,1.32966e-06,1.27019e-06,1.21341e-06,1.1593e-06,1.10747e-06,1.08358e-06
5.29e-08,0.373522,16.5146,14.3993,13.1063,11.0154,10.2823,9.45115,9.17871,8.60178,8.28329,8.00882,7.47619,4.60162,0.805393,0.368853,0.200355,0.119735,0.0703853,0.0467704,0.0323731,0.0215159,0.014988,0.010854,0.00812032,0.00594335,0.0044963,0.00349749,0.00278555,0.00223601,0.00185141,0.00149323,0.00122861,0.00102832,0.000873458,0.000730251,0.000620231,0.000533987,0.000465183,0.000401186,0.000356824,0.000308915,0.00027501,0.000243176,0.000217013,0.000195234,0.000174809,0.000157761,0.00014191,0.000129846,0.000117339,0.000107683,9.78071e-05,9.00757e-05,8.28019e-05,7.603e-05,7.0193e-05,6.47561e-05,6.02212e-05,5.60765e-05,5.19406e-05,4.8334e-05,4.47958e-05,4.17108e-05,3.89999e-05,3.66015e-05,3.42433e-05,3.19609e-05,3.01233e-05,2.81674e-05,2.65763e-05,2.49047e-05,2.35314e-05,2.21028e-05,2.09185e-05,1.96959e-05,1.86044e-05,1.75626e-05,1.66285e-05,1.57366e-05,1.48887e-05,1.41256e-05,1.33992e-05,1.27096e-05,1.20567e-05,1.144e-05,1.08584e-05,1.03322e-05,9.81452e-06,9.34561e-06,8.88659e-06,8.45536e-06,8.05035e-06,7.66992e-06,7.30155e-06,6.96671e-06,6.63371e-06,6.33091e-06,6.07713e-06,5.78013e-06,5.49814e-06,5.23096e-06,4.97817e-06,4.73931e-06,4.51381e-06,4.29723e-06,4.0935e-06,3.89873e-06,3.71586e-06,3.54156e-06,3.37579e-06,3.21836e-06,3.06908e-06,2.9277e-06,2.79229e-06,2.66444e-06,2.54242e-06,2.4262e-06,2.3157e-06,2.20975e-06,2.11032e-06,2.01441e-06,1.92378e-06,1.83676e-06,1.7541e-06,1.67565e-06,1.60075e-06,1.52936e-06,1.46099e-06,1.42947e-06
6.98e-08,0.495889,16.5406,14.418,13.1254,11.0462,10.326,9.52781,9.27464,8.76514,8.50985,8.33629,8.28444,7.3014,1.24823,0.514804,0.27182,0.160514,0.0937141,0.0620759,0.0428879,0.0284654,0.019813,0.0143408,0.0107255,0.00784799,0.00593618,0.00461695,0.00367682,0.00295125,0.0024435,0.00197068,0.00162141,0.00135704,0.00115266,0.000963655,0.000818459,0.000704645,0.000613846,0.000529392,0.00047085,0.000407627,0.000362887,0.000320879,0.000286355,0.000257616,0.000230664,0.000208169,0.000187253,0.000171333,0.000154831,0.000142089,0.000129057,0.000118855,0.000109257,0.000100322,9.26197e-05,8.54455e-05,7.94617e-05,7.39929e-05,6.85356e-05,6.37765e-05,5.91078e-05,5.5037e-05,5.146e-05,4.82953e-05,4.51838e-05,4.21721e-05,3.97474e-05,3.71666e-05,3.50673e-05,3.28614e-05,3.10495e-05,2.91645e-05,2.76017e-05,2.59885e-05,2.45483e-05,2.31737e-05,2.19411e-05,2.07642e-05,1.96454e-05,1.86386e-05,1.768e-05,1.67701e-05,1.59088e-05,1.5095e-05,1.43274e-05,1.36332e-05,1.29501e-05,1.23314e-05,1.17257e-05,1.11567e-05,1.06223e-05,1.01204e-05,9.63432e-06,9.19248e-06,8.7531e-06,8.35353e-06,8.01868e-06,7.62677e-06,7.25472e-06,6.90217e-06,6.56862e-06,6.25345e-06,5.95589e-06,5.67014e-06,5.40131e-06,5.1443e-06,4.90304e-06,4.67304e-06,4.45428e-06,4.24656e-06,4.0496e-06,3.86305e-06,3.6844e-06,3.51568e-06,3.35467e-06,3.20133e-06,3.05552e-06,2.91573e-06,2.78454e-06,2.65797e-06,2.53839e-06,2.42357e-06,2.31449e-06,2.21099e-06,2.11216e-06,2.01797e-06,1.92775e-06,1.88616e-06
9.22e-08,0.660385,16.5657,14.4362,13.1442,11.0766,10.3692,9.60285,9.36801,8.92128,8.72309,8.63796,8.90236,8.32811,2.56555,0.741248,0.373469,0.216697,0.12531,0.0826466,0.0569574,0.0377343,0.0262361,0.0189772,0.0141867,0.010377,0.00784726,0.00610231,0.00485917,0.00389992,0.00322876,0.00260384,0.00214225,0.0017929,0.00152284,0.0012731,0.00108126,0.000930886,0.000810926,0.000699346,0.000622007,0.000538483,0.000479379,0.000423881,0.000378273,0.00034031,0.000304704,0.000274987,0.000247356,0.000226326,0.000204527,0.000187695,0.00017048,0.000157003,0.000144324,0.000132521,0.000122347,0.00011287,0.000104965,9.7741e-05,9.05321e-05,8.42456e-05,7.80784e-05,7.2701e-05,6.7976e-05,6.37955e-05,5.96854e-05,5.57071e-05,5.2504e-05,4.9095e-05,4.63218e-05,4.3408e-05,4.10145e-05,3.85246e-05,3.64602e-05,3.43293e-05,3.24268e-05,3.0611e-05,2.89828e-05,2.74283e-05,2.59503e-05,2.46205e-05,2.33541e-05,2.21523e-05,2.10144e-05,1.99395e-05,1.89257e-05,1.80086e-05,1.71063e-05,1.6289e-05,1.54889e-05,1.47373e-05,1.40314e-05,1.33684e-05,1.27263e-05,1.21427e-05,1.15623e-05,1.10345e-05,1.05922e-05,1.00745e-05,9.58301e-06,9.1173e-06,8.67671e-06,8.26039e-06,7.86733e-06,7.48988e-06,7.13478e-06,6.79527e-06,6.47658e-06,6.17278e-06,5.88381e-06,5.60944e-06,5.34925e-06,5.10284e-06,4.86683e-06,4.64399e-06,4.43131e-06,4.22874e-06,4.03614e-06,3.85148e-06,3.67818e-06,3.51101e-06,3.35304e-06,3.20138e-06,3.05729e-06,2.92057e-06,2.79002e-06,2.6656e-06,2.54642e-06,2.49149e-06
