,0.33548,0.35237,0.36925,0.38614,0.40303,0.41991,0.45369,0.47058,0.48746,0.50435,0.53812,0.55501,0.58878,0.60567,0.63945,0.67322,0.70699,0.72388,0.75765,0.79143,0.84209,0.87586,0.90964,0.9603,0.99407,1.04473,1.09539,1.14606,1.19672,1.24738,1.29804,1.36559,1.41625,1.4838,1.55134,1.6324,1.68644,1.7675,1.84856,1.92961,2.01067,2.11875,2.1998,2.30788,2.41596,2.52404,2.63211,2.76721,2.87528,3.01038,3.14548,3.28057,3.44269,3.6048,3.76692,3.92903,4.09115,4.28028,4.46942,4.68557,4.90172,5.11788,5.36105,5.5772,5.8474,6.11759,6.38778,6.65797,6.95518,7.27941,7.60364,7.95489,8.30614,8.68441,9.0897,9.49499,9.9273,10.3596,10.8189,11.3053,11.8186,12.359,12.9264,13.4938,14.1153,14.7367,15.4122,16.0877,16.8172,17.5737,18.3843,19.1949,20.0595,20.9781,21.9238,22.8965,23.9232,25.004,26.1388,27.3006,28.5435,29.8404,31.1644,32.5694,34.0284,35.5685,37.1626,38.8378,40.5941,42.4314,44.3227,46.3222,48.4026,50.5912,52.8608,55.2385,57.7243,60.3451,63.047,65.8841,68.8562,71.9634,75.2057,78.5831,82.1226,85.7972,89.661,93.7138,97.9288,100.009
1e-09,0.245979,0.214096,0.130981,0.0652187,0.0291607,0.0125079,0.0024017,0.00113163,0.000569907,0.000308168,0.000110797,7.28834e-05,3.66566e-05,2.76506e-05,1.73e-05,1.19355e-05,8.85014e-06,7.78389e-06,6.22728e-06,5.16534e-06,4.10602e-06,3.61592e-06,3.23577e-06,2.8049e-06,2.58241e-06,2.3155e-06,2.10596e-06,1.93699e-06,1.79764e-06,1.68054e-06,1.58052e-06,1.46754e-06,1.39476e-06,1.31014e-06,1.23354e-06,1.15767e-06,1.11282e-06,1.05257e-06,9.99281e-07,9.51726e-07,9.08939e-07,8.58052e-07,8.23771e-07,7.82407e-07,7.45254e-07,7.11663e-07,6.81111e-07,6.46577e-07,6.21464e-07,5.92781e-07,5.66702e-07,5.42879e-07,5.16866e-07,4.93278e-07,4.71784e-07,4.52113e-07,4.34036e-07,4.14713e-07,3.97055e-07,3.78645e-07,3.61878e-07,3.46545e-07,3.30785e-07,3.1794e-07,3.03228e-07,2.89822e-07,2.77555e-07,2.66287e-07,2.53922e-07,2.43557e-07,2.33177e-07,2.22888e-07,2.1347e-07,2.04181e-07,1.95086e-07,1.86769e-07,1.78646e-07,1.71201e-07,1.63944e-07,1.56901e-07,1.50097e-07,1.43544e-07,1.37254e-07,1.31492e-07,1.25713e-07,1.20421e-07,1.15153e-07,1.10328e-07,1.05551e-07,1.01017e-07,9.65718e-08,9.25021e-08,8.85234e-08,8.46554e-08,8.10124e-08,7.75787e-08,7.4257e-08,7.10552e-08,6.79783e-08,6.50289e-08,6.22662e-08,5.95675e-08,5.70442e-08,5.45906e-08,5.22159e-08,5.00015e-08,4.78637e-08,4.58062e-08,4.38314e-08,4.19406e-08,4.01577e-08,3.84311e-08,3.67656e-08,3.52015e-08,3.36967e-08,3.22372e-08,3.08563e-08,2.95366e-08,2.82774e-08,2.70663e-08,2.59045e-08,2.47927e-08,2.37303e-08,2.27169e-08,2.17443e-08,2.08129e-08,1.99227e-08,1.90734e-08,1.82589e-08,1.78821e-08
1.25e-09,0.309987,0.269612,0.164498,0.0817211,0.0364917,0.0156428,0.00300245,0.00141461,0.000712403,0.000385215,0.000138497,9.11047e-05,4.5821e-05,3.45634e-05,2.16251e-05,1.49195e-05,1.10627e-05,9.72987e-06,7.7841e-06,6.45668e-06,5.13252e-06,4.5199e-06,4.04471e-06,3.50611e-06,3.22801e-06,2.89437e-06,2.63244e-06,2.42123e-06,2.24705e-06,2.10067e-06,1.97565e-06,1.83442e-06,1.74345e-06,1.63768e-06,1.54193e-06,1.44708e-06,1.39103e-06,1.31571e-06,1.2491e-06,1.18966e-06,1.13617e-06,1.07256e-06,1.02972e-06,9.78013e-07,9.31569e-07,8.89574e-07,8.51389e-07,8.0822e-07,7.76832e-07,7.40976e-07,7.0838e-07,6.78599e-07,6.46084e-07,6.16599e-07,5.8973e-07,5.65142e-07,5.42547e-07,5.18391e-07,4.96319e-07,4.73305e-07,4.5235e-07,4.33182e-07,4.13482e-07,3.97425e-07,3.79033e-07,3.62276e-07,3.46944e-07,3.3286e-07,3.17404e-07,3.04447e-07,2.91471e-07,2.78609e-07,2.66837e-07,2.55225e-07,2.43858e-07,2.33462e-07,2.23307e-07,2.14002e-07,2.04929e-07,1.96126e-07,1.87621e-07,1.7943e-07,1.71567e-07,1.64366e-07,1.57142e-07,1.50527e-07,1.43942e-07,1.3791e-07,1.31939e-07,1.26271e-07,1.20715e-07,1.15628e-07,1.10654e-07,1.05819e-07,1.01265e-07,9.69735e-08,9.28215e-08,8.88191e-08,8.49728e-08,8.12861e-08,7.78329e-08,7.44592e-08,7.13054e-08,6.82383e-08,6.52696e-08,6.25019e-08,5.98297e-08,5.72578e-08,5.47894e-08,5.24256e-08,5.0197e-08,4.80388e-08,4.59569e-08,4.40019e-08,4.2121e-08,4.02965e-08,3.85704e-08,3.69208e-08,3.53467e-08,3.38329e-08,3.23807e-08,3.09909e-08,2.96629e-08,2.83961e-08,2.71804e-08,2.60162e-08,2.49034e-08,2.38417e-08,2.28236e-08,2.23526e-08
1.5625e-09,0.391514,0.340203,0.206847,0.102463,0.045679,0.0195657,0.00375356,0.00176837,0.000890534,0.000481528,0.000173123,0.000113881,5.72763e-05,4.32043e-05,2.70313e-05,1.86493e-05,1.38284e-05,1.21623e-05,9.73013e-06,8.07084e-06,6.41566e-06,5.64988e-06,5.05588e-06,4.38264e-06,4.03502e-06,3.61796e-06,3.29056e-06,3.02655e-06,2.80882e-06,2.62584e-06,2.46956e-06,2.29303e-06,2.17931e-06,2.04709e-06,1.92741e-06,1.80885e-06,1.73878e-06,1.64464e-06,1.56138e-06,1.48707e-06,1.42021e-06,1.34071e-06,1.28715e-06,1.22252e-06,1.16446e-06,1.11197e-06,1.06423e-06,1.01028e-06,9.71038e-07,9.2622e-07,8.85473e-07,8.48251e-07,8.07605e-07,7.70746e-07,7.37163e-07,7.06425e-07,6.78184e-07,6.47991e-07,6.20398e-07,5.91632e-07,5.65436e-07,5.41477e-07,5.16851e-07,4.96782e-07,4.73792e-07,4.52845e-07,4.33679e-07,4.16075e-07,3.96754e-07,3.80559e-07,3.64339e-07,3.48262e-07,3.33546e-07,3.19032e-07,3.04822e-07,2.91827e-07,2.79135e-07,2.67502e-07,2.56161e-07,2.45158e-07,2.34526e-07,2.24288e-07,2.14459e-07,2.05457e-07,1.96427e-07,1.88159e-07,1.79928e-07,1.72387e-07,1.64924e-07,1.57838e-07,1.50893e-07,1.44535e-07,1.38318e-07,1.32274e-07,1.26582e-07,1.21217e-07,1.16027e-07,1.11024e-07,1.06216e-07,1.01607e-07,9.72908e-08,9.30743e-08,8.91315e-08,8.5298e-08,8.15871e-08,7.81276e-08,7.47871e-08,7.15723e-08,6.84869e-08,6.5532e-08,6.27464e-08,6.00486e-08,5.74462e-08,5.50022e-08,5.26511e-08,5.03707e-08,4.8213e-08,4.6151e-08,4.41834e-08,4.22911e-08,4.04759e-08,3.87386e-08,3.70786e-08,3.54952e-08,3.39755e-08,3.25202e-08,3.11293e-08,2.98021e-08,2.85295e-08,2.79408e-08
1.9531e-09,0.495898,0.430382,0.260504,0.128569,0.0571991,0.0244761,0.00469262,0.00221061,0.0011132,0.000601915,0.000216403,0.000142351,7.15946e-05,5.40048e-05,3.37887e-05,2.33114e-05,1.72852e-05,1.52027e-05,1.21625e-05,1.00884e-05,8.01948e-06,7.06227e-06,6.31979e-06,5.47824e-06,5.04371e-06,4.5224e-06,4.11315e-06,3.78314e-06,3.51099e-06,3.28226e-06,3.08691e-06,2.86626e-06,2.7241e-06,2.55884e-06,2.40923e-06,2.26104e-06,2.17345e-06,2.05577e-06,1.9517e-06,1.85881e-06,1.77525e-06,1.67586e-06,1.60891e-06,1.52813e-06,1.45556e-06,1.38995e-06,1.33028e-06,1.26283e-06,1.21378e-06,1.15776e-06,1.10683e-06,1.0603e-06,1.00949e-06,9.63422e-07,9.21442e-07,8.83021e-07,8.47717e-07,8.09977e-07,7.75487e-07,7.39531e-07,7.06785e-07,6.76836e-07,6.46057e-07,6.20968e-07,5.92233e-07,5.66049e-07,5.42092e-07,5.20087e-07,4.95935e-07,4.75693e-07,4.55417e-07,4.35322e-07,4.16928e-07,3.98785e-07,3.81023e-07,3.64779e-07,3.48914e-07,3.34373e-07,3.20198e-07,3.06444e-07,2.93153e-07,2.80356e-07,2.68071e-07,2.56818e-07,2.45531e-07,2.35196e-07,2.24907e-07,2.15482e-07,2.06152e-07,1.97296e-07,1.88614e-07,1.80666e-07,1.72895e-07,1.65341e-07,1.58225e-07,1.51519e-07,1.45032e-07,1.38778e-07,1.32769e-07,1.27008e-07,1.21612e-07,1.16341e-07,1.11413e-07,1.06621e-07,1.01983e-07,9.76581e-08,9.34829e-08,8.94642e-08,8.56073e-08,8.1914e-08,7.84319e-08,7.50599e-08,7.18068e-08,6.8752e-08,6.58131e-08,6.29627e-08,6.02655e-08,5.7688e-08,5.52285e-08,5.28632e-08,5.05942e-08,4.84225e-08,4.63476e-08,4.43683e-08,4.24688e-08,4.06497e-08,3.89111e-08,3.72522e-08,3.56614e-08,3.49256e-08
2.4414e-09,0.630501,0.546325,0.328752,0.16149,0.0716581,0.0306255,0.00586704,0.00276357,0.00139158,0.000752423,0.000270509,0.000177941,8.94946e-05,6.75069e-05,4.22364e-05,2.91396e-05,2.16067e-05,1.90036e-05,1.52033e-05,1.26107e-05,1.00245e-05,8.82793e-06,7.89981e-06,6.84788e-06,6.3047e-06,5.65306e-06,5.14149e-06,4.72897e-06,4.38878e-06,4.10286e-06,3.85868e-06,3.58285e-06,3.40516e-06,3.19858e-06,3.01157e-06,2.82632e-06,2.71684e-06,2.56973e-06,2.43965e-06,2.32354e-06,2.21908e-06,2.09485e-06,2.01116e-06,1.91017e-06,1.81947e-06,1.73745e-06,1.66286e-06,1.57855e-06,1.51725e-06,1.44722e-06,1.38355e-06,1.32539e-06,1.26188e-06,1.20429e-06,1.15182e-06,1.10379e-06,1.05966e-06,1.01248e-06,9.69371e-07,9.24424e-07,8.83491e-07,8.46055e-07,8.07579e-07,7.76218e-07,7.40299e-07,7.0757e-07,6.77622e-07,6.50115e-07,6.19926e-07,5.94621e-07,5.69278e-07,5.44158e-07,5.21165e-07,4.98486e-07,4.76284e-07,4.55978e-07,4.36147e-07,4.17971e-07,4.00251e-07,3.83058e-07,3.66446e-07,3.50449e-07,3.35092e-07,3.21026e-07,3.06917e-07,2.93998e-07,2.81137e-07,2.69355e-07,2.57693e-07,2.46621e-07,2.3577e-07,2.25835e-07,2.16122e-07,2.06678e-07,1.97784e-07,1.89401e-07,1.81292e-07,1.73475e-07,1.65962e-07,1.58761e-07,1.52017e-07,1.45428e-07,1.39268e-07,1.33278e-07,1.2748e-07,1.22074e-07,1.16855e-07,1.11832e-07,1.0701e-07,1.02394e-07,9.80409e-08,9.38258e-08,8.97595e-08,8.59408e-08,8.22672e-08,7.8704e-08,7.53327e-08,7.21108e-08,6.90364e-08,6.60797e-08,6.32434e-08,6.05288e-08,5.79351e-08,5.54611e-08,5.30865e-08,5.08127e-08,4.86395e-08,4.65657e-08,4.45772e-08,4.36574e-08
3.0518e-09,0.8057,0.696624,0.415973,0.203099,0.0898235,0.0383296,0.00733577,0.00345494,0.00173962,0.000940578,0.000338146,0.000222432,0.000111871,8.43852e-05,5.27966e-05,3.6425e-05,2.7009e-05,2.37549e-05,1.90045e-05,1.57636e-05,1.25308e-05,1.10351e-05,9.87493e-06,8.55998e-06,7.881e-06,7.06644e-06,6.42697e-06,5.91131e-06,5.48606e-06,5.12867e-06,4.82343e-06,4.47864e-06,4.25652e-06,3.99829e-06,3.76452e-06,3.53296e-06,3.39611e-06,3.21222e-06,3.04961e-06,2.90447e-06,2.7739e-06,2.6186e-06,2.51399e-06,2.38776e-06,2.27437e-06,2.17185e-06,2.07862e-06,1.97322e-06,1.89659e-06,1.80905e-06,1.72946e-06,1.65676e-06,1.57737e-06,1.50539e-06,1.43979e-06,1.37976e-06,1.32459e-06,1.26563e-06,1.21173e-06,1.15555e-06,1.10438e-06,1.05759e-06,1.00949e-06,9.70289e-07,9.25389e-07,8.84477e-07,8.47042e-07,8.12658e-07,7.74921e-07,7.4329e-07,7.11609e-07,6.80209e-07,6.51467e-07,6.23119e-07,5.95365e-07,5.69982e-07,5.45193e-07,5.22472e-07,5.00322e-07,4.78831e-07,4.58065e-07,4.38069e-07,4.18871e-07,4.01288e-07,3.83653e-07,3.67503e-07,3.51426e-07,3.36699e-07,3.22122e-07,3.08282e-07,2.94718e-07,2.82298e-07,2.70156e-07,2.58352e-07,2.47234e-07,2.36755e-07,2.26618e-07,2.16847e-07,2.07456e-07,1.98455e-07,1.90024e-07,1.81788e-07,1.74088e-07,1.666e-07,1.59352e-07,1.52595e-07,1.46071e-07,1.39792e-07,1.33765e-07,1.27994e-07,1.22553e-07,1.17284e-07,1.12201e-07,1.07428e-07,1.02836e-07,9.83818e-08,9.41675e-08,9.014e-08,8.62969e-08,8.2601e-08,7.90557e-08,7.56623e-08,7.24202e-08,6.93275e-08,6.63592e-08,6.35169e-08,6.08003e-08,5.82081e-08,5.57224e-08,5.45727e-08
3.8147e-09,1.03664,0.893645,0.528128,0.255836,0.112671,0.0479852,0.00917248,0.00431929,0.00217467,0.00117576,0.000422684,0.00027804,0.000139837,0.000105481,6.59951e-05,4.55308e-05,3.37608e-05,2.96933e-05,2.37553e-05,1.97043e-05,1.56633e-05,1.37937e-05,1.23435e-05,1.06998e-05,9.85115e-06,8.83294e-06,8.03361e-06,7.38905e-06,6.85749e-06,6.41075e-06,6.02921e-06,5.59823e-06,5.32058e-06,4.99779e-06,4.70559e-06,4.41615e-06,4.24508e-06,4.01523e-06,3.81196e-06,3.63055e-06,3.46733e-06,3.27321e-06,3.14245e-06,2.98466e-06,2.84293e-06,2.71478e-06,2.59823e-06,2.4665e-06,2.37071e-06,2.26129e-06,2.1618e-06,2.07093e-06,1.97169e-06,1.88171e-06,1.79972e-06,1.72468e-06,1.65572e-06,1.58201e-06,1.51465e-06,1.44442e-06,1.38046e-06,1.32197e-06,1.26185e-06,1.21284e-06,1.15672e-06,1.10558e-06,1.05879e-06,1.01581e-06,9.68639e-07,9.291e-07,8.895e-07,8.5025e-07,8.14324e-07,7.78888e-07,7.44196e-07,7.12468e-07,6.81482e-07,6.53083e-07,6.25395e-07,5.98531e-07,5.72574e-07,5.47579e-07,5.23583e-07,5.01604e-07,4.79559e-07,4.59374e-07,4.39277e-07,4.20868e-07,4.02647e-07,3.85348e-07,3.68392e-07,3.52868e-07,3.37691e-07,3.22936e-07,3.09038e-07,2.9594e-07,2.83269e-07,2.71055e-07,2.59317e-07,2.48065e-07,2.37527e-07,2.27232e-07,2.17606e-07,2.08247e-07,1.99188e-07,1.90741e-07,1.82586e-07,1.74737e-07,1.67204e-07,1.59991e-07,1.5319e-07,1.46603e-07,1.4025e-07,1.34283e-07,1.28543e-07,1.22976e-07,1.17708e-07,1.12673e-07,1.0787e-07,1.0325e-07,9.88184e-08,9.45766e-08,9.0524e-08,8.66582e-08,8.2948e-08,7.93951e-08,7.59995e-08,7.27592e-08,6.96521e-08,6.8215e-08
4.7684e-09,1.34661,1.15608,0.673595,0.322945,0.141462,0.0600979,0.0114702,0.00540018,0.00271863,0.00146979,0.00052837,0.000347557,0.000174798,0.000131852,8.24945e-05,5.6914e-05,4.22014e-05,3.71169e-05,2.96943e-05,2.46305e-05,1.95792e-05,1.72422e-05,1.54294e-05,1.33749e-05,1.2314e-05,1.10412e-05,1.00421e-05,9.23637e-06,8.57195e-06,8.01349e-06,7.53657e-06,6.99781e-06,6.65079e-06,6.24728e-06,5.88203e-06,5.52021e-06,5.30638e-06,5.01906e-06,4.76498e-06,4.5382e-06,4.33418e-06,4.09154e-06,3.92809e-06,3.73085e-06,3.55368e-06,3.39349e-06,3.24781e-06,3.08314e-06,2.9634e-06,2.82662e-06,2.70227e-06,2.58867e-06,2.46463e-06,2.35215e-06,2.24966e-06,2.15586e-06,2.06966e-06,1.97752e-06,1.89332e-06,1.80553e-06,1.72559e-06,1.65247e-06,1.57732e-06,1.51607e-06,1.44591e-06,1.38198e-06,1.32349e-06,1.26977e-06,1.2108e-06,1.16138e-06,1.11188e-06,1.06282e-06,1.01791e-06,9.73615e-07,9.30251e-07,8.9059e-07,8.51857e-07,8.16358e-07,7.81748e-07,7.48168e-07,7.15721e-07,6.84477e-07,6.54482e-07,6.27009e-07,5.99453e-07,5.7422e-07,5.491e-07,5.26088e-07,5.03312e-07,4.81688e-07,4.60493e-07,4.41088e-07,4.22116e-07,4.03672e-07,3.86299e-07,3.69927e-07,3.54088e-07,3.38821e-07,3.24148e-07,3.10084e-07,2.96911e-07,2.84042e-07,2.7201e-07,2.6031e-07,2.48986e-07,2.38428e-07,2.28234e-07,2.18423e-07,2.09007e-07,1.99989e-07,1.91488e-07,1.83255e-07,1.75313e-07,1.67855e-07,1.6068e-07,1.5372e-07,1.47135e-07,1.40843e-07,1.34838e-07,1.29063e-07,1.23524e-07,1.18221e-07,1.13156e-07,1.08323e-07,1.03686e-07,9.92444e-08,9.49999e-08,9.09495e-08,8.70656e-08,8.52692e-08
5.9605e-09,1.77391,1.51356,0.864428,0.408758,0.177812,0.0753048,0.0143449,0.00675185,0.0033987,0.00183737,0.00066048,0.000434455,0.0002185,0.000164816,0.000103119,7.11427e-05,5.27519e-05,4.63963e-05,3.7118e-05,3.07882e-05,2.4474e-05,2.15528e-05,1.92868e-05,1.67186e-05,1.53925e-05,1.38016e-05,1.25526e-05,1.15455e-05,1.07149e-05,1.00169e-05,9.42071e-06,8.74731e-06,8.31348e-06,7.80913e-06,7.35251e-06,6.90028e-06,6.63296e-06,6.27383e-06,5.95621e-06,5.67276e-06,5.41774e-06,5.11444e-06,4.91011e-06,4.66355e-06,4.44212e-06,4.24185e-06,4.05976e-06,3.85391e-06,3.70425e-06,3.53327e-06,3.37784e-06,3.23585e-06,3.08079e-06,2.94019e-06,2.81207e-06,2.69483e-06,2.58708e-06,2.47191e-06,2.36665e-06,2.25691e-06,2.15698e-06,2.06559e-06,1.97165e-06,1.89508e-06,1.80739e-06,1.72748e-06,1.65437e-06,1.58721e-06,1.5135e-06,1.45173e-06,1.38985e-06,1.32852e-06,1.27239e-06,1.21702e-06,1.16282e-06,1.11324e-06,1.06482e-06,1.02045e-06,9.77184e-07,9.35212e-07,8.94654e-07,8.55597e-07,8.18106e-07,7.83761e-07,7.49315e-07,7.17774e-07,6.86377e-07,6.5761e-07,6.29139e-07,6.02109e-07,5.75618e-07,5.51359e-07,5.27646e-07,5.04589e-07,4.82875e-07,4.62407e-07,4.42612e-07,4.23526e-07,4.05186e-07,3.87605e-07,3.71139e-07,3.55053e-07,3.40011e-07,3.25387e-07,3.11234e-07,2.98035e-07,2.85293e-07,2.73029e-07,2.61258e-07,2.49988e-07,2.39361e-07,2.2907e-07,2.19142e-07,2.09818e-07,2.0085e-07,1.92151e-07,1.8392e-07,1.76054e-07,1.68547e-07,1.6133e-07,1.54404e-07,1.47777e-07,1.41444e-07,1.35405e-07,1.29606e-07,1.24056e-07,1.18749e-07,1.13687e-07,1.08832e-07,1.06587e-07
