,1.00017,1.06058,1.12493,1.1932,1.26541,1.34226,1.42376,1.50991,1.60142,1.69865,1.8016,1.91098,2.0268,2.14976,2.27988,2.41822,2.56478,2.72027,2.88542,3.06022,3.24609,3.4427,3.65145,3.87308,4.10793,4.35672,4.62124,4.90113,5.19854,5.51382,5.84805,6.20265,6.57869,6.97762,7.40085,7.84946,8.3256,8.83033,9.36581,9.93381,10.5361,11.1749,11.8527,12.5712,13.3336,14.1422,14.9997,15.9091,16.8739,17.8969,18.9822,20.1332,21.3543,22.649,24.0224,25.479,27.024,28.6629,30.4009,32.2443,34.1996,36.2733,38.4727,40.8058,43.2802,45.9043,48.6878,51.6405,54.7718,58.093,61.6154,65.3516,69.3144,73.5174,77.9756,82.7037,87.7185,93.0375,98.6793,104.663,111.01,117.741,124.88,132.453,140.484,149.003,158.038,167.621,177.785,188.566,200
0.0110824,11.8467,11.4016,10.9544,10.5099,10.0717,9.6392,9.2155,8.8032,8.4012,8.0103,7.6324,7.26662,6.91447,6.5751,6.24963,5.93648,5.63665,5.34948,5.07448,4.81229,4.56138,4.32274,4.09505,3.87802,3.67168,3.47565,3.28886,3.11183,2.9434,2.78363,2.63211,2.48838,2.35213,2.22298,2.10059,1.98474,1.87498,1.77113,1.67282,1.5798,1.49182,1.40862,1.32992,1.25555,1.18522,1.11875,1.05594,0.996606,0.940535,0.88758,0.837555,0.790311,0.745688,0.703567,0.663793,0.626243,0.590796,0.55733,0.525749,0.495941,0.467808,0.441262,0.416211,0.392569,0.370264,0.349221,0.329365,0.31063,0.292958,0.276286,0.26056,0.245724,0.23173,0.21853,0.206078,0.194334,0.183258,0.172811,0.162958,0.153665,0.144901,0.136635,0.12884,0.121489,0.114557,0.108019,0.101854,0.0960402,0.0905578,0.0853877,0.0805126
0.013086,11.9865,11.542,11.0945,10.6488,10.2088,9.77388,9.34729,8.93173,8.5262,8.13153,7.74972,7.37989,7.02364,6.68014,6.35056,6.0333,5.72942,5.43827,5.15936,4.89336,4.63873,4.3965,4.16533,3.94493,3.73534,3.53619,3.34639,3.16647,2.99528,2.83286,2.67883,2.53267,2.39412,2.26277,2.13828,2.02044,1.90877,1.80312,1.70309,1.60844,1.51891,1.43424,1.35415,1.27845,1.20686,1.1392,1.07527,1.01487,0.957789,0.903878,0.852949,0.804849,0.759416,0.716529,0.676031,0.637796,0.601702,0.567625,0.535466,0.505111,0.476463,0.449429,0.423918,0.399841,0.377126,0.355695,0.335473,0.316393,0.298394,0.281414,0.265398,0.250288,0.236034,0.22259,0.209908,0.197947,0.186665,0.176024,0.165988,0.156523,0.147596,0.139178,0.131238,0.12375,0.116689,0.11003,0.10375,0.0978284,0.092244,0.0869778,0.082012
0.0155226,15.2005,11.6917,11.2443,10.7976,10.3559,9.91854,9.48902,9.07012,8.6609,8.26227,7.87632,7.50222,7.14161,6.7937,6.45972,6.13807,5.82985,5.53442,5.25131,4.98121,4.72258,4.47647,4.24154,4.0175,3.80441,3.60188,3.40883,3.2258,3.05162,2.88633,2.72955,2.58078,2.43972,2.30599,2.17923,2.05922,1.94549,1.83788,1.73599,1.63957,1.54836,1.46209,1.38048,1.30335,1.23039,1.16145,1.09629,1.03473,0.976552,0.921602,0.869689,0.82066,0.774346,0.730627,0.689342,0.650363,0.613565,0.578822,0.546034,0.515087,0.485877,0.458313,0.432301,0.407752,0.38459,0.362738,0.342117,0.322661,0.304308,0.286994,0.270661,0.255252,0.240717,0.227007,0.214074,0.201877,0.190372,0.17952,0.169286,0.159633,0.150529,0.141944,0.133846,0.12621,0.119009,0.112218,0.105813,0.0997739,0.0940787,0.0887079,0.0836434
0.0183991,15.2005,11.8467,11.3996,10.9523,10.509,10.0694,9.637,9.21477,8.80183,8.39919,8.00901,7.63052,7.26542,6.91296,6.57441,6.2482,5.93546,5.63557,5.34808,5.0737,4.81088,4.56072,4.32184,4.09399,3.87721,3.67114,3.47468,3.28837,3.11104,2.94274,2.78308,2.63155,2.48786,2.35161,2.22246,2.10017,1.98427,1.87459,1.77074,1.67244,1.57946,1.49151,1.4083,1.32965,1.25526,1.18495,1.1185,1.05572,0.996379,0.940332,0.887381,0.837368,0.790125,0.745526,0.70341,0.663645,0.626104,0.590658,0.557206,0.525631,0.495828,0.467705,0.441163,0.416114,0.392481,0.370183,0.349142,0.329289,0.31056,0.292892,0.276225,0.260501,0.245669,0.231678,0.218479,0.206032,0.194291,0.183217,0.172772,0.162921,0.15363,0.144868,0.136604,0.128811,0.121462,0.114531,0.107995,0.101831,0.0960186,0.0905372,0.0853684
0.0217212,15.2005,15.2005,11.5577,11.11,10.6655,10.2238,9.78865,9.36318,8.94659,8.53996,8.14555,7.76264,7.393,7.03592,6.69274,6.36188,6.04452,5.74007,5.44809,5.16932,4.9022,4.64786,4.40494,4.17316,3.95259,3.74287,3.54287,3.35319,3.17261,3.0012,2.83856,2.68418,2.53777,2.39892,2.26728,2.14263,2.02449,1.91266,1.80678,1.70655,1.61173,1.52203,1.43716,1.35695,1.28106,1.20934,1.14155,1.0775,1.01696,0.959773,0.905745,0.854713,0.806505,0.760994,0.718015,0.677434,0.639121,0.602946,0.568806,0.536579,0.506161,0.477456,0.450366,0.424798,0.400674,0.377914,0.356437,0.336171,0.317053,0.299017,0.282003,0.265952,0.25081,0.236528,0.223054,0.210347,0.198361,0.187056,0.176392,0.166336,0.156851,0.147905,0.139469,0.131513,0.12401,0.116934,0.11026,0.103968,0.0980333,0.0924372,0.0871601
0.0254936,15.2005,15.2005,11.7165,11.2689,10.8234,10.3798,9.94222,9.51367,9.09355,8.68301,8.28443,7.89713,7.52297,7.16126,6.81342,6.47788,6.15587,5.84681,5.55027,5.26705,4.99558,4.737,4.48995,4.25417,4.02974,3.8163,3.61271,3.41958,3.23568,3.06109,2.8954,2.73811,2.58892,2.44742,2.31324,2.18618,2.06573,1.95171,1.84374,1.74153,1.64483,1.55334,1.46678,1.38495,1.30754,1.23436,1.1652,1.09985,1.03808,0.979727,0.924593,0.872516,0.823319,0.776872,0.733007,0.691589,0.652486,0.615562,0.580714,0.547819,0.51677,0.487468,0.459814,0.433714,0.409088,0.385853,0.363927,0.343237,0.32372,0.305307,0.287937,0.271549,0.25609,0.241508,0.227752,0.214778,0.202541,0.190998,0.18011,0.169843,0.160158,0.151024,0.142411,0.134287,0.126626,0.119401,0.112587,0.106162,0.100103,0.0943884,0.0890001
0.0297197,15.2005,15.2005,15.2005,11.4277,10.9815,10.5365,10.0966,9.66512,9.24161,8.8273,8.42463,8.03301,7.65438,7.28809,6.9356,6.59539,6.26871,5.95503,5.65393,5.36623,5.09036,4.82751,4.5763,4.33649,4.10815,3.89094,3.68371,3.48709,3.29983,3.12201,2.95325,2.793,2.64098,2.49678,2.36003,2.23051,2.10772,1.99148,1.88139,1.77716,1.67854,1.58524,1.49695,1.41348,1.33451,1.25986,1.1893,1.12263,1.0596,1.00006,0.943803,0.890661,0.840456,0.793056,0.748289,0.706018,0.666108,0.628422,0.592854,0.559278,0.527585,0.497675,0.469447,0.442804,0.417665,0.393946,0.371563,0.350443,0.330518,0.31172,0.293987,0.277257,0.261474,0.246587,0.232543,0.219297,0.206802,0.195018,0.183902,0.173418,0.163531,0.154205,0.14541,0.137116,0.129294,0.121917,0.11496,0.108399,0.102213,0.0963782,0.0908765
0.0344017,15.2005,15.2005,15.2005,11.5856,11.1391,10.6928,10.2509,9.81681,9.39009,8.97214,8.56551,8.16967,7.78665,7.41583,7.05874,6.71388,6.38256,6.06427,5.7586,5.46642,5.18615,4.91901,4.66362,4.41974,4.18748,3.96647,3.75558,3.55544,3.36478,3.18372,3.01183,2.8486,2.69373,2.5468,2.40744,2.27544,2.15028,2.03179,1.91955,1.81329,1.71273,1.61758,1.52754,1.44241,1.36187,1.28573,1.21375,1.14574,1.08144,1.02069,0.963294,0.909072,0.857845,0.809478,0.763797,0.720661,0.679933,0.641474,0.605174,0.570907,0.538561,0.508035,0.479224,0.452031,0.426372,0.402162,0.379315,0.357756,0.337418,0.31823,0.300128,0.28305,0.26694,0.251742,0.237406,0.223884,0.211129,0.199099,0.187751,0.177049,0.166954,0.157434,0.148456,0.139988,0.132002,0.124471,0.117369,0.110671,0.104355,0.0983983,0.0927815
0.0395406,15.2005,15.2005,15.2005,15.2005,11.2957,10.8485,10.4048,9.96825,9.53853,9.11711,8.70666,8.30672,7.91939,7.54411,7.18249,6.83303,6.49711,6.17422,5.86401,5.56735,5.28267,5.01124,4.75167,4.50372,4.26751,4.0427,3.82813,3.62444,3.43038,3.24604,3.07101,2.90477,2.74703,2.59735,2.45537,2.32086,2.19331,2.07255,1.95815,1.84982,1.7473,1.6503,1.55849,1.47168,1.38955,1.3119,1.23849,1.16911,1.10353,1.04157,0.983016,0.927703,0.875442,0.826097,0.779491,0.73548,0.693925,0.654683,0.617644,0.582678,0.549672,0.518522,0.489121,0.46137,0.435185,0.410478,0.387162,0.36516,0.344403,0.32482,0.306345,0.288915,0.272472,0.256962,0.242329,0.228528,0.21551,0.20323,0.191648,0.180724,0.170421,0.160704,0.151539,0.142896,0.134745,0.127057,0.119808,0.112971,0.106524,0.100444,0.0947103
