,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10
1e-06,8.73514e-07,1.13734e-06,1.49987e-06,2.00083e-06,2.69679e-06,3.6685e-06,5.03151e-06,6.95162e-06,9.66728e-06,1.35221e-05,1.90126e-05,2.68571e-05,3.8097e-05,5.42452e-05,7.75023e-05,0.000111075,0.000159643,0.000230045,0.00033229,0.000481052,0.000697866,0.0010144,0.00147729,0.00215541,0.00315069,0.00461455,0.00677308,0.00996611,0.0147097,0.0217989,0.0324866,0.0488136,0.0742816,0.115413,0.186126,0.3242,0.675759,1.1889,1.43985,1.5794,1.66799
1.05925e-06,9.25273e-07,1.20473e-06,1.58874e-06,2.11939e-06,2.85659e-06,3.88587e-06,5.32964e-06,7.36353e-06,1.02401e-05,1.43234e-05,2.01392e-05,2.84485e-05,4.03545e-05,5.74595e-05,8.20948e-05,0.000117657,0.000169103,0.000243678,0.000351985,0.000509568,0.000739244,0.00107456,0.00156495,0.00228341,0.003338,0.00488936,0.00717747,0.0105635,0.0155966,0.0231254,0.0344916,0.0518941,0.0791406,0.12343,0.200521,0.355243,0.759275,1.23921,1.46811,1.59866,1.68242
1.12202e-06,9.80099e-07,1.27612e-06,1.68288e-06,2.24497e-06,3.02585e-06,4.11613e-06,5.64545e-06,7.79985e-06,1.08469e-05,1.51721e-05,2.13326e-05,3.01342e-05,4.27457e-05,6.08644e-05,8.69595e-05,0.000124629,0.000179125,0.00025812,0.000372848,0.000539776,0.000783077,0.0011383,0.00165783,0.00241902,0.00353649,0.00518062,0.0076062,0.0111971,0.016538,0.0245348,0.0366257,0.0551823,0.0843518,0.132102,0.216364,0.390803,0.846354,1.28496,1.49475,1.61714,1.6964
1.1885e-06,1.03817e-06,1.35173e-06,1.7826e-06,2.378e-06,3.20515e-06,4.36002e-06,5.97996e-06,8.26202e-06,1.14896e-05,1.60711e-05,2.25966e-05,3.19198e-05,4.52786e-05,6.4471e-05,9.21126e-05,0.000132015,0.00018974,0.000273418,0.000394948,0.000571775,0.000829512,0.00120582,0.00175622,0.00256272,0.00374682,0.00548933,0.00806076,0.0118692,0.0175374,0.0260328,0.0388981,0.0586939,0.0899457,0.141498,0.233865,0.431871,0.931522,1.32683,1.51996,1.63489,1.70995
1.25893e-06,1.09969e-06,1.43183e-06,1.88823e-06,2.5189e-06,3.39506e-06,4.61837e-06,6.3343e-06,8.75158e-06,1.21704e-05,1.70234e-05,2.39356e-05,3.38112e-05,4.79616e-05,6.82913e-05,9.75709e-05,0.000139838,0.000200985,0.000289623,0.000418358,0.000605672,0.000878701,0.00127736,0.00186047,0.00271497,0.00396972,0.00581654,0.00854273,0.0125821,0.0185984,0.0276251,0.0413183,0.0624462,0.0959561,0.151699,0.253279,0.479669,1.01084,1.36539,1.54387,1.65197,1.72309
1.33352e-06,1.16485e-06,1.51667e-06,2.00011e-06,2.66815e-06,3.59623e-06,4.89202e-06,6.70963e-06,9.27014e-06,1.28915e-05,1.80321e-05,2.53538e-05,3.58147e-05,5.08036e-05,7.2338e-05,0.000103353,0.000148125,0.000212896,0.000306788,0.000443157,0.00064158,0.00093081,0.00135314,0.00197091,0.00287629,0.00420593,0.00616339,0.00905379,0.0133386,0.019725,0.0293182,0.0438971,0.0664582,0.102421,0.162795,0.274918,0.535611,1.08275,1.40111,1.56661,1.66843,1.73584
1.41254e-06,1.23387e-06,1.60654e-06,2.11862e-06,2.82625e-06,3.80932e-06,5.18189e-06,7.1072e-06,9.81943e-06,1.36554e-05,1.91006e-05,2.68562e-05,3.79369e-05,5.3814e-05,7.66245e-05,0.000109477,0.000156903,0.000225513,0.000324971,0.000469425,0.000679618,0.000986012,0.00143342,0.00208792,0.00304722,0.00445626,0.00653105,0.00959574,0.0141412,0.0209215,0.0311188,0.0466458,0.0707505,0.109383,0.174895,0.299168,0.601047,1.14733,1.43436,1.58829,1.68431,1.74824
1.49624e-06,1.30698e-06,1.70173e-06,2.24416e-06,2.99372e-06,4.03504e-06,5.48894e-06,7.52833e-06,1.04013e-05,1.44646e-05,2.02324e-05,2.84475e-05,4.01849e-05,5.70028e-05,8.11651e-05,0.000115965,0.000166201,0.000238878,0.000344232,0.000497252,0.000719913,0.00104449,0.00151848,0.0022119,0.00322835,0.00472156,0.00692081,0.0101705,0.0149929,0.0221923,0.0330341,0.0495769,0.075346,0.11689,0.188122,0.326512,0.676574,1.20534,1.46545,1.60901,1.69965,1.76029
1.58489e-06,1.38443e-06,1.80257e-06,2.37714e-06,3.17111e-06,4.27413e-06,5.81419e-06,7.97441e-06,1.10176e-05,1.53216e-05,2.14313e-05,3.01332e-05,4.2566e-05,6.03806e-05,8.59747e-05,0.000122837,0.00017605,0.000253035,0.000364635,0.000526729,0.000762598,0.00110644,0.00160858,0.00234325,0.00342028,0.00500273,0.007334,0.01078,0.0158968,0.0235424,0.0350722,0.0527038,0.0802699,0.124996,0.202623,0.357555,0.760831,1.25769,1.49465,1.62883,1.71448,1.77201
1.6788e-06,1.46646e-06,1.90938e-06,2.51799e-06,3.35901e-06,4.52739e-06,6.1587e-06,8.44693e-06,1.16704e-05,1.62295e-05,2.27012e-05,3.19187e-05,4.50883e-05,6.39585e-05,9.10693e-05,0.000130116,0.000186483,0.000268031,0.000386248,0.000557954,0.000807816,0.00117207,0.00170405,0.00248242,0.00362365,0.00530074,0.00777205,0.0114266,0.0168562,0.024977,0.0372415,0.0560412,0.0855499,0.133761,0.218574,0.393069,0.849695,1.30524,1.52216,1.64785,1.72884,1.78343
1.77828e-06,1.55335e-06,2.02251e-06,2.66719e-06,3.55804e-06,4.79566e-06,6.52362e-06,8.94744e-06,1.2362e-05,1.71912e-05,2.40463e-05,3.38101e-05,4.776e-05,6.77485e-05,9.64659e-05,0.000137827,0.000197535,0.000283916,0.000409142,0.000591031,0.000855717,0.0012416,0.00180518,0.00262988,0.00383917,0.00561659,0.0082365,0.0121124,0.0178747,0.0265016,0.0395511,0.0596051,0.0912168,0.143256,0.236182,0.434028,0.937539,1.34871,1.54817,1.66611,1.74275,1.79455
1.88365e-06,1.64539e-06,2.14236e-06,2.82523e-06,3.76887e-06,5.07982e-06,6.91017e-06,9.47761e-06,1.30944e-05,1.82098e-05,2.54712e-05,3.58135e-05,5.05901e-05,7.1763e-05,0.000102182,0.000145994,0.000209241,0.000300743,0.000433393,0.00062607,0.000906461,0.00131525,0.00191233,0.00278612,0.00406756,0.00595138,0.00872894,0.0128399,0.0189559,0.0281222,0.042011,0.063413,0.0973048,0.153561,0.255701,0.481645,1.01992,1.3887,1.57283,1.68368,1.75624,1.8054
1.99526e-06,1.74289e-06,2.2693e-06,2.99264e-06,3.99219e-06,5.38082e-06,7.31963e-06,1.00392e-05,1.38703e-05,1.92888e-05,2.69804e-05,3.79356e-05,5.35878e-05,7.60155e-05,0.000108237,0.000154646,0.000221641,0.000318568,0.000459083,0.000663187,0.000960216,0.00139328,0.00202586,0.00295166,0.00430958,0.00630626,0.00925112,0.0136118,0.020104,0.0298452,0.0446318,0.067484,0.103852,0.164766,0.27744,0.537343,1.09484,1.4257,1.59628,1.70061,1.76934,1.81597
2.11349e-06,1.84616e-06,2.40376e-06,3.16996e-06,4.22874e-06,5.69965e-06,7.75335e-06,1.06341e-05,1.46922e-05,2.04318e-05,2.85792e-05,4.01835e-05,5.67632e-05,8.05199e-05,0.000114651,0.00016381,0.000234777,0.000337449,0.000486296,0.000702506,0.00101716,0.00147594,0.00214613,0.00312708,0.00456608,0.00668243,0.00980484,0.0144307,0.0213233,0.0316776,0.0474252,0.0718391,0.110902,0.17698,0.301779,0.602555,1.16217,1.46011,1.61862,1.71693,1.78206,1.8263
2.23872e-06,1.95556e-06,2.5462e-06,3.3578e-06,4.47931e-06,6.03738e-06,8.21276e-06,1.12642e-05,1.55628e-05,2.16425e-05,3.02726e-05,4.25646e-05,6.01268e-05,8.52913e-05,0.000121445,0.000173518,0.000248691,0.000357449,0.000515122,0.000744158,0.00107749,0.00156352,0.00227356,0.00331295,0.00483791,0.0070812,0.0103921,0.0152998,0.0226183,0.0336268,0.0504037,0.0765013,0.118501,0.190326,0.329193,0.678105,1.22262,1.49227,1.63996,1.7327,1.79443,1.83638
2.37137e-06,2.07143e-06,2.69707e-06,3.55676e-06,4.74473e-06,6.39512e-06,8.6994e-06,1.19316e-05,1.6485e-05,2.29249e-05,3.20664e-05,4.50868e-05,6.36897e-05,9.03454e-05,0.000128642,0.000183801,0.000263429,0.000378636,0.000545659,0.00078828,0.0011414,0.0016563,0.00240857,0.0035099,0.005126,0.00750395,0.0110149,0.0162221,0.023994,0.0357008,0.053581,0.081496,0.126705,0.204951,0.360281,0.763039,1.27711,1.52244,1.66038,1.74794,1.80646,1.84622
2.51189e-06,2.19417e-06,2.85688e-06,3.76751e-06,5.02587e-06,6.77405e-06,9.21487e-06,1.26386e-05,1.74618e-05,2.42833e-05,3.39665e-05,4.77584e-05,6.74637e-05,9.5699e-05,0.000136265,0.000194693,0.000279042,0.000401078,0.000578005,0.000835021,0.0012091,0.00175459,0.00255162,0.0037186,0.00543134,0.00795213,0.0116754,0.017201,0.0254558,0.0379082,0.056972,0.0868513,0.135574,0.221029,0.395801,0.8536,1.32654,1.55086,1.67995,1.76269,1.81817,1.85585
2.66073e-06,2.32418e-06,3.02616e-06,3.99075e-06,5.32368e-06,7.17544e-06,9.76089e-06,1.33875e-05,1.84965e-05,2.57222e-05,3.59792e-05,5.05884e-05,7.14613e-05,0.00010137,0.00014434,0.000206231,0.00029558,0.000424851,0.000612271,0.000884535,0.00128082,0.00185873,0.00270319,0.00393976,0.00575497,0.00842732,0.0123761,0.0182401,0.0270093,0.0402583,0.0605929,0.0925982,0.145179,0.238767,0.436714,0.944091,1.37168,1.57771,1.69875,1.77699,1.82959,1.86526
2.81838e-06,2.4619e-06,3.20547e-06,4.22722e-06,5.63912e-06,7.60061e-06,1.03393e-05,1.41808e-05,1.95924e-05,2.72463e-05,3.81111e-05,5.3586e-05,7.56959e-05,0.000107377,0.000152894,0.000218453,0.000313098,0.000450034,0.000648569,0.000936987,0.0013568,0.00196906,0.00286378,0.00417413,0.00609799,0.00893114,0.0131194,0.0193433,0.0286605,0.0427611,0.0644613,0.0987713,0.1556,0.258416,0.48422,1.02958,1.41316,1.60315,1.71683,1.79085,1.84071,1.87447
2.98538e-06,2.60778e-06,3.39541e-06,4.47769e-06,5.97326e-06,8.05098e-06,1.09519e-05,1.5021e-05,2.07534e-05,2.88608e-05,4.03694e-05,5.67613e-05,8.01814e-05,0.00011374,0.000161954,0.000231399,0.000331655,0.00047671,0.00068702,0.000992553,0.00143729,0.00208595,0.00303394,0.00442249,0.0064616,0.00946538,0.013908,0.0205147,0.0304161,0.0454276,0.0685967,0.105409,0.166929,0.280283,0.539752,1.10762,1.4515,1.62734,1.73424,1.8043,1.85156,1.88349
3.16228e-06,2.7623e-06,3.5966e-06,4.74302e-06,6.3272e-06,8.52803e-06,1.16009e-05,1.59111e-05,2.19831e-05,3.05709e-05,4.27615e-05,6.01247e-05,8.49326e-05,0.00012048,0.000171552,0.000245113,0.000351311,0.000504968,0.000727753,0.00105142,0.00152257,0.00220979,0.00321424,0.0046857,0.00684702,0.0100319,0.0147447,0.0217586,0.0322831,0.0482695,0.0730202,0.112555,0.179271,0.304744,0.604806,1.17782,1.48713,1.65037,1.75103,1.81736,1.86215,1.89231
3.34965e-06,2.92597e-06,3.80971e-06,5.02406e-06,6.70211e-06,9.03335e-06,1.22883e-05,1.68539e-05,2.32857e-05,3.23824e-05,4.52953e-05,6.36874e-05,8.99655e-05,0.000127619,0.000181718,0.000259639,0.000372134,0.000534901,0.000770901,0.00111377,0.00161291,0.002341,0.00340529,0.00496464,0.0072556,0.0106327,0.0156326,0.0230799,0.0342689,0.0512996,0.0777551,0.120256,0.192753,0.332268,0.680407,1.24081,1.5204,1.67236,1.76724,1.83006,1.87249,1.90096
