,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.05,1.1,1.15,1.2,1.25,1.333,1.4,1.47,1.544,1.622,1.704,1.79,1.88,1.974,2.073,2.177,2.286,2.401,2.522,2.649,2.782,2.922,3.069,3.223,3.385,3.555,3.733,3.92,4.116,4.322,4.539,4.766,5.005,5.256,5.519,5.795,6.085,6.39,6.71,7.046,7.399,7.769,8.158,8.566,8.995,9.445,9.918,10.414,10.935
2.31e-07,6.43725,7.01916,6.8364,6.10435,5.51811,3.94471,2.16683,0.946365,0.310035,0.175928,0.119657,0.0874961,0.0667134,0.0524061,0.0421434,0.0345582,0.0257475,0.0208501,0.0170797,0.0141075,0.0117498,0.00986658,0.0083514,0.0071235,0.00612114,0.00528971,0.00459693,0.00401716,0.00352577,0.00310831,0.00275258,0.00244834,0.00218544,0.00195779,0.00176025,0.00158737,0.00143582,0.00130273,0.001185,0.00108073,0.000987809,0.000904556,0.000830318,0.000763488,0.000703331,0.000649157,0.000600168,0.000555708,0.000515229,0.000478372,0.000444698,0.000413827,0.000385511,0.000359382,0.000335286,0.000312976,0.000292366,0.00027332,0.000255817,0.000239792
7.94e-07,6.89732,7.29752,7.13862,6.60551,6.31367,5.80299,4.76759,3.22314,1.3586,0.710522,0.462185,0.328225,0.245424,0.190153,0.151365,0.123224,0.0910251,0.0733677,0.0598761,0.0493057,0.0409641,0.0343319,0.0290124,0.024714,0.0212129,0.0183151,0.0159041,0.0138888,0.0121826,0.0107349,0.0095028,0.00844963,0.00753978,0.0067521,0.00606914,0.00547188,0.00494858,0.00448921,0.00408301,0.00372332,0.00340277,0.00311536,0.00285931,0.0026289,0.00242157,0.0022349,0.00206612,0.00191297,0.00177354,0.0016466,0.00153064,0.00142432,0.0013268,0.00123677,0.00115378,0.00107695,0.00100599,0.000940425,0.000880177,0.00082502
2.06e-06,7.13134,7.45817,7.31045,6.8971,6.75495,6.6276,6.1592,5.26737,3.60224,2.00873,1.38774,0.997101,0.734787,0.557511,0.435273,0.349016,0.252734,0.201447,0.162974,0.133261,0.110095,0.0918644,0.0773575,0.0657133,0.0562668,0.0485095,0.0420381,0.0366499,0.0321022,0.0282556,0.0249909,0.0222043,0.0197985,0.0177163,0.0159143,0.0143413,0.0129644,0.0117569,0.0106901,0.00974592,0.00890449,0.00814851,0.00747655,0.00687257,0.00632944,0.00584064,0.00539886,0.00499803,0.00463327,0.00430126,0.003998,0.00371996,0.00346491,0.00322922,0.00301209,0.00281121,0.00262574,0.00245441,0.00229702,0.00215296
4.17e-06,7.2689,7.55576,7.41427,7.07971,7.04872,7.16648,6.96459,6.50831,5.43295,3.33343,2.28654,1.82336,1.48986,1.20849,0.971827,0.785011,0.562412,0.44311,0.354362,0.286757,0.234835,0.194564,0.162829,0.1376,0.11731,0.100881,0.0871897,0.0758301,0.0662675,0.0582205,0.051421,0.0456322,0.0406275,0.0362999,0.03257,0.0293251,0.0264904,0.0240094,0.0218203,0.0198847,0.0181596,0.0166048,0.0152279,0.0139925,0.0128829,0.011885,0.0109837,0.0101662,0.00942267,0.00874612,0.00812831,0.00756184,0.00704222,0.00656118,0.00611856,0.00570945,0.00533192,0.00498335,0.00466327,0.00437046
7.15e-06,7.36033,7.6216,7.4842,7.20653,7.27223,7.56198,7.50011,7.33415,6.71078,5.13048,3.0431,2.37154,2.02322,1.75879,1.5269,1.31902,1.0133,0.818161,0.658197,0.531084,0.432166,0.355589,0.295572,0.248232,0.210463,0.18021,0.155149,0.134444,0.117119,0.102629,0.0904678,0.080136,0.0712347,0.0635394,0.0569311,0.051206,0.0462131,0.0418516,0.0380111,0.0346201,0.0315903,0.0288484,0.0264349,0.0242758,0.0223403,0.020602,0.0190333,0.0176113,0.0163193,0.0151441,0.0140715,0.0130879,0.0121856,0.0113482,0.010579,0.00986902,0.00921436,0.00861034,0.00805606,0.00754933
1.11e-05,7.42773,7.67084,7.53649,7.30356,7.46124,7.86238,7.86706,7.89283,7.56832,6.60679,4.29784,2.85769,2.40199,2.12275,1.90295,1.71371,1.42748,1.22671,1.03583,0.862628,0.7134,0.590382,0.490674,0.410736,0.346646,0.295601,0.253465,0.218726,0.189786,0.165776,0.145776,0.128846,0.114276,0.101676,0.0909209,0.0816487,0.0735923,0.0665829,0.0604198,0.0549889,0.0501407,0.0457235,0.0418613,0.0384178,0.035338,0.0325735,0.0300815,0.0278244,0.0257758,0.0239119,0.0222118,0.0206511,0.0192198,0.0178869,0.016666,0.0155412,0.0145053,0.0135507,0.0126755,0.0118761
1.62e-05,7.48016,7.70967,7.5777,7.38175,7.62864,8.07766,8.12789,8.28243,8.15584,7.50773,6.23951,3.49391,2.74683,2.40587,2.17201,1.98519,1.7179,1.53605,1.35726,1.1852,1.02259,0.873676,0.741765,0.627817,0.532125,0.454283,0.389279,0.33503,0.28971,0.25229,0.221358,0.195205,0.172705,0.153193,0.13666,0.122507,0.11025,0.0996254,0.0903178,0.0821195,0.0748051,0.0680727,0.0622469,0.0570768,0.0524622,0.0483306,0.0446117,0.0412459,0.0381936,0.0354212,0.0328922,0.0305732,0.0284442,0.026453,0.0246337,0.0229612,0.0214233,0.0200077,0.0187103,0.0175279
3.03e-05,7.55894,7.76892,7.64083,7.50448,7.92302,8.35562,8.4847,8.81623,9.00004,8.6308,7.99169,6.84143,3.73826,2.96035,2.61353,2.38441,2.10296,1.93134,1.76945,1.61873,1.47585,1.33855,1.20969,1.08399,0.96448,0.855883,0.757699,0.665517,0.582165,0.510431,0.450106,0.397678,0.351717,0.310565,0.276004,0.246753,0.221501,0.199755,0.18079,0.164115,0.149132,0.134946,0.123007,0.112539,0.103274,0.0950123,0.0875976,0.080895,0.0748424,0.0693509,0.0643528,0.0597562,0.055536,0.0515277,0.0479042,0.0445925,0.041561,0.03878,0.0362411,0.033933
4.91e-05,7.61353,7.81084,7.68559,7.59353,8.16669,8.52553,8.71334,9.19648,9.96632,9.64493,8.89676,8.16247,6.86931,3.777,3.07064,2.72995,2.38039,2.18979,2.02104,1.87166,1.73484,1.60562,1.48781,1.37209,1.26084,1.15726,1.06419,0.969859,0.877956,0.793485,0.718935,0.64979,0.586289,0.523724,0.469452,0.422589,0.381256,0.345239,0.313483,0.285225,0.259213,0.233355,0.212273,0.193976,0.17789,0.163563,0.150721,0.139105,0.128646,0.119157,0.11052,0.102536,0.0951801,0.0880416,0.0816727,0.0759065,0.0706536,0.0658608,0.0614995,0.0575529
7.31e-05,7.65484,7.84305,7.72006,7.66398,8.39773,8.64719,8.87963,9.62353,10.6259,10.3912,9.75523,8.90564,8.06329,6.42573,3.74561,3.12784,2.64249,2.41052,2.21984,2.05939,1.91755,1.78667,1.67056,1.55767,1.45019,1.35024,1.26309,1.17334,1.08468,1.0018,0.927839,0.857633,0.793119,0.724706,0.662986,0.607783,0.557354,0.512123,0.471142,0.433573,0.397355,0.358883,0.327832,0.300753,0.276827,0.255323,0.235895,0.218176,0.202169,0.187567,0.174217,0.161702,0.150079,0.138425,0.12818,0.118991,0.110658,0.103088,0.0962265,0.090046
0.000103,7.68803,7.86918,7.7483,7.72247,8.73247,8.74222,9.01048,10.5297,10.984,10.7724,10.3714,9.53726,8.72498,7.75597,5.54304,3.70214,2.93654,2.63403,2.40628,2.22477,2.07035,1.93168,1.81157,1.69657,1.58844,1.48831,1.40284,1.31475,1.22782,1.14627,1.0734,1.00405,0.941558,0.873623,0.811454,0.754915,0.702476,0.654736,0.610808,0.569791,0.528888,0.483776,0.446851,0.414048,0.384619,0.357686,0.332942,0.310023,0.28908,0.269723,0.251816,0.234641,0.21841,0.201512,0.186752,0.173543,0.161565,0.150685,0.140822,0.131959
0.000139,7.71577,7.89139,7.77225,7.77307,8.96729,8.82046,9.11875,10.9523,11.236,11.0326,10.7257,10.1251,9.2301,8.41888,7.29799,4.86927,3.31164,2.8879,2.60223,2.38831,2.21397,2.06232,1.93398,1.81343,1.70165,1.59878,1.51219,1.42342,1.33625,1.25442,1.18123,1.11164,1.04992,0.982483,0.920442,0.863544,0.810502,0.761915,0.716934,0.674656,0.631996,0.584999,0.545911,0.510667,0.478675,0.44901,0.421404,0.395538,0.371645,0.349311,0.328426,0.307982,0.288336,0.267392,0.248976,0.232369,0.2172,0.203337,0.190698,0.179311
0.000183,7.7398,7.91074,7.79329,7.81802,9.06673,8.88769,9.21223,11.2155,11.4335,11.2341,10.9788,10.5318,9.68995,8.89367,8.04209,6.75269,3.86425,3.20675,2.82816,2.56554,2.3621,2.19161,2.05084,1.92159,1.80364,1.69604,1.60628,1.51515,1.42628,1.34293,1.26831,1.1975,1.13536,1.06764,1.00518,0.94757,0.89373,0.84422,0.798213,0.754844,0.710983,0.663393,0.623259,0.58671,0.553285,0.522056,0.492779,0.465199,0.439537,0.415402,0.392691,0.370245,0.348489,0.32527,0.304631,0.285817,0.268492,0.25253,0.237871,0.224586
0.000232,7.75996,7.92691,7.81113,7.85673,9.11876,8.94374,9.29111,11.4039,11.5891,11.3912,11.169,10.8002,10.0919,9.26743,8.51582,7.60296,4.77877,3.61777,3.09057,2.75846,2.51575,2.32056,2.16343,2.02279,1.89662,1.78264,1.6884,1.59369,1.50209,1.41637,1.33959,1.26694,1.20357,1.13496,1.07159,1.01291,0.957999,0.907363,0.860186,0.815642,0.77065,0.722607,0.681625,0.644048,0.609502,0.577081,0.546555,0.517719,0.490756,0.465311,0.441284,0.417465,0.394313,0.36984,0.347881,0.32769,0.308986,0.291647,0.275629,0.261031
0.00029,7.77796,7.94185,7.82713,7.89221,9.14934,8.99361,9.36182,11.5564,11.7217,11.5245,11.3273,11.0068,10.4125,9.60521,8.88659,8.13237,6.15265,4.22636,3.42744,2.98831,2.68993,2.46126,2.28245,2.12684,1.98991,1.86766,1.76736,1.66793,1.57259,1.48371,1.40412,1.32904,1.26382,1.1938,1.12911,1.06904,1.01278,0.960809,0.912291,0.86644,0.820251,0.77164,0.729763,0.691169,0.655542,0.622007,0.590338,0.560373,0.53225,0.505651,0.480475,0.455511,0.431232,0.405865,0.382927,0.361695,0.34194,0.32354,0.306464,0.290825
0.000357,7.79431,7.95531,7.84208,7.92502,9.16921,9.03879,9.42712,11.6848,11.8379,11.6409,11.4641,11.1766,10.6573,9.92157,9.20505,8.53123,7.06385,5.19671,3.89135,3.27611,2.8962,2.62137,2.41361,2.2385,2.08768,1.95493,1.84688,1.74136,1.64122,1.54831,1.46522,1.3872,1.31963,1.24773,1.18134,1.11957,1.06172,1.00821,0.958187,0.910902,0.863427,0.814092,0.771231,0.731579,0.694857,0.660221,0.627446,0.596399,0.56718,0.539502,0.513259,0.487264,0.461992,0.435875,0.41211,0.389997,0.369354,0.350056,0.332086,0.315559
0.000436,7.80949,7.96786,7.85601,7.9563,9.18955,9.08059,9.48912,11.7983,11.9426,11.7457,11.5863,11.3233,10.854,10.2076,9.50131,8.86714,7.63927,6.29008,4.58301,3.65986,3.1535,2.81247,2.56503,2.36397,2.19502,2.04881,1.93088,1.81765,1.71142,1.61349,1.5261,1.44444,1.3739,1.29964,1.23115,1.16737,1.10767,1.05239,1.00068,0.951801,0.902917,0.852684,0.808723,0.767936,0.730068,0.694304,0.660413,0.628287,0.597988,0.569256,0.54198,0.515006,0.488804,0.46199,0.437462,0.414543,0.393092,0.372983,0.354204,0.336875
