,0.36921,0.3861,0.40298,0.41987,0.43676,0.45364,0.47053,0.48741,0.5043,0.52119,0.53807,0.55496,0.57184,0.58873,0.60562,0.6225,0.63939,0.65627,0.67316,0.69005,0.70693,0.72382,0.7407,0.75759,0.77448,0.79136,0.80825,0.82513,0.84202,0.85891,0.87579,0.89268,0.90956,0.92645,0.94334,0.96022,0.97711,0.99399,1.02777,1.06154,1.09531,1.12908,1.16285,1.19663,1.2304,1.28106,1.33171,1.41614,1.4668,1.53435,1.60189,1.65255,1.73698,1.80452,1.87207,1.9565,2.04093,2.12536,2.20979,2.30772,2.38878,2.49685,2.60492,2.71299,2.84808,2.95615,3.09124,3.19931,3.33439,3.4965,3.63159,3.79369,3.9558,4.1179,4.28001,4.46913,4.65826,4.84738,5.06352,5.27966,5.4958,5.71194,5.9551,6.22528,6.46844,6.73861,7.0358,7.333,7.63019,7.9544,8.30563,8.65686,9.00809,9.38634,9.7916,10.1969,10.6291,11.0614,11.5477,12.0341,12.5204,13.0607,13.6011,14.1685,14.7899,15.3842,16.0327,16.7081,17.4106,18.1671,18.9235,19.7071,20.5446,21.4092,22.3008,23.2464,24.219,25.2457,26.2993,27.4071,28.5418,29.7576,31.0004,32.2973,33.6481,35.0801,36.539,38.079,39.7001,41.3482,43.0773,44.9145,46.7787,48.751,50.8043
1e-08,0.809008,0.680054,0.562164,0.405368,0.244137,0.128273,0.0623864,0.0295741,0.0142502,0.00720822,0.00391054,0.00229788,0.00146176,0.00099902,0.000725628,0.000553975,0.000440228,0.000361277,0.000304282,0.000261757,0.000229133,0.000203506,0.000182964,0.000166211,0.000152337,0.000140695,0.000130809,0.000122327,0.000114979,0.000108559,0.000102908,9.7897e-05,9.3426e-05,8.94129e-05,8.57912e-05,8.25061e-05,7.95127e-05,7.67733e-05,7.19349e-05,6.77919e-05,6.41993e-05,6.10495e-05,5.8261e-05,5.57711e-05,5.35307e-05,5.05556e-05,4.79568e-05,4.42706e-05,4.23638e-05,4.01014e-05,3.81016e-05,3.6745e-05,3.4711e-05,3.3256e-05,3.19297e-05,3.04259e-05,2.9068e-05,2.78343e-05,2.67074e-05,2.52012e-05,2.4346e-05,2.32922e-05,2.23259e-05,2.14366e-05,2.04198e-05,1.96733e-05,1.88136e-05,1.81781e-05,1.74416e-05,1.6633e-05,1.60143e-05,1.533e-05,1.47018e-05,1.4123e-05,1.35881e-05,1.30131e-05,1.24848e-05,1.19977e-05,1.14855e-05,1.10153e-05,1.05821e-05,1.01817e-05,9.76595e-06,9.34211e-06,8.99092e-06,8.63045e-06,8.2659e-06,7.93089e-06,7.62199e-06,7.31133e-06,7.00215e-06,6.71805e-06,6.45611e-06,6.19594e-06,5.9395e-06,5.70345e-06,5.47149e-06,5.25766e-06,5.03624e-06,4.83272e-06,4.64501e-06,4.45283e-06,4.27593e-06,4.1047e-06,3.93224e-06,3.78031e-06,3.62742e-06,3.48078e-06,3.34034e-06,3.20125e-06,3.07327e-06,2.95109e-06,2.83078e-06,2.71646e-06,2.60786e-06,2.50178e-06,2.40131e-06,2.30365e-06,2.21136e-06,2.12198e-06,2.03762e-06,1.95437e-06,1.87601e-06,1.80069e-06,1.72839e-06,1.65784e-06,1.59165e-06,1.52728e-06,1.46491e-06,1.40653e-06,1.35007e-06,1.29484e-06,1.24324e-06,1.19294e-06,1.14473e-06
1.2e-08,0.991899,0.834467,0.690016,0.49536,0.296359,0.154889,0.0750927,0.0355397,0.0171117,0.00865264,0.00469341,0.0027577,0.00175422,0.00119887,0.000870777,0.000664783,0.000528283,0.000433537,0.000365143,0.000314113,0.000274962,0.000244209,0.000219559,0.000199455,0.000182807,0.000168836,0.000156972,0.000146792,0.000137975,0.000130272,0.000123489,0.000117477,0.000112112,0.000107296,0.00010295,9.90083e-05,9.54157e-05,9.21284e-05,8.63223e-05,8.13505e-05,7.70395e-05,7.32597e-05,6.99135e-05,6.69255e-05,6.42371e-05,6.0667e-05,5.75484e-05,5.31249e-05,5.08367e-05,4.81218e-05,4.57221e-05,4.40942e-05,4.16534e-05,3.99073e-05,3.83157e-05,3.65112e-05,3.48818e-05,3.34013e-05,3.2049e-05,3.02415e-05,2.92153e-05,2.79508e-05,2.67912e-05,2.5724e-05,2.45038e-05,2.3608e-05,2.25763e-05,2.18137e-05,2.093e-05,1.99596e-05,1.92172e-05,1.8396e-05,1.76422e-05,1.69477e-05,1.63058e-05,1.56158e-05,1.49818e-05,1.43972e-05,1.37827e-05,1.32184e-05,1.26986e-05,1.22181e-05,1.17192e-05,1.12106e-05,1.07891e-05,1.03566e-05,9.91911e-06,9.5171e-06,9.14642e-06,8.77362e-06,8.4026e-06,8.06169e-06,7.74736e-06,7.43515e-06,7.12742e-06,6.84415e-06,6.5658e-06,6.30921e-06,6.04351e-06,5.79928e-06,5.57402e-06,5.34341e-06,5.13113e-06,4.92565e-06,4.7187e-06,4.53639e-06,4.35292e-06,4.17695e-06,4.00842e-06,3.84151e-06,3.68794e-06,3.54131e-06,3.39695e-06,3.25977e-06,3.12944e-06,3.00214e-06,2.88158e-06,2.76439e-06,2.65364e-06,2.54638e-06,2.44515e-06,2.34525e-06,2.25122e-06,2.16083e-06,2.07408e-06,1.98942e-06,1.90998e-06,1.83274e-06,1.7579e-06,1.68784e-06,1.62009e-06,1.55382e-06,1.49189e-06,1.43154e-06,1.37368e-06
1.44e-08,1.22261,1.02991,0.85212,0.608059,0.360677,0.187275,0.090444,0.0427213,0.0205506,0.0103872,0.00563322,0.00330961,0.0021052,0.00143871,0.00104497,0.00079776,0.000633951,0.000520254,0.000438177,0.00037694,0.000329958,0.000293054,0.000263474,0.000239347,0.00021937,0.000202604,0.000188369,0.000176152,0.000165571,0.000156327,0.000148189,0.000140974,0.000134535,0.000128756,0.00012354,0.00011881,0.0001145,0.000110555,0.000103587,9.76208e-05,9.24475e-05,8.79125e-05,8.38963e-05,8.03112e-05,7.70847e-05,7.28007e-05,6.90583e-05,6.37502e-05,6.10043e-05,5.77465e-05,5.48667e-05,5.29132e-05,4.99842e-05,4.7889e-05,4.5979e-05,4.38137e-05,4.18583e-05,4.00818e-05,3.84589e-05,3.629e-05,3.50585e-05,3.35411e-05,3.21496e-05,3.08689e-05,2.94047e-05,2.83298e-05,2.70917e-05,2.61766e-05,2.51162e-05,2.39517e-05,2.30607e-05,2.20754e-05,2.11707e-05,2.03373e-05,1.9567e-05,1.8739e-05,1.79782e-05,1.72768e-05,1.65393e-05,1.58622e-05,1.52384e-05,1.46618e-05,1.40631e-05,1.34527e-05,1.2947e-05,1.24279e-05,1.1903e-05,1.14206e-05,1.09757e-05,1.05284e-05,1.00832e-05,9.67407e-06,9.29687e-06,8.92223e-06,8.55295e-06,8.21302e-06,7.879e-06,7.57109e-06,7.25225e-06,6.95917e-06,6.68886e-06,6.41213e-06,6.15738e-06,5.91081e-06,5.66246e-06,5.44369e-06,5.22352e-06,5.01236e-06,4.81013e-06,4.60983e-06,4.42555e-06,4.2496e-06,4.07635e-06,3.91174e-06,3.75535e-06,3.60259e-06,3.45791e-06,3.31728e-06,3.18438e-06,3.05567e-06,2.93419e-06,2.81431e-06,2.70148e-06,2.59301e-06,2.48891e-06,2.38731e-06,2.29199e-06,2.1993e-06,2.10949e-06,2.02541e-06,1.94411e-06,1.86459e-06,1.79028e-06,1.71785e-06,1.64842e-06
1.73e-08,1.51961,1.28305,1.06153,0.751531,0.440934,0.227076,0.109147,0.0514322,0.0247133,0.0124849,0.0067693,0.00397666,0.00252937,0.00172854,0.00125546,0.000958448,0.000761641,0.00062504,0.000526431,0.000452858,0.000396413,0.000352076,0.000316538,0.000287552,0.00026355,0.000243409,0.000226306,0.00021163,0.000198917,0.000187811,0.000178033,0.000169365,0.00016163,0.000154687,0.000148422,0.000142738,0.000137559,0.00013282,0.000124449,0.000117282,0.000111066,0.000105617,0.000100793,9.64854e-05,9.26096e-05,8.74621e-05,8.2966e-05,7.65892e-05,7.32903e-05,6.93763e-05,6.59166e-05,6.35699e-05,6.00508e-05,5.75334e-05,5.5239e-05,5.26376e-05,5.02883e-05,4.81539e-05,4.62043e-05,4.35984e-05,4.21189e-05,4.02959e-05,3.86242e-05,3.70856e-05,3.53266e-05,3.40351e-05,3.25477e-05,3.14483e-05,3.01743e-05,2.87753e-05,2.77049e-05,2.65211e-05,2.54343e-05,2.44331e-05,2.35076e-05,2.25129e-05,2.15988e-05,2.07561e-05,1.98701e-05,1.90567e-05,1.83072e-05,1.76145e-05,1.68952e-05,1.6162e-05,1.55544e-05,1.49308e-05,1.43001e-05,1.37206e-05,1.31862e-05,1.26487e-05,1.21138e-05,1.16223e-05,1.11692e-05,1.07191e-05,1.02754e-05,9.86705e-06,9.46575e-06,9.09583e-06,8.71278e-06,8.36068e-06,8.03593e-06,7.70347e-06,7.39742e-06,7.10119e-06,6.80283e-06,6.54e-06,6.27549e-06,6.0218e-06,5.77884e-06,5.5382e-06,5.31681e-06,5.10542e-06,4.89729e-06,4.69952e-06,4.51164e-06,4.32811e-06,4.1543e-06,3.98535e-06,3.82568e-06,3.67106e-06,3.52511e-06,3.38108e-06,3.24553e-06,3.11521e-06,2.99015e-06,2.86809e-06,2.75357e-06,2.64221e-06,2.53432e-06,2.43331e-06,2.33564e-06,2.2401e-06,2.15083e-06,2.06381e-06,1.9804e-06
2.07e-08,1.89519,1.60811,1.32941,0.930771,0.538835,0.274703,0.13129,0.0616918,0.0296041,0.0149468,0.00810197,0.00475894,0.00302676,0.00206839,0.00150227,0.00114685,0.000911354,0.000747898,0.000629904,0.000541869,0.000474329,0.000421277,0.000378753,0.00034407,0.000315351,0.00029125,0.000270784,0.000253223,0.000238013,0.000224724,0.000213024,0.000202653,0.000193397,0.000185089,0.000177592,0.000170792,0.000164595,0.000158925,0.000148909,0.000140332,0.000132896,0.000126375,0.000120603,0.000115448,0.000110811,0.000104652,9.92728e-05,9.16423e-05,8.76947e-05,8.30111e-05,7.88715e-05,7.60635e-05,7.18532e-05,6.88414e-05,6.60958e-05,6.29826e-05,6.01717e-05,5.76182e-05,5.52853e-05,5.21674e-05,5.03971e-05,4.82158e-05,4.62155e-05,4.43745e-05,4.22698e-05,4.07245e-05,3.89448e-05,3.76293e-05,3.61049e-05,3.44309e-05,3.31501e-05,3.17337e-05,3.04332e-05,2.92352e-05,2.81279e-05,2.69376e-05,2.58439e-05,2.48356e-05,2.37755e-05,2.28022e-05,2.19054e-05,2.10765e-05,2.02159e-05,1.93385e-05,1.86115e-05,1.78654e-05,1.71107e-05,1.64172e-05,1.57778e-05,1.51347e-05,1.44947e-05,1.39066e-05,1.33644e-05,1.28258e-05,1.2295e-05,1.18063e-05,1.13262e-05,1.08836e-05,1.04252e-05,1.00039e-05,9.61534e-06,9.21753e-06,8.85133e-06,8.49688e-06,8.13988e-06,7.82539e-06,7.5089e-06,7.20534e-06,6.91464e-06,6.6267e-06,6.36179e-06,6.10886e-06,5.85982e-06,5.62318e-06,5.39837e-06,5.17878e-06,4.97079e-06,4.76865e-06,4.57759e-06,4.39258e-06,4.21794e-06,4.04561e-06,3.88342e-06,3.72749e-06,3.57784e-06,3.4318e-06,3.29477e-06,3.16152e-06,3.03243e-06,2.91156e-06,2.79469e-06,2.68038e-06,2.57356e-06,2.46944e-06,2.36963e-06
2.49e-08,2.4069,2.06066,1.70086,1.17092,0.66598,0.335028,0.158973,0.0744357,0.0356611,0.0179917,0.00974924,0.00572564,0.00364132,0.00248826,0.00180717,0.00137961,0.00109631,0.000899673,0.000757731,0.000651828,0.000570582,0.000506763,0.000455609,0.000413887,0.00037934,0.000350348,0.00032573,0.000304607,0.000286308,0.000270323,0.00025625,0.000243773,0.00023264,0.000222645,0.000213627,0.000205447,0.000197993,0.000191172,0.000179124,0.000168807,0.000159861,0.000152018,0.000145074,0.000138874,0.000133295,0.000125887,0.000119416,0.000110237,0.000105489,9.9855e-05,9.48755e-05,9.14972e-05,8.64328e-05,8.28097e-05,7.95069e-05,7.57626e-05,7.23811e-05,6.93094e-05,6.6503e-05,6.27526e-05,6.06232e-05,5.79993e-05,5.55931e-05,5.33785e-05,5.08467e-05,4.89879e-05,4.6847e-05,4.52646e-05,4.34309e-05,4.14173e-05,3.98766e-05,3.81727e-05,3.66084e-05,3.51673e-05,3.38353e-05,3.24035e-05,3.10879e-05,2.9875e-05,2.85998e-05,2.74289e-05,2.63502e-05,2.53531e-05,2.43179e-05,2.32625e-05,2.2388e-05,2.14904e-05,2.05827e-05,1.97485e-05,1.89793e-05,1.82057e-05,1.74358e-05,1.67284e-05,1.60762e-05,1.54283e-05,1.47898e-05,1.4202e-05,1.36244e-05,1.30919e-05,1.25406e-05,1.20338e-05,1.15664e-05,1.10879e-05,1.06474e-05,1.0221e-05,9.79154e-06,9.41323e-06,9.03252e-06,8.66738e-06,8.31768e-06,7.97132e-06,7.65266e-06,7.34841e-06,7.04883e-06,6.76418e-06,6.49375e-06,6.2296e-06,5.97942e-06,5.73625e-06,5.50643e-06,5.28387e-06,5.0738e-06,4.8665e-06,4.6714e-06,4.48383e-06,4.30382e-06,4.12814e-06,3.96331e-06,3.80302e-06,3.64774e-06,3.50234e-06,3.36176e-06,3.22425e-06,3.09576e-06,2.97051e-06,2.85046e-06
2.99e-08,3.0976,2.70107,2.21651,1.48742,0.826392,0.409104,0.192416,0.0897095,0.0428944,0.021622,0.0117118,0.00687694,0.00437311,0.00298819,0.00217022,0.00165673,0.0013165,0.00108037,0.000909913,0.000782737,0.000685172,0.000608534,0.000547107,0.000497007,0.00045552,0.000420705,0.000391144,0.000365778,0.000343805,0.000324609,0.000307709,0.000292727,0.000279357,0.000267357,0.000256528,0.000246704,0.000237754,0.000229562,0.000215094,0.000202706,0.000191963,0.000182545,0.000174207,0.000166762,0.000160063,0.000151167,0.000143396,0.000132374,0.000126672,0.000119907,0.000113927,0.000109871,0.000103789,9.94389e-05,9.54727e-05,9.09765e-05,8.69164e-05,8.32274e-05,7.98578e-05,7.53537e-05,7.27967e-05,6.96459e-05,6.67565e-05,6.40973e-05,6.1057e-05,5.88249e-05,5.62542e-05,5.4354e-05,5.21521e-05,4.97341e-05,4.78841e-05,4.5838e-05,4.39596e-05,4.22291e-05,4.06296e-05,3.89103e-05,3.73305e-05,3.58741e-05,3.43428e-05,3.29368e-05,3.16415e-05,3.04442e-05,2.92011e-05,2.79337e-05,2.68837e-05,2.58058e-05,2.47158e-05,2.37141e-05,2.27904e-05,2.18615e-05,2.0937e-05,2.00876e-05,1.93043e-05,1.85264e-05,1.77596e-05,1.70538e-05,1.63602e-05,1.57209e-05,1.50588e-05,1.44503e-05,1.3889e-05,1.33144e-05,1.27854e-05,1.22734e-05,1.17577e-05,1.13035e-05,1.08463e-05,1.04078e-05,9.98792e-06,9.57201e-06,9.18936e-06,8.82401e-06,8.46428e-06,8.12247e-06,7.79773e-06,7.48054e-06,7.18012e-06,6.88812e-06,6.61215e-06,6.3449e-06,6.09265e-06,5.84373e-06,5.60945e-06,5.38421e-06,5.16805e-06,4.9571e-06,4.75917e-06,4.56669e-06,4.38023e-06,4.20564e-06,4.03682e-06,3.8717e-06,3.7174e-06,3.56701e-06,3.42284e-06
3.58e-08,4.04785,3.67578,2.9557,1.90834,1.03006,0.499874,0.232577,0.107878,0.0514612,0.0259134,0.0140296,0.00823618,0.0052369,0.00357822,0.00259865,0.00198375,0.00157635,0.0012936,0.0010895,0.00093722,0.000820397,0.000728632,0.00065508,0.000595091,0.000545416,0.000503731,0.000468335,0.000437962,0.000411652,0.000388668,0.000368433,0.000350494,0.000334486,0.000320117,0.000307151,0.000295389,0.000284672,0.000274864,0.000257541,0.000242707,0.000229845,0.000218568,0.000208585,0.00019967,0.00019165,0.000180998,0.000171693,0.000158496,0.00015167,0.000143569,0.00013641,0.000131553,0.000124271,0.000119062,0.000114313,0.000108929,0.000104068,9.96514e-05,9.56164e-05,9.02241e-05,8.71624e-05,8.33898e-05,7.99302e-05,7.67463e-05,7.31061e-05,7.04335e-05,6.73555e-05,6.50802e-05,6.24438e-05,5.95487e-05,5.73335e-05,5.48837e-05,5.26346e-05,5.05626e-05,4.86475e-05,4.65889e-05,4.46974e-05,4.29535e-05,4.112e-05,3.94366e-05,3.78856e-05,3.6452e-05,3.49636e-05,3.34462e-05,3.21889e-05,3.08983e-05,2.95932e-05,2.83938e-05,2.72879e-05,2.61757e-05,2.50688e-05,2.40517e-05,2.31139e-05,2.21824e-05,2.12643e-05,2.04192e-05,1.95888e-05,1.88232e-05,1.80305e-05,1.73019e-05,1.66298e-05,1.59418e-05,1.53085e-05,1.46955e-05,1.4078e-05,1.35341e-05,1.29867e-05,1.24617e-05,1.19589e-05,1.1461e-05,1.10028e-05,1.05653e-05,1.01346e-05,9.72536e-06,9.33654e-06,8.95675e-06,8.59705e-06,8.24743e-06,7.917e-06,7.59701e-06,7.29498e-06,6.99693e-06,6.71642e-06,6.44674e-06,6.18792e-06,5.93533e-06,5.69834e-06,5.46789e-06,5.24462e-06,5.03558e-06,4.83345e-06,4.63574e-06,4.451e-06,4.27093e-06,4.09831e-06
4.3e-08,5.42892,5.43776,4.06717,2.49074,1.30136,0.615982,0.28265,0.130266,0.0619626,0.0311615,0.0168613,0.0098959,0.00629141,0.00429846,0.00312159,0.0023829,0.00189351,0.00155384,0.00130867,0.00112575,0.000985426,0.000875199,0.00078685,0.000714793,0.000655125,0.000605054,0.000562537,0.000526054,0.000494453,0.000466845,0.00044254,0.000420992,0.000401763,0.000384506,0.00036893,0.000354803,0.00034193,0.000330149,0.000309341,0.000291525,0.000276075,0.000262529,0.000250538,0.000239831,0.000230196,0.000217402,0.000206227,0.000190375,0.000182175,0.000172446,0.000163846,0.000158012,0.000149266,0.000143009,0.000137305,0.000130838,0.000124999,0.000119694,0.000114848,0.000108371,0.000104694,0.000100162,9.60067e-05,9.21824e-05,8.781e-05,8.45998e-05,8.09028e-05,7.81699e-05,7.50032e-05,7.15258e-05,6.88651e-05,6.59226e-05,6.3221e-05,6.07324e-05,5.84321e-05,5.59594e-05,5.36874e-05,5.15928e-05,4.93905e-05,4.73685e-05,4.55056e-05,4.37837e-05,4.19959e-05,4.01733e-05,3.86631e-05,3.7113e-05,3.55453e-05,3.41047e-05,3.27764e-05,3.14404e-05,3.01109e-05,2.88892e-05,2.77628e-05,2.6644e-05,2.55413e-05,2.45262e-05,2.35287e-05,2.26092e-05,2.1657e-05,2.07818e-05,1.99746e-05,1.91482e-05,1.83875e-05,1.76512e-05,1.69095e-05,1.62562e-05,1.55988e-05,1.49682e-05,1.43643e-05,1.37661e-05,1.32158e-05,1.26904e-05,1.2173e-05,1.16814e-05,1.12144e-05,1.07582e-05,1.03262e-05,9.90625e-06,9.50935e-06,9.12501e-06,8.76223e-06,8.40423e-06,8.0673e-06,7.74338e-06,7.4325e-06,7.12911e-06,6.84446e-06,6.56765e-06,6.29948e-06,6.04839e-06,5.80561e-06,5.56813e-06,5.34623e-06,5.12994e-06,4.92261e-06
