,0.33452,0.35496,0.3754,0.39584,0.41628,0.43672,0.45716,0.4776,0.49804,0.51848,0.53892,0.55936,0.5798,0.60024,0.62068,0.64112,0.66156,0.69018,0.71879,0.74741,0.77602,0.80464,0.83326,0.86187,0.89049,0.94772,0.97634,1.00495,1.03357,1.06218,1.11942,1.14803,1.20526,1.23388,1.29111,1.31973,1.37696,1.43419,1.46281,1.52004,1.57727,1.6345,1.69174,1.74897,1.8062,1.86343,1.94928,2.00651,2.09236,2.14959,2.23544,2.32129,2.37852,2.46437,2.55022,2.66468,2.75053,2.83638,2.95084,3.03669,3.15115,3.26562,3.38008,3.49454,3.60901,3.75209,3.86655,4.00963,4.15271,4.29579,4.43887,4.61057,4.75365,4.92534,5.09704,5.29735,5.46905,5.66936,5.86967,6.06998,6.2703,6.49922,6.72815,6.95708,7.21462,7.47217,7.72971,7.98726,8.27342,8.55958,8.87435,9.18913,9.5039,9.81868,10.1907,10.5341,10.9061,11.2781,11.6787,12.0793,12.5086,12.9378,13.3957,13.8821,14.3686,14.8551,15.3988,15.9139,16.4862,17.0585,17.6595,18.289,18.9186,19.5767,20.2635,20.9789,21.7229,22.467,23.2682,24.0694,24.9279
1e-08,12.1769,13.999,13.4576,11.4113,8.16954,2.25136,0.468497,0.14499,0.0529925,0.0217325,0.0101022,0.00526705,0.00303987,0.00191104,0.00129135,0.00092489,0.000692044,0.0004929,0.000372732,0.000299073,0.000245958,0.000208353,0.000180755,0.000159882,0.000143684,0.000119285,0.000110851,0.000103808,9.78762e-05,9.27947e-05,8.38477e-05,8.05064e-05,7.43101e-05,7.19585e-05,6.73877e-05,6.5636e-05,6.2096e-05,5.90608e-05,5.78897e-05,5.53953e-05,5.31861e-05,5.1204e-05,4.94207e-05,4.77988e-05,4.63094e-05,4.49417e-05,4.29609e-05,4.18323e-05,4.01674e-05,3.92124e-05,3.77881e-05,3.64803e-05,3.57205e-05,3.45736e-05,3.35089e-05,3.21581e-05,3.12529e-05,3.04031e-05,2.93115e-05,2.85746e-05,2.76202e-05,2.67322e-05,2.59051e-05,2.51316e-05,2.44056e-05,2.35417e-05,2.291e-05,2.21532e-05,2.14477e-05,2.07883e-05,2.01702e-05,1.94677e-05,1.89283e-05,1.8312e-05,1.77363e-05,1.71042e-05,1.66039e-05,1.60515e-05,1.5536e-05,1.50536e-05,1.46013e-05,1.41139e-05,1.36589e-05,1.32331e-05,1.27829e-05,1.23632e-05,1.19708e-05,1.16032e-05,1.1219e-05,1.08601e-05,1.049e-05,1.01448e-05,9.82211e-06,9.51967e-06,9.18385e-06,8.89536e-06,8.60217e-06,8.32804e-06,8.05132e-06,7.7927e-06,7.53318e-06,7.29059e-06,7.04834e-06,6.80778e-06,6.58331e-06,6.37342e-06,6.1537e-06,5.95948e-06,5.75721e-06,5.56841e-06,5.38297e-06,5.20147e-06,5.03196e-06,4.8661e-06,4.70429e-06,4.54682e-06,4.39382e-06,4.25087e-06,4.10687e-06,3.97238e-06,3.83769e-06
1.2e-08,12.7563,14.4479,13.9002,11.9256,8.89229,3.2968,0.578865,0.175456,0.0637856,0.0261123,0.01213,0.00632248,0.00364852,0.00229351,0.00154976,0.00110994,0.00083049,0.000591499,0.00044729,0.000358894,0.000295154,0.000250026,0.000216909,0.000191861,0.000172423,0.000143142,0.00013302,0.000124571,0.000117452,0.000111354,0.000100618,9.66079e-05,8.91723e-05,8.63505e-05,8.08651e-05,7.87632e-05,7.45154e-05,7.08734e-05,6.94681e-05,6.64748e-05,6.38238e-05,6.14448e-05,5.93052e-05,5.73587e-05,5.55715e-05,5.39303e-05,5.15532e-05,5.0199e-05,4.82009e-05,4.70549e-05,4.53458e-05,4.37764e-05,4.28646e-05,4.14884e-05,4.02108e-05,3.85898e-05,3.75036e-05,3.64838e-05,3.51737e-05,3.42898e-05,3.31442e-05,3.20789e-05,3.10863e-05,3.01579e-05,2.92868e-05,2.82502e-05,2.74919e-05,2.65838e-05,2.57374e-05,2.4946e-05,2.42042e-05,2.33613e-05,2.27139e-05,2.19744e-05,2.12836e-05,2.05251e-05,1.99248e-05,1.92619e-05,1.86433e-05,1.80643e-05,1.75215e-05,1.69368e-05,1.63907e-05,1.58798e-05,1.53395e-05,1.48359e-05,1.4365e-05,1.39238e-05,1.34629e-05,1.30322e-05,1.2588e-05,1.21739e-05,1.17866e-05,1.14237e-05,1.10207e-05,1.06745e-05,1.03227e-05,9.99368e-06,9.66165e-06,9.35125e-06,9.03983e-06,8.74878e-06,8.45803e-06,8.16935e-06,7.90003e-06,7.64809e-06,7.38446e-06,7.15135e-06,6.90868e-06,6.68207e-06,6.45958e-06,6.2418e-06,6.03837e-06,5.83934e-06,5.64519e-06,5.45618e-06,5.27259e-06,5.10104e-06,4.92825e-06,4.76689e-06,4.60525e-06
1.44e-08,13.3056,14.8777,14.3232,12.4116,9.55589,4.50736,0.721288,0.212723,0.0768258,0.0313827,0.0145665,0.00758989,0.00437922,0.00275261,0.00185989,0.00133202,0.000996642,0.000709827,0.000536763,0.000430683,0.00035419,0.000300036,0.000260294,0.000230235,0.000206909,0.000171772,0.000159626,0.000149486,0.000140943,0.000133626,0.000120742,0.000115931,0.000107007,0.000103621,9.70389e-05,9.45164e-05,8.94186e-05,8.50482e-05,8.33618e-05,7.97699e-05,7.65888e-05,7.37341e-05,7.11665e-05,6.88308e-05,6.66858e-05,6.47164e-05,6.18642e-05,6.02389e-05,5.78414e-05,5.64663e-05,5.44151e-05,5.25322e-05,5.14377e-05,4.97862e-05,4.82532e-05,4.63082e-05,4.50047e-05,4.37807e-05,4.22086e-05,4.11478e-05,3.97734e-05,3.84947e-05,3.73038e-05,3.61898e-05,3.51443e-05,3.39003e-05,3.29906e-05,3.19008e-05,3.0885e-05,2.99353e-05,2.90451e-05,2.80338e-05,2.72569e-05,2.63695e-05,2.55404e-05,2.46302e-05,2.39097e-05,2.31143e-05,2.23721e-05,2.16774e-05,2.10261e-05,2.03242e-05,1.9669e-05,1.90558e-05,1.84075e-05,1.78031e-05,1.7238e-05,1.67087e-05,1.61555e-05,1.56387e-05,1.51057e-05,1.46087e-05,1.4144e-05,1.37084e-05,1.32249e-05,1.28094e-05,1.23872e-05,1.19924e-05,1.1594e-05,1.12216e-05,1.08478e-05,1.04985e-05,1.01497e-05,9.80326e-06,9.48006e-06,9.17777e-06,8.86135e-06,8.58168e-06,8.29044e-06,8.01857e-06,7.75156e-06,7.49018e-06,7.24605e-06,7.00724e-06,6.77425e-06,6.54745e-06,6.32714e-06,6.12129e-06,5.91393e-06,5.72031e-06,5.52632e-06
1.728e-08,13.8277,15.29,14.7282,12.8727,10.1694,5.60329,0.909606,0.258513,0.0926033,0.0377289,0.0174951,0.00911208,0.00525649,0.00330372,0.00223213,0.00159857,0.00119605,0.000851831,0.00064414,0.000516833,0.000425039,0.000360049,0.000312357,0.000276285,0.000248293,0.000206129,0.000191553,0.000179384,0.000169132,0.000160352,0.000144891,0.000139117,0.00012841,0.000124346,0.000116447,0.000113421,0.000107303,0.000102058,0.000100035,9.57241e-05,9.1907e-05,8.84813e-05,8.53998e-05,8.25973e-05,8.00233e-05,7.766e-05,7.42373e-05,7.22871e-05,6.94101e-05,6.77598e-05,6.52984e-05,6.30385e-05,6.17257e-05,5.9744e-05,5.79042e-05,5.557e-05,5.40058e-05,5.25372e-05,5.06506e-05,4.93775e-05,4.77283e-05,4.61937e-05,4.47646e-05,4.34281e-05,4.21733e-05,4.06806e-05,3.95889e-05,3.82812e-05,3.70621e-05,3.59226e-05,3.48545e-05,3.36407e-05,3.27084e-05,3.16435e-05,3.06487e-05,2.95565e-05,2.86918e-05,2.77373e-05,2.68466e-05,2.6013e-05,2.52313e-05,2.43891e-05,2.36029e-05,2.28671e-05,2.20891e-05,2.13638e-05,2.06858e-05,2.00505e-05,1.93867e-05,1.87664e-05,1.8127e-05,1.75305e-05,1.69728e-05,1.64502e-05,1.58699e-05,1.53714e-05,1.48647e-05,1.4391e-05,1.39129e-05,1.34659e-05,1.30174e-05,1.25983e-05,1.21797e-05,1.1764e-05,1.13761e-05,1.10134e-05,1.06337e-05,1.02981e-05,9.94856e-06,9.62227e-06,9.30187e-06,8.98825e-06,8.69531e-06,8.40874e-06,8.12912e-06,7.85698e-06,7.59259e-06,7.34555e-06,7.09676e-06,6.86438e-06,6.6316e-06
2.0736e-08,14.3252,15.6862,15.1167,13.3112,10.7403,6.56893,1.16813,0.315094,0.111727,0.0453754,0.021016,0.0109406,0.00630984,0.00396528,0.00267893,0.00191847,0.00143536,0.00102225,0.000773001,0.000620221,0.000510059,0.000432069,0.000374835,0.000331547,0.000297955,0.000247357,0.000229865,0.000215263,0.000202961,0.000192424,0.00017387,0.000166941,0.000154092,0.000149216,0.000139738,0.000136105,0.000128765,0.000122471,0.000120042,0.00011487,0.000110289,0.000106178,0.000102481,9.91171e-05,9.60286e-05,9.31929e-05,8.90851e-05,8.67452e-05,8.32925e-05,8.13124e-05,7.83587e-05,7.5647e-05,7.40715e-05,7.16928e-05,6.94851e-05,6.66842e-05,6.48072e-05,6.30448e-05,6.07813e-05,5.92533e-05,5.7274e-05,5.54328e-05,5.37178e-05,5.21138e-05,5.06083e-05,4.88169e-05,4.7507e-05,4.59377e-05,4.44749e-05,4.31073e-05,4.18256e-05,4.03689e-05,3.92504e-05,3.79724e-05,3.67787e-05,3.5468e-05,3.44304e-05,3.32851e-05,3.22161e-05,3.12157e-05,3.02778e-05,2.92672e-05,2.83236e-05,2.74406e-05,2.65072e-05,2.56367e-05,2.48231e-05,2.40607e-05,2.32642e-05,2.25199e-05,2.17525e-05,2.10367e-05,2.03675e-05,1.97404e-05,1.9044e-05,1.84458e-05,1.78378e-05,1.72693e-05,1.66955e-05,1.61592e-05,1.5621e-05,1.5118e-05,1.46156e-05,1.41169e-05,1.36515e-05,1.32161e-05,1.27605e-05,1.23577e-05,1.19383e-05,1.15468e-05,1.11623e-05,1.0786e-05,1.04344e-05,1.00905e-05,9.755e-06,9.4284e-06,9.11114e-06,8.81473e-06,8.51616e-06,8.23731e-06,7.95797e-06
2.4883e-08,14.8005,16.0676,15.4902,13.7296,11.2745,7.42694,1.54583,0.385523,0.134956,0.0545963,0.0252509,0.0131373,0.0075747,0.00475948,0.00321525,0.00230244,0.00172258,0.00122678,0.000927642,0.000744289,0.000612085,0.000518491,0.000449808,0.000397861,0.000357549,0.000296829,0.000275839,0.000258316,0.000243553,0.000230909,0.000208645,0.00020033,0.000184911,0.000179059,0.000167685,0.000163326,0.000154517,0.000146965,0.000144051,0.000137844,0.000132346,0.000127414,0.000122977,0.000118941,0.000115235,0.000111831,0.000106902,0.000104094,9.99508e-05,9.75744e-05,9.40303e-05,9.07762e-05,8.88857e-05,8.60314e-05,8.33822e-05,8.00211e-05,7.77685e-05,7.56539e-05,7.29373e-05,7.1104e-05,6.87289e-05,6.65195e-05,6.44613e-05,6.25364e-05,6.073e-05,5.85802e-05,5.70083e-05,5.51252e-05,5.33696e-05,5.17286e-05,5.01906e-05,4.84428e-05,4.71004e-05,4.55669e-05,4.41343e-05,4.25614e-05,4.13163e-05,3.99419e-05,3.86592e-05,3.74587e-05,3.63332e-05,3.51204e-05,3.39882e-05,3.29287e-05,3.18085e-05,3.0764e-05,2.97877e-05,2.88728e-05,2.7917e-05,2.70238e-05,2.61029e-05,2.5244e-05,2.44409e-05,2.36884e-05,2.28527e-05,2.21349e-05,2.14053e-05,2.07232e-05,2.00346e-05,1.9391e-05,1.87452e-05,1.81416e-05,1.75388e-05,1.69403e-05,1.63817e-05,1.58593e-05,1.53126e-05,1.48292e-05,1.4326e-05,1.38562e-05,1.33948e-05,1.29431e-05,1.25213e-05,1.21086e-05,1.1706e-05,1.13141e-05,1.09334e-05,1.05777e-05,1.02194e-05,9.88475e-06,9.54958e-06
2.986e-08,15.2554,16.4353,15.8498,14.1297,11.7768,8.19831,2.1634,0.474063,0.163251,0.0657287,0.0303473,0.0157776,0.00909402,0.00571317,0.00385914,0.00276336,0.00206736,0.00147227,0.00111325,0.000893202,0.00073454,0.000622216,0.00053979,0.000477449,0.000429072,0.000356206,0.000331016,0.000309988,0.000292272,0.000277097,0.000250379,0.000240402,0.000221898,0.000214876,0.000201227,0.000195996,0.000185425,0.000176362,0.000172864,0.000165416,0.000158819,0.0001529,0.000147575,0.000142732,0.000138284,0.0001342,0.000128285,0.000124915,0.000119943,0.000117092,0.000112839,0.000108934,0.000106665,0.00010324,0.000100061,9.60273e-05,9.3324e-05,9.07867e-05,8.75267e-05,8.53265e-05,8.24762e-05,7.9825e-05,7.73552e-05,7.50453e-05,7.28775e-05,7.02976e-05,6.84114e-05,6.61516e-05,6.40449e-05,6.20756e-05,6.023e-05,5.81325e-05,5.65216e-05,5.46813e-05,5.29623e-05,5.10748e-05,4.95806e-05,4.79313e-05,4.63922e-05,4.49515e-05,4.36009e-05,4.21455e-05,4.07867e-05,3.95154e-05,3.8171e-05,3.69176e-05,3.5746e-05,3.46481e-05,3.35011e-05,3.24293e-05,3.13242e-05,3.02935e-05,2.93298e-05,2.84267e-05,2.74239e-05,2.65624e-05,2.56869e-05,2.48683e-05,2.4042e-05,2.32697e-05,2.24948e-05,2.17704e-05,2.10469e-05,2.03287e-05,1.96585e-05,1.90316e-05,1.83754e-05,1.77955e-05,1.71916e-05,1.66278e-05,1.60741e-05,1.55321e-05,1.50259e-05,1.45307e-05,1.40475e-05,1.35772e-05,1.31203e-05,1.26935e-05,1.22635e-05,1.1862e-05,1.14598e-05
3.5832e-08,15.6918,16.7902,16.1966,14.5131,12.2508,8.89931,3.23847,0.586822,0.197827,0.0791835,0.0364833,0.0189514,0.010919,0.00685827,0.00463209,0.00331664,0.00248116,0.0017669,0.001336,0.0010719,0.000881489,0.000746687,0.000647768,0.000572953,0.000514898,0.000427454,0.000397225,0.000371991,0.00035073,0.000332521,0.000300459,0.000288486,0.000266281,0.000257854,0.000241474,0.000235198,0.000222512,0.000211636,0.000207439,0.000198501,0.000190585,0.000183482,0.000177092,0.00017128,0.000165943,0.000161042,0.000153944,0.0001499,0.000143934,0.000140512,0.000135408,0.000130722,0.000127999,0.000123889,0.000120074,0.000115234,0.00011199,0.000108945,0.000105033,0.000102393,9.89727e-05,9.5791e-05,9.2827e-05,9.00552e-05,8.74539e-05,8.4358e-05,8.20944e-05,7.93827e-05,7.68547e-05,7.44916e-05,7.22767e-05,6.97596e-05,6.78266e-05,6.56183e-05,6.35553e-05,6.12904e-05,5.94974e-05,5.75182e-05,5.5671e-05,5.39424e-05,5.23215e-05,5.0575e-05,4.89446e-05,4.74189e-05,4.58056e-05,4.43015e-05,4.28955e-05,4.15781e-05,4.02017e-05,3.89155e-05,3.75894e-05,3.63525e-05,3.51961e-05,3.41123e-05,3.29089e-05,3.18752e-05,3.08246e-05,2.98423e-05,2.88507e-05,2.7924e-05,2.6994e-05,2.61248e-05,2.52566e-05,2.43947e-05,2.35904e-05,2.28381e-05,2.20508e-05,2.13548e-05,2.06301e-05,1.99535e-05,1.92891e-05,1.86387e-05,1.80312e-05,1.7437e-05,1.68572e-05,1.62928e-05,1.57446e-05,1.52323e-05,1.47164e-05,1.42345e-05,1.37518e-05
4.2998e-08,16.111,17.1335,16.5316,14.8812,12.6998,9.54235,4.48822,0.733106,0.240258,0.0954703,0.0438759,0.0227678,0.0131115,0.00823339,0.00556011,0.00398078,0.00297785,0.00212051,0.00160333,0.00128636,0.00105783,0.000896056,0.000777342,0.000687559,0.000617888,0.000512951,0.000476676,0.000446393,0.00042088,0.000399028,0.000360553,0.000346184,0.000319539,0.000309426,0.000289771,0.000282238,0.000267016,0.000253964,0.000248928,0.000238202,0.000228702,0.000220179,0.00021251,0.000205536,0.000199131,0.000193251,0.000184733,0.00017988,0.000172721,0.000168614,0.00016249,0.000156866,0.000153599,0.000148667,0.000144089,0.000138281,0.000134388,0.000130734,0.00012604,0.000122872,0.000118767,0.000114949,0.000111393,0.000108067,0.000104945,0.00010123,9.85136e-05,9.52594e-05,9.22258e-05,8.93899e-05,8.67322e-05,8.37118e-05,8.13921e-05,7.87421e-05,7.62667e-05,7.35487e-05,7.13971e-05,6.9022e-05,6.68054e-05,6.47309e-05,6.2786e-05,6.06902e-05,5.87336e-05,5.69028e-05,5.49669e-05,5.3162e-05,5.14748e-05,4.98939e-05,4.82422e-05,4.66988e-05,4.51073e-05,4.36231e-05,4.22354e-05,4.09348e-05,3.94908e-05,3.82503e-05,3.69896e-05,3.58108e-05,3.46209e-05,3.35088e-05,3.23928e-05,3.13498e-05,3.0308e-05,2.92737e-05,2.83086e-05,2.74059e-05,2.6461e-05,2.56258e-05,2.47562e-05,2.39442e-05,2.3147e-05,2.23665e-05,2.16375e-05,2.09244e-05,2.02287e-05,1.95514e-05,1.88935e-05,1.82788e-05,1.76597e-05,1.70814e-05,1.65022e-05
