,0.33452,0.35496,0.39584,0.41628,0.43672,0.45716,0.49804,0.51848,0.53892,0.55936,0.5798,0.62068,0.64112,0.66156,0.69018,0.71879,0.74741,0.77602,0.80464,0.83326,0.86187,0.89049,0.94772,0.97634,1.00495,1.03357,1.06218,1.11942,1.14803,1.20526,1.23388,1.29111,1.31973,1.37696,1.43419,1.46281,1.52004,1.57727,1.6345,1.69174,1.74897,1.8062,1.86343,1.94928,2.00651,2.09236,2.14959,2.23544,2.32129,2.37852,2.46437,2.55022,2.66468,2.75053,2.83638,2.95084,3.03669,3.15115,3.26562,3.38008,3.49454,3.60901,3.75209,3.86655,4.00963,4.15271,4.29579,4.43887,4.61057,4.75365,4.92534,5.09704,5.29735,5.46905,5.66936,5.86967,6.06998,6.2703,6.49922,6.72815,6.95708,7.21462,7.47217,7.72971,7.98726,8.27342,8.55958,8.87435,9.18913,9.5039,9.81868,10.1907,10.5341,10.9061,11.2781,11.6787,12.0793,12.5086,12.9378,13.3957,13.8821,14.3686,14.8551,15.3988,15.9139,16.4862,17.0585,17.6595,18.289,18.9186,19.5767,20.2635,20.9789,21.7229,22.467,23.2682,24.0694,24.9279
1e-08,17.325,18.6843,15.5477,12.1644,4.24279,0.716441,0.0752747,0.0305067,0.0140246,0.00723853,0.00413574,0.0017115,0.00121474,0.000901221,0.000635646,0.000476345,0.000374247,0.000306637,0.000257716,0.000221904,0.000194872,0.00017393,0.000143308,0.000132354,0.000123214,0.000115501,0.000108898,9.78241e-05,9.34547e-05,8.58023e-05,8.27006e-05,7.70705e-05,7.47432e-05,7.03962e-05,6.66676e-05,6.50933e-05,6.20433e-05,5.93432e-05,5.69263e-05,5.47504e-05,5.27741e-05,5.09655e-05,4.93049e-05,4.69865e-05,4.56178e-05,4.36781e-05,4.25226e-05,4.08687e-05,3.93537e-05,3.84397e-05,3.71163e-05,3.589e-05,3.43648e-05,3.33255e-05,3.23519e-05,3.11267e-05,3.02846e-05,2.92173e-05,2.82265e-05,2.73044e-05,2.64434e-05,2.56371e-05,2.46897e-05,2.39896e-05,2.31622e-05,2.23918e-05,2.16726e-05,2.09995e-05,2.02414e-05,1.96553e-05,1.89918e-05,1.83727e-05,1.76974e-05,1.71603e-05,1.65715e-05,1.60224e-05,1.55091e-05,1.50283e-05,1.45127e-05,1.40319e-05,1.35825e-05,1.31091e-05,1.26679e-05,1.22561e-05,1.18703e-05,1.14687e-05,1.10936e-05,1.07081e-05,1.03487e-05,1.00128e-05,9.69824e-06,9.35038e-06,9.0512e-06,8.74781e-06,8.46426e-06,8.17865e-06,7.91176e-06,7.6444e-06,7.39463e-06,7.14553e-06,6.89852e-06,6.6681e-06,6.4527e-06,6.22768e-06,6.02871e-06,5.82187e-06,5.6288e-06,5.43939e-06,5.25416e-06,5.0812e-06,4.91215e-06,4.74729e-06,4.58697e-06,4.43129e-06,4.28589e-06,4.13959e-06,4.00296e-06,3.86624e-06
1.2e-08,17.8686,19.0803,16.0129,12.8698,6.39925,0.892091,0.0906567,0.0366629,0.0168414,0.00868947,0.00496396,0.002054,0.00145779,0.00108152,0.000762803,0.000571629,0.000449106,0.00036797,0.000309263,0.000266288,0.000233849,0.000208717,0.000171971,0.000158826,0.000147859,0.000138601,0.000130679,0.00011739,0.000112146,0.000102964,9.92414e-05,9.24849e-05,8.96922e-05,8.44755e-05,8.00015e-05,7.81124e-05,7.44522e-05,7.1212e-05,6.8312e-05,6.57007e-05,6.33294e-05,6.11588e-05,5.9166e-05,5.63842e-05,5.47413e-05,5.2414e-05,5.10272e-05,4.90428e-05,4.72245e-05,4.61278e-05,4.45395e-05,4.30682e-05,4.1238e-05,3.99908e-05,3.88225e-05,3.73523e-05,3.63415e-05,3.50608e-05,3.38719e-05,3.27655e-05,3.17321e-05,3.07647e-05,2.96276e-05,2.87877e-05,2.77947e-05,2.68703e-05,2.60073e-05,2.51995e-05,2.42898e-05,2.35864e-05,2.27903e-05,2.20473e-05,2.12369e-05,2.05925e-05,1.98858e-05,1.92269e-05,1.8611e-05,1.80339e-05,1.74154e-05,1.68385e-05,1.6299e-05,1.57309e-05,1.52017e-05,1.47074e-05,1.42445e-05,1.37625e-05,1.33124e-05,1.28498e-05,1.24184e-05,1.20154e-05,1.16379e-05,1.12205e-05,1.08615e-05,1.04974e-05,1.01572e-05,9.81442e-06,9.49413e-06,9.17329e-06,8.8736e-06,8.57465e-06,8.27823e-06,8.00176e-06,7.74326e-06,7.47322e-06,7.23446e-06,6.98622e-06,6.75459e-06,6.52729e-06,6.30502e-06,6.09744e-06,5.89456e-06,5.69677e-06,5.50435e-06,5.31759e-06,5.14309e-06,4.96752e-06,4.8036e-06,4.63949e-06
1.44e-08,18.3772,19.4563,16.4477,13.5026,8.09528,1.1235,0.109264,0.0440746,0.0202268,0.010432,0.0059583,0.00246507,0.00174949,0.0012979,0.000915403,0.000685978,0.000538941,0.000441573,0.000371121,0.00031955,0.000280623,0.000250463,0.000206367,0.000190592,0.000177431,0.000166323,0.000156814,0.000140868,0.000134576,0.000123557,0.00011909,0.000110983,0.000107631,0.000101371,9.60023e-05,9.37352e-05,8.93434e-05,8.5455e-05,8.19747e-05,7.8841e-05,7.59951e-05,7.3391e-05,7.09998e-05,6.76611e-05,6.569e-05,6.28968e-05,6.12332e-05,5.88513e-05,5.66695e-05,5.53534e-05,5.3448e-05,5.16819e-05,4.94856e-05,4.79892e-05,4.65871e-05,4.48227e-05,4.361e-05,4.20734e-05,4.06463e-05,3.93186e-05,3.80786e-05,3.69175e-05,3.55533e-05,3.45453e-05,3.33539e-05,3.22445e-05,3.12088e-05,3.02395e-05,2.91478e-05,2.83037e-05,2.73484e-05,2.64568e-05,2.54844e-05,2.4711e-05,2.38631e-05,2.30725e-05,2.23334e-05,2.16409e-05,2.08986e-05,2.02062e-05,1.95589e-05,1.88772e-05,1.8242e-05,1.76488e-05,1.70934e-05,1.65151e-05,1.59751e-05,1.54197e-05,1.49021e-05,1.44185e-05,1.39656e-05,1.34646e-05,1.30338e-05,1.2597e-05,1.21886e-05,1.17773e-05,1.1393e-05,1.1008e-05,1.06483e-05,1.02896e-05,9.93388e-06,9.60214e-06,9.29198e-06,8.96787e-06,8.68139e-06,8.38349e-06,8.10553e-06,7.83279e-06,7.56604e-06,7.317e-06,7.0735e-06,6.83618e-06,6.60525e-06,6.3811e-06,6.17175e-06,5.96104e-06,5.76432e-06,5.56743e-06
1.728e-08,18.8551,19.8141,16.8562,14.0769,9.38462,1.43896,0.131813,0.0530043,0.0242968,0.0125251,0.00715219,0.00295848,0.00209959,0.0015576,0.00109854,0.000823207,0.000646749,0.000529902,0.000445355,0.000383466,0.000336751,0.00030056,0.000247642,0.000228712,0.000212919,0.000199588,0.000188179,0.000169042,0.000161492,0.00014827,0.000142909,0.00013318,0.000129157,0.000121646,0.000115204,0.000112483,0.000107212,0.000102546,9.83702e-05,9.46095e-05,9.1195e-05,8.80692e-05,8.51999e-05,8.11934e-05,7.88284e-05,7.54768e-05,7.348e-05,7.06219e-05,6.8004e-05,6.64247e-05,6.41377e-05,6.20188e-05,5.9383e-05,5.7587e-05,5.59046e-05,5.37877e-05,5.23324e-05,5.04882e-05,4.8776e-05,4.71824e-05,4.56946e-05,4.43013e-05,4.26643e-05,4.14545e-05,4.00247e-05,3.86934e-05,3.74509e-05,3.62875e-05,3.49775e-05,3.39647e-05,3.28181e-05,3.17484e-05,3.05814e-05,2.96535e-05,2.86358e-05,2.7687e-05,2.68e-05,2.59691e-05,2.50784e-05,2.42475e-05,2.34707e-05,2.26527e-05,2.18906e-05,2.11786e-05,2.05122e-05,1.98182e-05,1.91701e-05,1.85037e-05,1.78827e-05,1.73024e-05,1.67588e-05,1.61576e-05,1.56407e-05,1.51164e-05,1.46265e-05,1.41329e-05,1.36717e-05,1.32097e-05,1.27781e-05,1.23476e-05,1.19207e-05,1.15226e-05,1.11504e-05,1.07615e-05,1.04177e-05,1.00603e-05,9.7267e-06,9.39938e-06,9.07932e-06,8.78042e-06,8.48825e-06,8.20344e-06,7.92634e-06,7.65737e-06,7.40613e-06,7.15332e-06,6.91722e-06,6.68096e-06
2.0736e-08,19.3057,20.1555,17.2412,14.6032,10.4264,1.89391,0.159194,0.0637714,0.0291918,0.0150398,0.00858586,0.00355075,0.0025198,0.00186927,0.00131833,0.000987895,0.000776129,0.0006359,0.000534438,0.000460167,0.000404108,0.000360677,0.000297174,0.000274458,0.000255506,0.000239508,0.000225817,0.000202853,0.000193792,0.000177924,0.000171492,0.000159816,0.00015499,0.000145977,0.000138245,0.00013498,0.000128655,0.000123056,0.000118044,0.000113532,0.000109434,0.000105684,0.000102241,9.7433e-05,9.45945e-05,9.05726e-05,8.81766e-05,8.47469e-05,8.16054e-05,7.97098e-05,7.69658e-05,7.44228e-05,7.12602e-05,6.91051e-05,6.7086e-05,6.45456e-05,6.27992e-05,6.05861e-05,5.85315e-05,5.66192e-05,5.48341e-05,5.31618e-05,5.11975e-05,4.97458e-05,4.803e-05,4.64324e-05,4.49412e-05,4.35454e-05,4.19733e-05,4.0758e-05,3.9382e-05,3.80982e-05,3.6698e-05,3.55842e-05,3.43631e-05,3.32245e-05,3.21602e-05,3.11632e-05,3.00942e-05,2.90972e-05,2.8165e-05,2.71834e-05,2.62688e-05,2.54146e-05,2.46148e-05,2.37819e-05,2.30042e-05,2.22046e-05,2.14593e-05,2.07629e-05,2.01107e-05,1.93893e-05,1.87689e-05,1.81398e-05,1.75519e-05,1.69595e-05,1.64061e-05,1.58517e-05,1.53337e-05,1.48171e-05,1.43049e-05,1.38272e-05,1.33806e-05,1.29139e-05,1.25013e-05,1.20724e-05,1.16721e-05,1.12793e-05,1.08952e-05,1.05365e-05,1.0186e-05,9.84416e-06,9.51165e-06,9.1889e-06,8.88741e-06,8.58399e-06,8.30074e-06,8.01717e-06
2.4883e-08,19.732,20.4818,17.6054,15.089,11.3042,2.62359,0.192529,0.0767668,0.0350813,0.0180616,0.0103076,0.0042617,0.00302417,0.00224335,0.00158211,0.00118553,0.000931387,0.0007631,0.000641339,0.000552209,0.000484935,0.000432815,0.000356611,0.00032935,0.000306608,0.00028741,0.00027098,0.000243423,0.000232551,0.000213509,0.00020579,0.00019178,0.000185988,0.000175172,0.000165894,0.000161976,0.000154387,0.000147667,0.000141653,0.000136239,0.000131321,0.00012682,0.000122688,0.000116919,0.000113513,0.000108687,0.000105812,0.000101696,9.7926e-05,9.5652e-05,9.23587e-05,8.9307e-05,8.55122e-05,8.29259e-05,8.05031e-05,7.74543e-05,7.53587e-05,7.27032e-05,7.02376e-05,6.79431e-05,6.58006e-05,6.37943e-05,6.14367e-05,5.96949e-05,5.7636e-05,5.5719e-05,5.39292e-05,5.22542e-05,5.03678e-05,4.89093e-05,4.72584e-05,4.57179e-05,4.40374e-05,4.27011e-05,4.12357e-05,3.98695e-05,3.85923e-05,3.73958e-05,3.61131e-05,3.49166e-05,3.3798e-05,3.262e-05,3.15225e-05,3.04975e-05,2.95378e-05,2.85383e-05,2.76051e-05,2.66455e-05,2.57512e-05,2.49154e-05,2.41328e-05,2.32671e-05,2.25227e-05,2.17677e-05,2.10622e-05,2.03514e-05,1.96873e-05,1.9022e-05,1.84005e-05,1.77806e-05,1.7166e-05,1.65926e-05,1.60566e-05,1.54967e-05,1.50015e-05,1.44869e-05,1.40065e-05,1.35352e-05,1.30743e-05,1.26439e-05,1.22231e-05,1.1813e-05,1.1414e-05,1.10267e-05,1.06649e-05,1.03008e-05,9.96087e-06,9.62062e-06
2.986e-08,20.1365,20.7944,17.9511,15.5403,12.0651,4.06406,0.233251,0.0924729,0.0421727,0.0216943,0.0123759,0.0051153,0.00362967,0.00269239,0.00189873,0.00142276,0.00111774,0.00091577,0.000769643,0.000662678,0.000581943,0.000519396,0.000427945,0.000395232,0.000367939,0.000344902,0.000325185,0.000292115,0.000279068,0.000256217,0.000246954,0.000230141,0.000223191,0.000210211,0.000199077,0.000194376,0.000185268,0.000177205,0.000169988,0.00016349,0.000157589,0.000152188,0.000147229,0.000140306,0.000136219,0.000130427,0.000126977,0.000122038,0.000117514,0.000114785,0.000110833,0.000107171,0.000102617,9.95131e-05,9.66059e-05,9.29475e-05,9.04325e-05,8.72458e-05,8.42869e-05,8.15333e-05,7.89626e-05,7.65547e-05,7.37256e-05,7.16353e-05,6.91646e-05,6.68642e-05,6.47166e-05,6.27065e-05,6.04427e-05,5.86924e-05,5.67114e-05,5.48626e-05,5.28461e-05,5.12423e-05,4.94839e-05,4.78444e-05,4.63116e-05,4.48759e-05,4.33366e-05,4.19007e-05,4.05584e-05,3.91449e-05,3.78278e-05,3.65978e-05,3.5446e-05,3.42467e-05,3.31269e-05,3.19753e-05,3.0902e-05,2.98991e-05,2.89599e-05,2.7921e-05,2.70278e-05,2.61218e-05,2.52752e-05,2.44222e-05,2.36252e-05,2.28269e-05,2.20811e-05,2.13372e-05,2.05996e-05,1.99116e-05,1.92684e-05,1.85964e-05,1.80022e-05,1.73846e-05,1.68082e-05,1.62426e-05,1.56894e-05,1.5173e-05,1.46681e-05,1.41759e-05,1.36971e-05,1.32323e-05,1.27981e-05,1.23612e-05,1.19533e-05,1.1545e-05
3.5832e-08,20.5213,21.0943,18.2799,15.962,12.7383,6.33791,0.283189,0.11148,0.0507152,0.0260622,0.0148608,0.00614008,0.00435647,0.00323136,0.00227871,0.00170744,0.00134137,0.00109898,0.000923609,0.00079524,0.000698351,0.00062329,0.000513544,0.000474286,0.000441534,0.000413888,0.000390228,0.000350543,0.000334886,0.000307464,0.000296348,0.000276173,0.000267832,0.000252256,0.000238896,0.000233253,0.000222324,0.000212648,0.000203987,0.00019619,0.000189108,0.000182627,0.000176677,0.000168369,0.000163465,0.000156514,0.000152374,0.000146447,0.000141018,0.000137743,0.000133001,0.000128606,0.000123141,0.000119417,0.000115928,0.000111538,0.00010852,0.000104696,0.000101145,9.78411e-05,9.47559e-05,9.18666e-05,8.84716e-05,8.59632e-05,8.29982e-05,8.02379e-05,7.76606e-05,7.52486e-05,7.25319e-05,7.04316e-05,6.80544e-05,6.58358e-05,6.34159e-05,6.14915e-05,5.93814e-05,5.74138e-05,5.55746e-05,5.38516e-05,5.20044e-05,5.02815e-05,4.86706e-05,4.69743e-05,4.53938e-05,4.39178e-05,4.25356e-05,4.10965e-05,3.97525e-05,3.83707e-05,3.70828e-05,3.58793e-05,3.47523e-05,3.35055e-05,3.24337e-05,3.13465e-05,3.03305e-05,2.93069e-05,2.83506e-05,2.73925e-05,2.64975e-05,2.56048e-05,2.47197e-05,2.38942e-05,2.31223e-05,2.23159e-05,2.16029e-05,2.08617e-05,2.017e-05,1.94913e-05,1.88275e-05,1.82077e-05,1.76019e-05,1.70112e-05,1.64366e-05,1.58789e-05,1.53579e-05,1.48336e-05,1.43441e-05,1.38541e-05
4.2998e-08,20.8881,21.3826,18.5935,16.3577,13.3426,8.05342,0.344742,0.134523,0.0610142,0.0313165,0.0178467,0.00737051,0.005229,0.00387829,0.0027348,0.00204912,0.00160975,0.00131885,0.00110837,0.000954317,0.000838042,0.000747962,0.000616262,0.00056915,0.000529846,0.00049667,0.000468277,0.000420654,0.000401865,0.000368959,0.00035562,0.000331408,0.0003214,0.000302708,0.000286675,0.000279904,0.000266789,0.000255178,0.000244785,0.000235429,0.000226931,0.000219153,0.000212013,0.000202043,0.000196158,0.000187817,0.000182849,0.000175737,0.000169222,0.000165292,0.000159601,0.000154328,0.00014777,0.000143301,0.000139114,0.000133846,0.000130224,0.000125635,0.000121375,0.00011741,0.000113707,0.00011024,0.000106166,0.000103156,9.95981e-05,9.62855e-05,9.3193e-05,9.02983e-05,8.70385e-05,8.45182e-05,8.16654e-05,7.90031e-05,7.60993e-05,7.37899e-05,7.12577e-05,6.88967e-05,6.66896e-05,6.46221e-05,6.24054e-05,6.03379e-05,5.84049e-05,5.63694e-05,5.44728e-05,5.27013e-05,5.10429e-05,4.93159e-05,4.77032e-05,4.6045e-05,4.44995e-05,4.30553e-05,4.17028e-05,4.02068e-05,3.89206e-05,3.76159e-05,3.63967e-05,3.51683e-05,3.40208e-05,3.28711e-05,3.17971e-05,3.07259e-05,2.96638e-05,2.86731e-05,2.77468e-05,2.67791e-05,2.59235e-05,2.50341e-05,2.4204e-05,2.33896e-05,2.25931e-05,2.18493e-05,2.11223e-05,2.04135e-05,1.9724e-05,1.90547e-05,1.84295e-05,1.78004e-05,1.72129e-05,1.6625e-05
