,0.34166,0.373237,0.409326,0.440903,0.476992,0.508569,0.544658,0.576235,0.612324,0.643901,0.67999,0.713823,0.747656,0.781489,0.815322,0.849155,0.882988,0.916821,0.950654,0.984487,1.01832,1.04539,1.08147,1.11756,1.15365,1.18072,1.21681,1.2529,1.28898,1.31605,1.35214,1.38823,1.42432,1.45138,1.48747,1.51905,1.55965,1.58671,1.62731,1.65438,1.69498,1.72205,1.76265,1.78971,1.83031,1.85738,1.89798,1.92504,1.96564,1.99271,2.03331,2.10098,2.16864,2.23631,2.30397,2.37164,2.43931,2.50697,2.57464,2.6423,2.70997,2.77764,2.8453,2.91297,2.98063,3.0483,3.10243,3.18363,3.23776,3.31896,3.3731,3.4543,3.50843,3.58963,3.64376,3.72496,3.77909,3.86029,3.91442,3.99562,4.06329,4.13096,4.19862,4.26629,4.33395,4.40162,4.46929,4.53695,4.60462,4.67228,4.73995,4.90911,5.17978,5.45044,5.75494,6.05944,6.36393,6.70226,7.04059,7.41276,7.81875,8.22475,8.63075,9.10441,9.57807,10.0517,10.5931,11.1344,11.7095,12.3185,12.9275,13.6042,14.2809,15.0252,15.8033,16.6153,17.4612,18.3408,19.2881,20.2693,21.2843,22.3669,23.4834,24.7014,25.9532,27.2389,28.626,30.0809,31.6034,33.2273,34.8852,36.6445,38.4715,40.4338,44.5952,46.862,49.298,51.7002,54.3053,57.0119
1e-08,0.000888903,0.0181472,0.0337657,0.0189081,0.00610971,0.00210256,0.000675195,0.000281917,0.000119714,6.31758e-05,3.40758e-05,2.06015e-05,1.33094e-05,9.07983e-06,6.47977e-06,4.80121e-06,3.67155e-06,2.8838e-06,2.31739e-06,1.89918e-06,1.58865e-06,1.38803e-06,1.17471e-06,1.00745e-06,8.74105e-07,7.91185e-07,6.98384e-07,6.21642e-07,5.57485e-07,5.16037e-07,4.68041e-07,4.26899e-07,3.91362e-07,3.6779e-07,3.39828e-07,3.19394e-07,2.94605e-07,2.79824e-07,2.59884e-07,2.47894e-07,2.31598e-07,2.21726e-07,2.08218e-07,1.99984e-07,1.88649e-07,1.817e-07,1.72083e-07,1.66157e-07,1.57918e-07,1.52818e-07,1.45993e-07,1.3533e-07,1.25988e-07,1.17749e-07,1.10438e-07,1.03914e-07,9.80622e-08,9.30348e-08,8.82435e-08,8.38902e-08,7.992e-08,7.6287e-08,7.29511e-08,6.98796e-08,6.70427e-08,6.45249e-08,6.25546e-08,5.98053e-08,5.80967e-08,5.57019e-08,5.4208e-08,5.21059e-08,5.07894e-08,4.89306e-08,4.77631e-08,4.61089e-08,4.50667e-08,4.35864e-08,4.26508e-08,4.13187e-08,4.03422e-08,3.93405e-08,3.83863e-08,3.74763e-08,3.66077e-08,3.5778e-08,3.49843e-08,3.42247e-08,3.34968e-08,3.2799e-08,3.21295e-08,3.05681e-08,2.83614e-08,2.64513e-08,2.45891e-08,2.2973e-08,2.15582e-08,2.01799e-08,1.897e-08,1.77995e-08,1.66806e-08,1.56977e-08,1.48276e-08,1.39312e-08,1.31409e-08,1.24391e-08,1.17276e-08,1.10971e-08,1.05014e-08,9.94061e-09,9.44033e-09,8.94431e-09,8.50155e-09,8.06638e-09,7.66045e-09,7.28207e-09,6.92932e-09,6.60057e-09,6.28335e-09,5.98899e-09,5.71553e-09,5.45354e-09,5.21067e-09,4.97269e-09,4.75305e-09,4.54997e-09,4.35264e-09,4.16647e-09,0,0,3.32444e-09,3.19381e-09,3.07141e-09,2.95283e-09,2.73729e-09,2.63662e-09,2.53915e-09,2.45234e-09,2.36717e-09,2.28718e-09
1.25892e-08,0.00111907,0.0228535,0.0425403,0.0238153,0.00769305,0.00264715,0.00085004,0.000354917,0.000150711,7.95334e-05,4.28988e-05,2.59357e-05,1.67555e-05,1.14308e-05,8.15751e-06,6.04434e-06,4.62219e-06,3.63048e-06,2.91742e-06,2.39092e-06,1.99997e-06,1.74742e-06,1.47887e-06,1.26829e-06,1.10043e-06,9.96041e-07,8.79213e-07,7.82598e-07,7.01828e-07,6.49649e-07,5.89227e-07,5.37432e-07,4.92694e-07,4.63018e-07,4.27817e-07,4.02091e-07,3.70885e-07,3.52276e-07,3.27174e-07,3.12079e-07,2.91563e-07,2.79136e-07,2.6213e-07,2.51764e-07,2.37494e-07,2.28745e-07,2.16639e-07,2.09179e-07,1.98806e-07,1.92386e-07,1.83793e-07,1.7037e-07,1.58609e-07,1.48236e-07,1.39032e-07,1.30819e-07,1.23452e-07,1.17124e-07,1.11091e-07,1.05611e-07,1.00613e-07,9.60391e-08,9.18397e-08,8.79728e-08,8.44013e-08,8.12317e-08,7.87514e-08,7.52899e-08,7.31389e-08,7.01244e-08,6.82435e-08,6.55971e-08,6.39398e-08,6.15999e-08,6.01296e-08,5.80475e-08,5.67354e-08,5.48716e-08,5.3694e-08,5.20171e-08,5.07876e-08,4.95265e-08,4.83251e-08,4.71797e-08,4.60863e-08,4.50415e-08,4.40424e-08,4.30861e-08,4.21698e-08,4.12913e-08,4.04484e-08,3.8483e-08,3.57048e-08,3.33002e-08,3.09556e-08,2.89212e-08,2.714e-08,2.54049e-08,2.38817e-08,2.24082e-08,2.09996e-08,1.97622e-08,1.86668e-08,1.75382e-08,1.65432e-08,1.56598e-08,1.47641e-08,1.39703e-08,1.32204e-08,1.25144e-08,1.18846e-08,1.12602e-08,1.07028e-08,1.01549e-08,9.64391e-09,9.16752e-09,8.72349e-09,8.30961e-09,7.91026e-09,7.53965e-09,7.19543e-09,6.86559e-09,6.55982e-09,6.26023e-09,5.98374e-09,5.72806e-09,5.47965e-09,5.24529e-09,0,0,4.19012e-09,4.02547e-09,3.8712e-09,3.72176e-09,3.45009e-09,3.32322e-09,3.20034e-09,3.09094e-09,2.98358e-09,2.88277e-09
1.58487e-08,0.00140884,0.0287827,0.0536048,0.0299998,0.00968715,0.00333284,0.00107016,0.000446817,0.000189733,0.000100126,5.40059e-05,3.26508e-05,2.10939e-05,1.43904e-05,1.02696e-05,7.60929e-06,5.81893e-06,4.57046e-06,3.67277e-06,3.00995e-06,2.51779e-06,2.19985e-06,1.86176e-06,1.59666e-06,1.38535e-06,1.25393e-06,1.10685e-06,9.85222e-07,8.83538e-07,8.17854e-07,7.41787e-07,6.7658e-07,6.20258e-07,5.82899e-07,5.38584e-07,5.06198e-07,4.66912e-07,4.43484e-07,4.11883e-07,3.92881e-07,3.67052e-07,3.51408e-07,3.29999e-07,3.16949e-07,2.98985e-07,2.87971e-07,2.72729e-07,2.63338e-07,2.5028e-07,2.42197e-07,2.31379e-07,2.14481e-07,1.99675e-07,1.86617e-07,1.75029e-07,1.64689e-07,1.55416e-07,1.47448e-07,1.39854e-07,1.32955e-07,1.26663e-07,1.20905e-07,1.15618e-07,1.1075e-07,1.06254e-07,1.02263e-07,9.9141e-08,9.47833e-08,9.20756e-08,8.82805e-08,8.59126e-08,8.25809e-08,8.04947e-08,7.75489e-08,7.56982e-08,7.30768e-08,7.14248e-08,6.90787e-08,6.75961e-08,6.54851e-08,6.39372e-08,6.23494e-08,6.08371e-08,5.93951e-08,5.80186e-08,5.67034e-08,5.54455e-08,5.42417e-08,5.30882e-08,5.19821e-08,5.0921e-08,4.84467e-08,4.49493e-08,4.19221e-08,3.89703e-08,3.64091e-08,3.41669e-08,3.19826e-08,3.0065e-08,2.82099e-08,2.64366e-08,2.48788e-08,2.34999e-08,2.2079e-08,2.08265e-08,1.97143e-08,1.85867e-08,1.75875e-08,1.66433e-08,1.57545e-08,1.49617e-08,1.41756e-08,1.34738e-08,1.27842e-08,1.21409e-08,1.15411e-08,1.09821e-08,1.04611e-08,9.95833e-09,9.49178e-09,9.0584e-09,8.64313e-09,8.25826e-09,7.88109e-09,7.53301e-09,7.2111e-09,6.89838e-09,6.60334e-09,0,0,5.2574e-09,5.05083e-09,4.85727e-09,4.66974e-09,4.32889e-09,4.16968e-09,4.01553e-09,3.87824e-09,3.74355e-09,3.61707e-09
1.99526e-08,0.00177368,0.0362549,0.0675657,0.0377973,0.0121991,0.00419634,0.00134733,0.000562526,0.000238865,0.000126054,6.79905e-05,4.11056e-05,2.65559e-05,1.81167e-05,1.29288e-05,9.57966e-06,7.32571e-06,5.75394e-06,4.62381e-06,3.78936e-06,3.16975e-06,2.76948e-06,2.34386e-06,2.01011e-06,1.74407e-06,1.57862e-06,1.39346e-06,1.24034e-06,1.11233e-06,1.02963e-06,9.33862e-07,8.51773e-07,7.80872e-07,7.33836e-07,6.78046e-07,6.37274e-07,5.87815e-07,5.58321e-07,5.18537e-07,4.94614e-07,4.62097e-07,4.42402e-07,4.1545e-07,3.99021e-07,3.76404e-07,3.62539e-07,3.43351e-07,3.31527e-07,3.15088e-07,3.04912e-07,2.91294e-07,2.70019e-07,2.51379e-07,2.3494e-07,2.20352e-07,2.07335e-07,1.9566e-07,1.85629e-07,1.76069e-07,1.67383e-07,1.59461e-07,1.52212e-07,1.45557e-07,1.39428e-07,1.33768e-07,1.28744e-07,1.24813e-07,1.19327e-07,1.15918e-07,1.1114e-07,1.08159e-07,1.03965e-07,1.01338e-07,9.76295e-08,9.52994e-08,9.19994e-08,8.99199e-08,8.69661e-08,8.50997e-08,8.24417e-08,8.04932e-08,7.84944e-08,7.65904e-08,7.4775e-08,7.30421e-08,7.13864e-08,6.98029e-08,6.82872e-08,6.6835e-08,6.54427e-08,6.41065e-08,6.09915e-08,5.65886e-08,5.27775e-08,4.90615e-08,4.5837e-08,4.30142e-08,4.02641e-08,3.78501e-08,3.55147e-08,3.32821e-08,3.13211e-08,2.95851e-08,2.77963e-08,2.62193e-08,2.48191e-08,2.33996e-08,2.21416e-08,2.0953e-08,1.98341e-08,1.88359e-08,1.78463e-08,1.69628e-08,1.60945e-08,1.52846e-08,1.45296e-08,1.38259e-08,1.31699e-08,1.25369e-08,1.19496e-08,1.1404e-08,1.08812e-08,1.03966e-08,9.92183e-09,9.48361e-09,9.07837e-09,8.68469e-09,8.31323e-09,0,0,6.64095e-09,6.38001e-09,6.1355e-09,5.89862e-09,5.46808e-09,5.26698e-09,5.07226e-09,4.89884e-09,4.72871e-09,4.56893e-09
2.51184e-08,0.00223296,0.0456716,0.085186,0.0476296,0.0153632,0.00528354,0.00169625,0.000708185,0.000300713,0.00015869,8.55939e-05,5.17481e-05,3.34314e-05,2.28071e-05,1.62762e-05,1.20599e-05,9.22237e-06,7.24367e-06,5.82095e-06,4.77044e-06,3.99041e-06,3.48652e-06,2.95069e-06,2.53054e-06,2.19561e-06,1.98733e-06,1.75423e-06,1.56147e-06,1.40031e-06,1.2962e-06,1.17564e-06,1.0723e-06,9.83039e-07,9.23826e-07,8.53594e-07,8.02267e-07,7.40001e-07,7.0287e-07,6.5279e-07,6.22672e-07,5.81737e-07,5.56943e-07,5.23012e-07,5.02328e-07,4.73856e-07,4.56401e-07,4.32246e-07,4.17361e-07,3.96665e-07,3.83855e-07,3.66711e-07,3.39928e-07,3.16463e-07,2.95767e-07,2.77401e-07,2.61014e-07,2.46317e-07,2.33689e-07,2.21654e-07,2.10719e-07,2.00747e-07,1.9162e-07,1.83242e-07,1.75526e-07,1.68401e-07,1.62076e-07,1.57127e-07,1.50221e-07,1.45929e-07,1.39915e-07,1.36162e-07,1.30881e-07,1.27575e-07,1.22906e-07,1.19973e-07,1.15819e-07,1.132e-07,1.09482e-07,1.07132e-07,1.03786e-07,1.01333e-07,9.88169e-08,9.64199e-08,9.41344e-08,9.19529e-08,8.98685e-08,8.7875e-08,8.59669e-08,8.41387e-08,8.2386e-08,8.0704e-08,7.67824e-08,7.12396e-08,6.64417e-08,6.17636e-08,5.77045e-08,5.41507e-08,5.06887e-08,4.76497e-08,4.47096e-08,4.18991e-08,3.94302e-08,3.72447e-08,3.49928e-08,3.30076e-08,3.12449e-08,2.94579e-08,2.78742e-08,2.63778e-08,2.49691e-08,2.37126e-08,2.24667e-08,2.13546e-08,2.02614e-08,1.92418e-08,1.82914e-08,1.74054e-08,1.65797e-08,1.57828e-08,1.50434e-08,1.43565e-08,1.36984e-08,1.30884e-08,1.24906e-08,1.19389e-08,1.14288e-08,1.09332e-08,1.04655e-08,0,0,8.3407e-09,8.01298e-09,7.7059e-09,7.40838e-09,6.86765e-09,6.61508e-09,6.3705e-09,6.15271e-09,5.93903e-09,5.73836e-09
3.16224e-08,0.00281125,0.0575455,0.107446,0.0600361,0.0193503,0.00665285,0.00213561,0.000891586,0.000378584,0.000199783,0.000107758,6.51477e-05,4.2088e-05,2.87128e-05,2.04907e-05,1.51826e-05,1.16104e-05,9.1193e-06,7.32818e-06,6.00567e-06,5.02367e-06,4.38928e-06,3.71472e-06,3.18578e-06,2.76413e-06,2.50192e-06,2.20846e-06,1.96578e-06,1.7629e-06,1.63184e-06,1.48006e-06,1.34996e-06,1.23758e-06,1.16304e-06,1.07462e-06,1.01e-06,9.31612e-07,8.84867e-07,8.21819e-07,7.83901e-07,7.32366e-07,7.01155e-07,6.58436e-07,6.32396e-07,5.96552e-07,5.74579e-07,5.44166e-07,5.25431e-07,4.99376e-07,4.83248e-07,4.61664e-07,4.27946e-07,3.98405e-07,3.72351e-07,3.4923e-07,3.286e-07,3.10097e-07,2.94199e-07,2.79047e-07,2.65281e-07,2.52726e-07,2.41237e-07,2.30689e-07,2.20976e-07,2.12005e-07,2.04043e-07,1.97813e-07,1.89118e-07,1.83716e-07,1.76143e-07,1.71419e-07,1.64771e-07,1.60608e-07,1.54731e-07,1.51038e-07,1.45808e-07,1.42512e-07,1.37831e-07,1.34872e-07,1.3066e-07,1.27572e-07,1.24404e-07,1.21386e-07,1.18509e-07,1.15763e-07,1.13138e-07,1.10629e-07,1.08226e-07,1.05925e-07,1.03718e-07,1.01601e-07,9.6664e-08,8.9686e-08,8.36458e-08,7.77564e-08,7.26461e-08,6.81721e-08,6.38137e-08,5.99878e-08,5.62863e-08,5.27482e-08,4.964e-08,4.68887e-08,4.40536e-08,4.15544e-08,3.93353e-08,3.70855e-08,3.50917e-08,3.32079e-08,3.14345e-08,2.98526e-08,2.82842e-08,2.6884e-08,2.55078e-08,2.42242e-08,2.30276e-08,2.19122e-08,2.08727e-08,1.98695e-08,1.89386e-08,1.80739e-08,1.72454e-08,1.64774e-08,1.57248e-08,1.50303e-08,1.43881e-08,1.37642e-08,1.31754e-08,0,0,1.05148e-08,1.01017e-08,9.71455e-09,9.33949e-09,8.65778e-09,8.33938e-09,8.03107e-09,7.7565e-09,7.48711e-09,7.23414e-09
3.98105e-08,0.00353932,0.0725223,0.135589,0.0756985,0.024375,0.00837743,0.00268883,0.00112249,0.000476621,0.000251516,0.000135661,8.20172e-05,5.29862e-05,3.61476e-05,2.57964e-05,1.91139e-05,1.46167e-05,1.14806e-05,9.2257e-06,7.56075e-06,6.32447e-06,5.52582e-06,4.67659e-06,4.01068e-06,3.47986e-06,3.14975e-06,2.78031e-06,2.47479e-06,2.21938e-06,2.05437e-06,1.8633e-06,1.69951e-06,1.55803e-06,1.46419e-06,1.35287e-06,1.27152e-06,1.17284e-06,1.11399e-06,1.03461e-06,9.86881e-07,9.22004e-07,8.82703e-07,8.28929e-07,7.96145e-07,7.51024e-07,7.23359e-07,6.85074e-07,6.61481e-07,6.2868e-07,6.08376e-07,5.81204e-07,5.38755e-07,5.01568e-07,4.68763e-07,4.39659e-07,4.13687e-07,3.90392e-07,3.70377e-07,3.51302e-07,3.33971e-07,3.18166e-07,3.03702e-07,2.90423e-07,2.78194e-07,2.669e-07,2.56877e-07,2.49033e-07,2.38087e-07,2.31286e-07,2.21753e-07,2.15805e-07,2.07436e-07,2.02195e-07,1.94796e-07,1.90147e-07,1.83562e-07,1.79413e-07,1.73519e-07,1.69795e-07,1.64492e-07,1.60604e-07,1.56616e-07,1.52817e-07,1.49195e-07,1.45737e-07,1.42434e-07,1.39274e-07,1.3625e-07,1.33353e-07,1.30575e-07,1.27909e-07,1.21694e-07,1.12909e-07,1.05304e-07,9.78901e-08,9.14567e-08,8.5824e-08,8.03372e-08,7.55206e-08,7.08608e-08,6.64064e-08,6.24934e-08,5.90297e-08,5.54605e-08,5.23143e-08,4.95204e-08,4.66882e-08,4.4178e-08,4.18066e-08,3.9574e-08,3.75824e-08,3.56078e-08,3.38451e-08,3.21126e-08,3.04967e-08,2.89902e-08,2.75861e-08,2.62773e-08,2.50144e-08,2.38425e-08,2.27539e-08,2.17108e-08,2.0744e-08,1.97966e-08,1.89222e-08,1.81137e-08,1.73281e-08,1.6587e-08,0,0,1.32424e-08,1.27221e-08,1.22345e-08,1.17621e-08,1.09036e-08,1.05026e-08,1.01143e-08,9.76852e-09,9.42925e-09,9.11067e-09
5.01184e-08,0.00445596,0.0914214,0.171208,0.0954846,0.030709,0.0105496,0.00338538,0.00141321,0.000600044,0.000316645,0.000170788,0.000103254,6.6706e-05,4.55072e-05,3.24759e-05,2.4063e-05,1.84014e-05,1.44532e-05,1.16145e-05,9.51841e-06,7.96203e-06,6.95659e-06,5.88747e-06,5.04915e-06,4.38088e-06,3.96529e-06,3.5002e-06,3.11558e-06,2.79402e-06,2.5863e-06,2.34575e-06,2.13955e-06,1.96145e-06,1.84331e-06,1.70317e-06,1.60075e-06,1.47652e-06,1.40243e-06,1.3025e-06,1.24241e-06,1.16073e-06,1.11126e-06,1.04356e-06,1.00229e-06,9.45479e-07,9.10653e-07,8.62453e-07,8.32752e-07,7.9146e-07,7.65898e-07,7.31692e-07,6.78253e-07,6.31434e-07,5.90139e-07,5.53497e-07,5.208e-07,4.91475e-07,4.66278e-07,4.42264e-07,4.20443e-07,4.00548e-07,3.82337e-07,3.6562e-07,3.50224e-07,3.36007e-07,3.23389e-07,3.13514e-07,2.99733e-07,2.91171e-07,2.7917e-07,2.71682e-07,2.61146e-07,2.54548e-07,2.45233e-07,2.3938e-07,2.31091e-07,2.25867e-07,2.18448e-07,2.1376e-07,2.07083e-07,2.02189e-07,1.97168e-07,1.92386e-07,1.87825e-07,1.83472e-07,1.79313e-07,1.75336e-07,1.71529e-07,1.67881e-07,1.64384e-07,1.61027e-07,1.53203e-07,1.42143e-07,1.3257e-07,1.23236e-07,1.15137e-07,1.08046e-07,1.01138e-07,9.50747e-08,8.92083e-08,8.36006e-08,7.86745e-08,7.43139e-08,6.98206e-08,6.58597e-08,6.23425e-08,5.87769e-08,5.56169e-08,5.26313e-08,4.98206e-08,4.73134e-08,4.48276e-08,4.26085e-08,4.04273e-08,3.8393e-08,3.64965e-08,3.47288e-08,3.30811e-08,3.14912e-08,3.00158e-08,2.86454e-08,2.73323e-08,2.61151e-08,2.49223e-08,2.38216e-08,2.28037e-08,2.18148e-08,2.08818e-08,0,0,1.66419e-08,1.5988e-08,1.53753e-08,1.47817e-08,1.37027e-08,1.31988e-08,1.27108e-08,1.22763e-08,1.18499e-08,1.14495e-08
6.30961e-08,0.00561018,0.115287,0.216359,0.120505,0.0386967,0.0132862,0.00426257,0.00177925,0.000755443,0.000398644,0.000215014,0.000129992,8.39794e-05,5.72911e-05,4.08853e-05,3.0294e-05,2.31663e-05,1.81958e-05,1.4622e-05,1.19831e-05,1.00237e-05,8.75795e-06,7.41199e-06,6.35659e-06,5.51528e-06,4.99207e-06,4.40654e-06,3.92233e-06,3.51751e-06,3.256e-06,2.95316e-06,2.69357e-06,2.46934e-06,2.32061e-06,2.14419e-06,2.01525e-06,1.85885e-06,1.76558e-06,1.63977e-06,1.56412e-06,1.46129e-06,1.39901e-06,1.31378e-06,1.26182e-06,1.1903e-06,1.14646e-06,1.08578e-06,1.04839e-06,9.96404e-07,9.64223e-07,9.21157e-07,8.5388e-07,7.94936e-07,7.42952e-07,6.9682e-07,6.55654e-07,6.18735e-07,5.87013e-07,5.56781e-07,5.29314e-07,5.04265e-07,4.81341e-07,4.60293e-07,4.40911e-07,4.23014e-07,4.07127e-07,3.94696e-07,3.77349e-07,3.66569e-07,3.51457e-07,3.42033e-07,3.28768e-07,3.20461e-07,3.08734e-07,3.01367e-07,2.90931e-07,2.84354e-07,2.75012e-07,2.6911e-07,2.60705e-07,2.54543e-07,2.48223e-07,2.42201e-07,2.3646e-07,2.30981e-07,2.25745e-07,2.20738e-07,2.15943e-07,2.11353e-07,2.06948e-07,2.02725e-07,1.92873e-07,1.7895e-07,1.66898e-07,1.55147e-07,1.44951e-07,1.36024e-07,1.27327e-07,1.19693e-07,1.12308e-07,1.05248e-07,9.90466e-08,9.35569e-08,8.79e-08,8.29134e-08,7.84855e-08,7.39966e-08,7.00184e-08,6.62596e-08,6.27211e-08,5.95648e-08,5.64353e-08,5.36416e-08,5.08956e-08,4.83345e-08,4.59469e-08,4.37215e-08,4.16472e-08,3.96456e-08,3.77882e-08,3.60628e-08,3.44097e-08,3.28774e-08,3.13758e-08,2.999e-08,2.87086e-08,2.74635e-08,2.62889e-08,0,0,2.09901e-08,2.01654e-08,1.93926e-08,1.86439e-08,1.7283e-08,1.66474e-08,1.60319e-08,1.54838e-08,1.49461e-08,1.44411e-08
