,0.378908,0.414654,0.4504,0.486146,0.521892,0.593384,0.62913,0.664876,0.736368,0.772114,0.843606,0.879352,0.950844,1.02234,1.09383,1.16532,1.23681,1.3083,1.3798,1.48703,1.55853,1.66576,1.773,1.84449,1.98748,2.09472,2.20195,2.34494,2.45218,2.59516,2.73814,2.91687,3.05986,3.23859,3.41732,3.59605,3.81052,4.025,4.23948,4.45395,4.70417,4.9544,5.20462,5.49059,5.77655,6.09827,6.41998,6.7417,7.09916,7.45662,7.84982,8.27877,8.70773,9.13668,9.63712,10.1376,10.638,11.2099,11.7819,12.3896,13.033,13.6764,14.3913,15.1063,15.8927,16.7148,17.5727,18.4664,19.3958,20.3967,21.4333,22.5057,23.6496,24.8292,26.116,27.4386,28.797,30.2626,31.7996,33.4082,35.0883,36.8756,38.7344,40.6646,42.7379,44.8827
1e-08,0.504814,4.04788,2.79432,0.707624,0.152149,0.0104078,0.00359427,0.00146494,0.00035775,0.000204432,8.1991e-05,5.62108e-05,2.97087e-05,1.76888e-05,1.1499e-05,7.98941e-06,5.84461e-06,4.45346e-06,3.50654e-06,2.57225e-06,2.14764e-06,1.69035e-06,1.37144e-06,1.20963e-06,9.66881e-07,8.33569e-07,7.28633e-07,6.19991e-07,5.55545e-07,4.86052e-07,4.30531e-07,3.75368e-07,3.39688e-07,3.02943e-07,2.72846e-07,2.47812e-07,2.22889e-07,2.02253e-07,1.84924e-07,1.70191e-07,1.55591e-07,1.432e-07,1.32566e-07,1.22131e-07,1.1317e-07,1.04499e-07,9.70301e-08,9.05349e-08,8.42482e-08,7.87637e-08,7.34888e-08,6.84761e-08,6.40974e-08,6.0241e-08,5.6287e-08,5.28186e-08,4.97525e-08,4.66577e-08,4.39266e-08,4.13564e-08,3.89461e-08,3.68037e-08,3.46868e-08,3.28033e-08,3.09578e-08,2.92418e-08,2.76467e-08,2.6164e-08,2.47856e-08,2.34589e-08,2.22307e-08,2.10925e-08,2.00042e-08,1.89975e-08,1.8013e-08,1.71062e-08,1.62691e-08,1.54572e-08,1.46925e-08,1.39732e-08,1.32974e-08,1.26507e-08,1.20456e-08,1.14794e-08,1.09316e-08,1.04211e-08
1.25892e-08,0.641381,5.07002,3.58838,0.909048,0.192577,0.013109,0.00452578,0.00184441,0.000450393,0.000257369,0.000103221,7.07656e-05,3.74012e-05,2.22689e-05,1.44765e-05,1.00581e-05,7.35794e-06,5.60657e-06,4.41447e-06,3.23827e-06,2.70371e-06,2.12803e-06,1.72654e-06,1.52283e-06,1.21723e-06,1.0494e-06,9.17294e-07,7.80522e-07,6.9939e-07,6.11902e-07,5.42006e-07,4.7256e-07,4.27642e-07,3.81383e-07,3.43492e-07,3.11977e-07,2.806e-07,2.54622e-07,2.32806e-07,2.14258e-07,1.95878e-07,1.80278e-07,1.6689e-07,1.53754e-07,1.42472e-07,1.31556e-07,1.22154e-07,1.13977e-07,1.06062e-07,9.91575e-08,9.25169e-08,8.62064e-08,8.06938e-08,7.58389e-08,7.08611e-08,6.64947e-08,6.26347e-08,5.87386e-08,5.53003e-08,5.20646e-08,4.90302e-08,4.63331e-08,4.36681e-08,4.1297e-08,3.89735e-08,3.68132e-08,3.48051e-08,3.29385e-08,3.12033e-08,2.9533e-08,2.79868e-08,2.65539e-08,2.51838e-08,2.39164e-08,2.2677e-08,2.15354e-08,2.04816e-08,1.94595e-08,1.84967e-08,1.75912e-08,1.67405e-08,1.59263e-08,1.51645e-08,1.44517e-08,1.3762e-08,1.31194e-08
1.58489e-08,0.816822,6.09884,4.48032,1.17329,0.244091,0.0165134,0.00569899,0.00232223,0.000567032,0.000324016,0.00012995,8.90893e-05,4.70856e-05,2.8035e-05,1.82248e-05,1.26624e-05,9.26311e-06,7.05827e-06,5.5575e-06,4.07675e-06,3.40378e-06,2.67903e-06,2.17359e-06,1.91714e-06,1.53241e-06,1.32112e-06,1.15481e-06,9.82621e-07,8.80482e-07,7.7034e-07,6.82346e-07,5.94918e-07,5.3837e-07,4.80133e-07,4.32432e-07,3.92757e-07,3.53255e-07,3.2055e-07,2.93085e-07,2.69735e-07,2.46596e-07,2.26957e-07,2.10102e-07,1.93565e-07,1.79362e-07,1.65619e-07,1.53782e-07,1.43488e-07,1.33524e-07,1.24832e-07,1.16472e-07,1.08528e-07,1.01588e-07,9.54756e-08,8.92089e-08,8.37119e-08,7.88525e-08,7.39476e-08,6.96191e-08,6.55456e-08,6.17254e-08,5.833e-08,5.4975e-08,5.19899e-08,4.90649e-08,4.63451e-08,4.38171e-08,4.14672e-08,3.92826e-08,3.718e-08,3.52334e-08,3.34294e-08,3.17045e-08,3.0109e-08,2.85487e-08,2.71115e-08,2.57848e-08,2.4498e-08,2.3286e-08,2.21461e-08,2.1075e-08,2.00501e-08,1.9091e-08,1.81936e-08,1.73254e-08,1.65163e-08
1.99526e-08,1.0433,7.03079,5.36533,1.5218,0.309937,0.0208051,0.00717676,0.00292392,0.000713884,0.000407924,0.000163599,0.000112158,5.92775e-05,3.52941e-05,2.29437e-05,1.5941e-05,1.16616e-05,8.88584e-06,6.99648e-06,5.13233e-06,4.2851e-06,3.3727e-06,2.73639e-06,2.41353e-06,1.92918e-06,1.66319e-06,1.45381e-06,1.23705e-06,1.10846e-06,9.69801e-07,8.59022e-07,7.48957e-07,6.77768e-07,6.04452e-07,5.44399e-07,4.94451e-07,4.44721e-07,4.03549e-07,3.68973e-07,3.39576e-07,3.10446e-07,2.85722e-07,2.64503e-07,2.43683e-07,2.25803e-07,2.08502e-07,1.936e-07,1.80641e-07,1.68097e-07,1.57154e-07,1.4663e-07,1.36628e-07,1.27891e-07,1.20197e-07,1.12307e-07,1.05387e-07,9.92694e-08,9.30945e-08,8.76451e-08,8.2517e-08,7.77077e-08,7.34331e-08,6.92094e-08,6.54513e-08,6.1769e-08,5.8345e-08,5.51624e-08,5.22041e-08,4.94539e-08,4.68067e-08,4.43562e-08,4.20851e-08,3.99136e-08,3.7905e-08,3.59406e-08,3.41313e-08,3.24611e-08,3.08412e-08,2.93153e-08,2.78802e-08,2.65319e-08,2.52416e-08,2.40342e-08,2.29044e-08,2.18113e-08,2.07928e-08
2.51188e-08,1.33731,7.82812,6.15932,1.98103,0.394429,0.0262174,0.00903842,0.00368164,0.000898775,0.000513564,0.000205962,0.0001412,7.46262e-05,4.44326e-05,2.88844e-05,2.00685e-05,1.4681e-05,1.11866e-05,8.80803e-06,6.46121e-06,5.39461e-06,4.24597e-06,3.4449e-06,3.03845e-06,2.42869e-06,2.09383e-06,1.83024e-06,1.55734e-06,1.39547e-06,1.2209e-06,1.08144e-06,9.4288e-07,8.53257e-07,7.60958e-07,6.85356e-07,6.22475e-07,5.5987e-07,5.08037e-07,4.64508e-07,4.275e-07,3.90827e-07,3.59702e-07,3.32989e-07,3.06778e-07,2.84269e-07,2.62488e-07,2.43728e-07,2.27413e-07,2.11622e-07,1.97845e-07,1.84595e-07,1.72004e-07,1.61005e-07,1.51318e-07,1.41386e-07,1.32674e-07,1.24972e-07,1.17199e-07,1.10338e-07,1.03882e-07,9.78279e-08,9.24466e-08,8.71292e-08,8.23982e-08,7.77624e-08,7.34519e-08,6.94452e-08,6.57209e-08,6.22586e-08,5.89261e-08,5.5841e-08,5.29818e-08,5.02481e-08,4.77195e-08,4.52465e-08,4.29686e-08,4.0866e-08,3.88267e-08,3.69058e-08,3.5099e-08,3.34016e-08,3.17772e-08,3.02572e-08,2.88349e-08,2.74588e-08,2.61766e-08
3.16228e-08,1.72133,8.49825,6.83623,2.57518,0.503379,0.0330461,0.0113842,0.00463595,0.00113157,0.00064657,0.000259297,0.000177763,9.39497e-05,5.59377e-05,3.63635e-05,2.52649e-05,1.84824e-05,1.40831e-05,1.10887e-05,8.13419e-06,6.79143e-06,5.34537e-06,4.33688e-06,3.82519e-06,3.05755e-06,2.63598e-06,2.30414e-06,1.96058e-06,1.75679e-06,1.53703e-06,1.36146e-06,1.18702e-06,1.07419e-06,9.57991e-07,8.62814e-07,7.83652e-07,7.04836e-07,6.39581e-07,5.84782e-07,5.38192e-07,4.92023e-07,4.52839e-07,4.19209e-07,3.86211e-07,3.57874e-07,3.30454e-07,3.06836e-07,2.86296e-07,2.66416e-07,2.49073e-07,2.32392e-07,2.16541e-07,2.02694e-07,1.90499e-07,1.77995e-07,1.67027e-07,1.57331e-07,1.47545e-07,1.38908e-07,1.3078e-07,1.23158e-07,1.16384e-07,1.09689e-07,1.03733e-07,9.78972e-08,9.24706e-08,8.74264e-08,8.27378e-08,7.8379e-08,7.41837e-08,7.02998e-08,6.67003e-08,6.32587e-08,6.00753e-08,5.6962e-08,5.40944e-08,5.14473e-08,4.88799e-08,4.64617e-08,4.41871e-08,4.20502e-08,4.00051e-08,3.80916e-08,3.6301e-08,3.45686e-08,3.29544e-08
3.98107e-08,2.22546,9.06258,7.40532,3.30239,0.644691,0.0416666,0.0143404,0.00583793,0.00142469,0.000814031,0.000326443,0.000223794,0.000118277,7.04217e-05,4.57791e-05,3.18067e-05,2.3268e-05,1.77296e-05,1.39598e-05,1.02403e-05,8.5499e-06,6.72943e-06,5.4598e-06,4.81562e-06,3.84922e-06,3.3185e-06,2.90074e-06,2.46823e-06,2.21167e-06,1.935e-06,1.71397e-06,1.49436e-06,1.35232e-06,1.20604e-06,1.08622e-06,9.86558e-07,8.87335e-07,8.05184e-07,7.36196e-07,6.77543e-07,6.1942e-07,5.7009e-07,5.27752e-07,4.86211e-07,4.50536e-07,4.16016e-07,3.86283e-07,3.60426e-07,3.35398e-07,3.13563e-07,2.92564e-07,2.72608e-07,2.55176e-07,2.39823e-07,2.24082e-07,2.10274e-07,1.98068e-07,1.85748e-07,1.74875e-07,1.64643e-07,1.55047e-07,1.46518e-07,1.38091e-07,1.30592e-07,1.23245e-07,1.16413e-07,1.10063e-07,1.04161e-07,9.86733e-08,9.33916e-08,8.8502e-08,8.39706e-08,7.9638e-08,7.56304e-08,7.17109e-08,6.81007e-08,6.47683e-08,6.15361e-08,5.84917e-08,5.56282e-08,5.2938e-08,5.03635e-08,4.79544e-08,4.57002e-08,4.35193e-08,4.14871e-08
5.01187e-08,2.88761,9.54232,7.88555,4.10395,0.829254,0.0525571,0.0180673,0.0073521,0.00179379,0.00102488,0.000410982,0.000281747,0.000148903,8.86564e-05,5.76327e-05,4.00424e-05,2.92927e-05,2.23203e-05,1.75744e-05,1.28918e-05,1.07637e-05,8.47185e-06,6.8735e-06,6.06252e-06,4.84589e-06,4.17775e-06,3.65182e-06,3.10732e-06,2.78432e-06,2.43603e-06,2.15777e-06,1.88129e-06,1.70248e-06,1.51831e-06,1.36747e-06,1.242e-06,1.11709e-06,1.01367e-06,9.26817e-07,8.52977e-07,7.79804e-07,7.17702e-07,6.64401e-07,6.12104e-07,5.67191e-07,5.23734e-07,4.86302e-07,4.53749e-07,4.22241e-07,3.94753e-07,3.68316e-07,3.43194e-07,3.21248e-07,3.0192e-07,2.82103e-07,2.6472e-07,2.49353e-07,2.33843e-07,2.20154e-07,2.07273e-07,1.95193e-07,1.84455e-07,1.73846e-07,1.64406e-07,1.55156e-07,1.46556e-07,1.38561e-07,1.31131e-07,1.24222e-07,1.17573e-07,1.11418e-07,1.05713e-07,1.00258e-07,9.5213e-08,9.02787e-08,8.57338e-08,8.15385e-08,7.74695e-08,7.36368e-08,7.00319e-08,6.6645e-08,6.34039e-08,6.0371e-08,5.75332e-08,5.47876e-08,5.22292e-08
6.30958e-08,3.74613,9.9548,8.29493,4.88308,1.0721,0.0663278,0.0227671,0.00925986,0.00225857,0.00129037,0.000517418,0.000354709,0.000187461,0.000111613,7.25559e-05,5.04107e-05,3.68775e-05,2.80997e-05,2.2125e-05,1.62299e-05,1.35507e-05,1.06655e-05,8.65324e-06,7.63228e-06,6.10063e-06,5.25948e-06,4.59738e-06,3.91189e-06,3.50526e-06,3.06678e-06,2.71647e-06,2.36841e-06,2.14329e-06,1.91145e-06,1.72154e-06,1.56359e-06,1.40633e-06,1.27613e-06,1.1668e-06,1.07384e-06,9.81717e-07,9.03534e-07,8.36433e-07,7.70595e-07,7.14053e-07,6.59343e-07,6.12219e-07,5.71237e-07,5.31571e-07,4.96966e-07,4.63684e-07,4.32056e-07,4.04428e-07,3.80095e-07,3.55147e-07,3.33263e-07,3.13918e-07,2.94391e-07,2.77159e-07,2.60942e-07,2.45733e-07,2.32216e-07,2.18859e-07,2.06975e-07,1.95331e-07,1.84503e-07,1.74439e-07,1.65084e-07,1.56387e-07,1.48016e-07,1.40267e-07,1.33085e-07,1.26218e-07,1.19866e-07,1.13654e-07,1.07933e-07,1.02651e-07,9.75284e-08,9.27033e-08,8.81651e-08,8.39013e-08,7.98209e-08,7.60028e-08,7.24302e-08,6.89736e-08,6.57528e-08
