,0.75,0.8,0.85,0.899,0.944,0.992,1.042,1.095,1.15,1.208,1.269,1.333,1.4,1.47,1.544,1.622,1.704,1.79,1.88,1.974,2.073,2.177,2.286,2.401,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.672,6.822,6.972,7.122,7.272,7.422,7.572,7.722,7.872,8.022,8.158,8.566,8.995,9.445,9.918,10.414,10.935,11.482,12.057,12.66,13.293,13.958,14.656,15.389,16.159,16.967,17.816,18.707,19.643,20.626,21.658,22.741,23.879,25.073,26.327,27.644,29.027,30.479,32.003,33.604,35.285,37.05,38.903,40.849,42.892,45.037,47.289,49.654
1e-06,0.132529,0.145015,0.172,0.188887,0.191012,0.179258,0.113927,0.0701158,0.028775,0.0152732,0.00796741,0.00517372,0.00428436,0.0037432,0.00331311,0.00295251,0.00264479,0.00237982,0.00215026,0.00195038,0.00177392,0.00161788,0.00147959,0.00135578,0.00126378,0.00118205,0.00110972,0.00104529,0.000987587,0.000935635,0.000888637,0.000845941,0.000806993,0.000771334,0.000738574,0.000708384,0.000680479,0.000654616,0.000630581,0.000608194,0.000587294,0.000567742,0.000549415,0.000532202,0.000516008,0.000500746,0.00048634,0.00047272,0.000459827,0.000447602,0.000435996,0.000424965,0.000414467,0.000404465,0.000394923,0.000385811,0.000377102,0.000368765,0.000360782,0.000353127,0.00034578,0.000338724,0.000331941,0.000325413,0.000319129,0.000313073,0.000308846,0.000300382,0.000292349,0.000284714,0.000277449,0.000270527,0.000263925,0.000257624,0.000251604,0.000245849,0.000240849,0.000226983,0.12398,0.118073,0.112442,0.107086,0.101984,0.0971257,0.0924937,0.0880882,0.0838936,0.0798966,0.0760915,0.0724672,0.069014,0.0657274,0.0625953,0.0596139,0.0567733,0.0540675,0.0514912,0.0490391,0.046702,0.044478,0.0423594,0.0403414,0.0384193,0.036589,0.0348466,0.0331864,0.0316054,0.0300998,0.0286661,0.0273005,0.0260001,0.0247618,0.0235826,0.0224594
1.35e-06,0.18078,0.196714,0.22913,0.247309,0.24433,0.228801,0.151016,0.0944933,0.0389598,0.0206536,0.0107637,0.00698751,0.00578606,0.00505505,0.00447411,0.00398705,0.00357144,0.00321358,0.00290355,0.00263361,0.00239532,0.00218459,0.00199784,0.00183066,0.00170642,0.00159606,0.00149838,0.00141138,0.00133347,0.00126331,0.00119986,0.0011422,0.00108961,0.00104146,0.00099723,0.000956466,0.000918786,0.00088386,0.000851409,0.000821179,0.000792961,0.000766561,0.000741813,0.000718572,0.000696707,0.000676099,0.000656648,0.000638258,0.000620847,0.000604341,0.000588672,0.000573778,0.000559603,0.000546098,0.000533214,0.000520911,0.000509152,0.000497897,0.000487118,0.000476781,0.000466863,0.000457334,0.000448176,0.000439363,0.000430877,0.000422699,0.000416994,0.000405565,0.000394719,0.00038441,0.0003746,0.000365254,0.000356341,0.000347833,0.000339705,0.000331935,0.000325184,0.000306461,0.124029,0.11812,0.112487,0.107129,0.102025,0.0971644,0.0925306,0.0881234,0.083927,0.0799285,0.0761218,0.072496,0.0690415,0.0657536,0.0626202,0.0596377,0.0567959,0.0540891,0.0515118,0.0490586,0.0467206,0.0444957,0.0423763,0.0403575,0.0384346,0.0366036,0.0348605,0.0331997,0.031618,0.0301118,0.0286775,0.0273114,0.0260105,0.0247717,0.023592,0.0224683
1.82e-06,0.246691,0.265357,0.298671,0.313741,0.300592,0.280692,0.195458,0.126285,0.0527675,0.0279449,0.0145452,0.00943857,0.00781516,0.00682747,0.00604263,0.00538466,0.00482323,0.00433983,0.00392108,0.00355649,0.00323463,0.00295002,0.00269781,0.00247202,0.00230424,0.0021552,0.00202329,0.00190581,0.00180059,0.00170585,0.00162016,0.0015423,0.00147129,0.00140627,0.00134654,0.00129149,0.00124061,0.00119345,0.00114963,0.00110881,0.0010707,0.00103505,0.00100164,0.000970253,0.000940727,0.000912901,0.000886634,0.000861804,0.000838296,0.000816006,0.000794849,0.000774737,0.000755597,0.00073736,0.000719965,0.000703352,0.000687471,0.000672275,0.00065772,0.000643764,0.00063037,0.000617506,0.000605139,0.00059324,0.000581782,0.000570741,0.000563036,0.000547604,0.000532958,0.000519039,0.000505792,0.000493172,0.000481137,0.000469648,0.000458675,0.000448184,0.000439067,0.000413787,0.124096,0.118183,0.112547,0.107187,0.10208,0.0972167,0.0925804,0.0881708,0.0839722,0.0799715,0.0761628,0.0725351,0.0690787,0.065789,0.0626539,0.0596698,0.0568265,0.0541182,0.0515395,0.049085,0.0467458,0.0445197,0.0423991,0.0403792,0.0384553,0.0366233,0.0348793,0.0332175,0.031635,0.030128,0.028693,0.0273261,0.0260245,0.024785,0.0236047,0.0224804
2.46e-06,0.335617,0.353133,0.376694,0.382734,0.355431,0.330783,0.244178,0.16589,0.0714517,0.0378335,0.0196618,0.0127521,0.0105577,0.00922287,0.00816229,0.00727318,0.00651463,0.00586156,0.0052958,0.00480329,0.0043685,0.00398405,0.00364337,0.0033384,0.00311178,0.00291048,0.00273232,0.00257365,0.00243154,0.00230359,0.00218786,0.00208272,0.00198681,0.001899,0.00181834,0.001744,0.00167529,0.00161159,0.00155241,0.00149729,0.00144582,0.00139768,0.00135255,0.00131017,0.0012703,0.00123272,0.00119725,0.00116372,0.00113197,0.00110188,0.0010733,0.00104615,0.0010203,0.000995672,0.00097218,0.000949749,0.000928304,0.000907784,0.000888128,0.000869282,0.000851196,0.000833825,0.000817124,0.000801056,0.000785584,0.000770675,0.000760271,0.000739432,0.000719655,0.000700858,0.00068297,0.000665927,0.000649676,0.000634163,0.000619343,0.000605177,0.000592866,0.000558729,0.124186,0.118269,0.112629,0.107265,0.102154,0.0972873,0.0926477,0.0882349,0.0840332,0.0800296,0.0762182,0.0725878,0.0691289,0.0658368,0.0626994,0.0597131,0.0568678,0.0541575,0.0515769,0.0491207,0.0467797,0.044552,0.0424299,0.0404085,0.0384832,0.0366499,0.0349046,0.0332417,0.031658,0.0301499,0.0287138,0.0273459,0.0260434,0.024803,0.0236218,0.0224967
3.32e-06,0.452,0.458585,0.457942,0.450328,0.407442,0.377674,0.29323,0.21173,0.0965826,0.0512546,0.0265901,0.0172335,0.014266,0.0124613,0.0110276,0.0098259,0.00880069,0.00791806,0.0071536,0.0064881,0.00590064,0.00538123,0.00492094,0.00450895,0.00420282,0.0039309,0.00369023,0.00347589,0.00328394,0.00311111,0.00295478,0.00281276,0.00268323,0.00256464,0.00245569,0.00235528,0.00226247,0.00217644,0.00209651,0.00202205,0.00195254,0.00188752,0.00182657,0.00176933,0.00171548,0.00166473,0.00161683,0.00157154,0.00152866,0.00148802,0.00144943,0.00141275,0.00137784,0.00134458,0.00131286,0.00128256,0.0012536,0.00122589,0.00119934,0.00117389,0.00114947,0.00112601,0.00110346,0.00108176,0.00106086,0.00104073,0.00102668,0.000998534,0.000971825,0.00094644,0.000922279,0.000899265,0.000877317,0.000856367,0.000836353,0.000817221,0.000800596,0.000754496,0.124308,0.118385,0.112739,0.10737,0.102254,0.0973828,0.0927386,0.0883214,0.0841156,0.0801081,0.0762929,0.072659,0.0691967,0.0659014,0.062761,0.0597717,0.0569235,0.0542107,0.0516275,0.0491689,0.0468256,0.0445958,0.0424716,0.0404482,0.038521,0.0366859,0.0349389,0.0332743,0.0316891,0.0301795,0.028742,0.0273727,0.0260689,0.0248273,0.023645,0.0225188
4.48e-06,0.596557,0.576856,0.540301,0.516498,0.458113,0.422583,0.34062,0.260489,0.129892,0.0694746,0.0359813,0.0232985,0.0192832,0.0168419,0.014903,0.0132779,0.0118917,0.0106985,0.00966515,0.00876557,0.00797164,0.00726965,0.00664768,0.00609093,0.00567726,0.00530984,0.00498468,0.0046951,0.00443576,0.00420227,0.00399109,0.00379924,0.00362424,0.00346404,0.00331686,0.00318122,0.00305584,0.00293963,0.00283164,0.00273105,0.00263716,0.00254935,0.002467,0.00238969,0.00231695,0.0022484,0.00218368,0.00212252,0.0020646,0.0020097,0.00195758,0.00190804,0.00186088,0.00181596,0.00177311,0.00173219,0.00169307,0.00165565,0.0016198,0.00158542,0.00155243,0.00152074,0.00149028,0.00146097,0.00143275,0.00140556,0.00138658,0.00134857,0.00131249,0.00127821,0.00124557,0.00121449,0.00118484,0.00115654,0.00112951,0.00110367,0.00108122,0.00101895,0.124473,0.118542,0.112889,0.107512,0.10239,0.0975118,0.0928615,0.0884384,0.0842271,0.0802143,0.076394,0.0727553,0.0692884,0.0659887,0.0628441,0.0598509,0.056999,0.0542825,0.0516959,0.049234,0.0468877,0.0446548,0.0425279,0.0405018,0.038572,0.0367345,0.0349852,0.0333184,0.0317311,0.0302195,0.0287801,0.027409,0.0261035,0.0248602,0.0236763,0.0225487
6.05e-06,0.766691,0.705081,0.626329,0.584389,0.510542,0.468128,0.387095,0.30955,0.172706,0.0941751,0.0487263,0.0315139,0.0260763,0.0227717,0.0201477,0.0179488,0.0160737,0.0144597,0.0130622,0.0118458,0.0107723,0.00982324,0.00898239,0.00822984,0.0076707,0.00717412,0.00673465,0.00634329,0.00599279,0.00567726,0.0053919,0.00513263,0.0048962,0.00467971,0.00448087,0.0042976,0.00412818,0.00397113,0.00382525,0.00368931,0.00356246,0.00344378,0.00333254,0.00322807,0.0031298,0.0030372,0.00294976,0.00286714,0.00278888,0.0027147,0.00264429,0.00257735,0.00251367,0.00245298,0.00239509,0.00233981,0.00228697,0.00223639,0.00218797,0.00214152,0.00209696,0.00205416,0.002013,0.00197341,0.0019353,0.00189856,0.00187293,0.00182158,0.00177284,0.00172651,0.00168243,0.00164043,0.00160038,0.00156216,0.00152564,0.00149074,0.0014604,0.00137629,0.124695,0.118754,0.113091,0.107704,0.102573,0.0976863,0.0930276,0.0885967,0.0843778,0.0803578,0.0765307,0.0728854,0.0694123,0.0661068,0.0629566,0.059958,0.0571009,0.0543796,0.0517884,0.0493221,0.0469716,0.0447347,0.0426039,0.0405742,0.0386411,0.0368002,0.0350478,0.033378,0.0317878,0.0302735,0.0288316,0.0274581,0.0261502,0.0249047,0.0237187,0.022589
8.17e-06,0.963922,0.847319,0.722129,0.659052,0.568768,0.517674,0.4352,0.358892,0.224953,0.127483,0.0660548,0.0426552,0.0352834,0.0308057,0.0272517,0.0242741,0.0217356,0.0195511,0.01766,0.0160141,0.0145618,0.0132781,0.0121408,0.0111231,0.010367,0.00969559,0.00910143,0.0085723,0.00809849,0.00767194,0.00728618,0.00693576,0.00661615,0.00632357,0.00605481,0.00580709,0.00557811,0.00536584,0.00516863,0.00498491,0.00481344,0.00465307,0.00450271,0.00436154,0.00422873,0.00410357,0.00398544,0.00387376,0.00376804,0.00366779,0.00357263,0.00348219,0.00339611,0.00331411,0.00323587,0.00316119,0.00308978,0.00302145,0.00295601,0.00289326,0.00283305,0.00277521,0.00271961,0.00266612,0.0026146,0.00256498,0.00253034,0.00246095,0.0023951,0.00233251,0.00227293,0.00221618,0.00216207,0.00211041,0.00206107,0.00201391,0.00197292,0.00185928,0.124997,0.119041,0.113364,0.107965,0.102821,0.0979223,0.0932524,0.0888108,0.0845817,0.080552,0.0767156,0.0730615,0.0695801,0.0662665,0.0631087,0.0601029,0.0572389,0.054511,0.0519136,0.0494413,0.0470851,0.0448428,0.0427069,0.0406723,0.0387344,0.0368891,0.0351325,0.0334586,0.0318646,0.0303467,0.0289012,0.0275244,0.0262134,0.0249649,0.023776,0.0226436
1.1e-05,1.20145,1.01521,0.836732,0.747198,0.637865,0.575348,0.488517,0.410829,0.284906,0.171792,0.0896736,0.0577888,0.0477801,0.0417049,0.0368854,0.032849,0.0294091,0.0264497,0.0238885,0.0216598,0.0196936,0.0179561,0.0164169,0.0150397,0.0140167,0.0131084,0.0123046,0.0115888,0.010948,0.0103711,0.00984938,0.00937547,0.00894333,0.00854767,0.00818426,0.00784934,0.00753969,0.00725264,0.00698598,0.00673754,0.00650569,0.00628885,0.00608556,0.00589472,0.00571518,0.005546,0.00538628,0.00523531,0.00509238,0.00495686,0.00482825,0.00470598,0.00458961,0.00447877,0.00437303,0.00427207,0.00417555,0.0040832,0.00399475,0.00390993,0.00382854,0.00375037,0.00367522,0.00360293,0.00353332,0.00346622,0.0034194,0.00332562,0.00323661,0.00315201,0.00307147,0.00299477,0.00292162,0.0028518,0.00278511,0.00272136,0.00266596,0.00251238,0.125405,0.11943,0.113734,0.108317,0.103156,0.0982419,0.0935567,0.0891006,0.0848577,0.0808148,0.076966,0.0733,0.0698071,0.0664828,0.0633146,0.060299,0.0574257,0.0546889,0.052083,0.0496026,0.0472387,0.0449892,0.0428463,0.040805,0.0388608,0.0370095,0.0352471,0.0335678,0.0319686,0.0304457,0.0289955,0.0276142,0.0262989,0.0250464,0.0238536,0.0227175
