,0.343376,0.393362,0.421925,0.443347,0.493333,0.521896,0.571882,0.593304,0.64329,0.671853,0.700416,0.764683,0.793246,0.82895,0.864654,0.900358,0.936062,0.978907,1.01699,1.05508,1.10268,1.15029,1.19789,1.2455,1.30262,1.35975,1.41688,1.474,1.53589,1.59302,1.66442,1.73583,1.80724,1.87865,1.96434,2.05003,2.13572,2.22141,2.32138,2.40707,2.52132,2.62129,2.73554,2.8498,2.96405,3.09258,3.22112,3.36393,3.49247,3.64957,3.79238,3.96376,4.12086,4.29224,4.4779,4.66356,4.8635,5.06344,5.26339,5.49189,5.7204,5.97747,6.23454,6.4916,6.74867,7.03431,7.3485,7.63413,7.97689,8.29109,8.66241,9.00517,9.40505,9.77637,10.2048,10.6333,11.0903,11.5473
1e-08,0.00170349,0.133977,0.132366,0.0714706,0.0126688,0.0044774,0.000704539,0.000389908,0.000103487,5.98847e-05,3.69007e-05,1.49129e-05,9.83079e-06,6.8028e-06,4.90227e-06,3.45964e-06,2.66978e-06,2.01878e-06,1.53623e-06,1.25815e-06,1.00316e-06,7.86712e-07,6.55606e-07,5.37699e-07,4.49487e-07,3.81899e-07,3.29031e-07,2.8075e-07,2.43861e-07,2.11607e-07,1.85817e-07,1.6486e-07,1.47584e-07,1.30566e-07,1.16646e-07,1.05099e-07,9.39376e-08,8.59187e-08,7.79798e-08,7.03809e-08,6.47507e-08,5.92418e-08,5.45274e-08,4.99848e-08,4.60916e-08,4.27233e-08,3.94815e-08,3.66699e-08,3.39827e-08,3.16436e-08,2.95916e-08,2.76238e-08,2.57563e-08,2.41165e-08,2.26663e-08,2.12818e-08,1.99697e-08,1.88602e-08,1.7751e-08,1.67627e-08,1.57723e-08,1.48908e-08,1.41014e-08,1.3316e-08,1.26128e-08,1.19199e-08,1.1299e-08,1.06914e-08,1.01458e-08,9.65345e-09,9.17159e-09,8.70411e-09,8.28244e-09,7.87429e-09,7.50503e-09,7.14811e-09,6.80496e-09,1.16788e-08
1.32e-08,0.0022487,0.17763,0.175558,0.0946172,0.0167334,0.00591163,0.000930035,0.000514693,0.000136604,7.90482e-05,4.87091e-05,1.9685e-05,1.29766e-05,8.9797e-06,6.471e-06,4.56673e-06,3.52411e-06,2.6648e-06,2.02782e-06,1.66076e-06,1.32417e-06,1.03846e-06,8.65396e-07,7.09764e-07,5.93324e-07,5.04106e-07,4.34321e-07,3.7059e-07,3.21897e-07,2.79321e-07,2.45279e-07,2.17615e-07,1.94812e-07,1.72347e-07,1.53973e-07,1.38731e-07,1.23998e-07,1.13413e-07,1.02934e-07,9.29028e-08,8.5471e-08,7.81989e-08,7.19759e-08,6.59802e-08,6.08411e-08,5.63948e-08,5.21157e-08,4.84042e-08,4.48572e-08,4.17698e-08,3.90608e-08,3.64635e-08,3.39983e-08,3.18338e-08,2.99195e-08,2.8092e-08,2.636e-08,2.48953e-08,2.34315e-08,2.21267e-08,2.08194e-08,1.96557e-08,1.86138e-08,1.75771e-08,1.66489e-08,1.57344e-08,1.49146e-08,1.41126e-08,1.33924e-08,1.27425e-08,1.21065e-08,1.14894e-08,1.09328e-08,1.0394e-08,9.9066e-09,9.43548e-09,8.98258e-09,1.5416e-08
1.74e-08,0.00296843,0.235847,0.233223,0.125379,0.0221065,0.00780591,0.00122772,0.000679421,0.00018032,0.000104345,6.42963e-05,2.59843e-05,1.71292e-05,1.18532e-05,8.54172e-06,6.02809e-06,4.65183e-06,3.51754e-06,2.67673e-06,2.1922e-06,1.7479e-06,1.37077e-06,1.14233e-06,9.36885e-07,7.83189e-07,6.65421e-07,5.73303e-07,4.89178e-07,4.24904e-07,3.68703e-07,3.23768e-07,2.87251e-07,2.57151e-07,2.27499e-07,2.03244e-07,1.83125e-07,1.63677e-07,1.49705e-07,1.35872e-07,1.22632e-07,1.12822e-07,1.03223e-07,9.50084e-08,8.70937e-08,8.03103e-08,7.44414e-08,6.87926e-08,6.38939e-08,5.92115e-08,5.51359e-08,5.15602e-08,4.81317e-08,4.48779e-08,4.20206e-08,3.94937e-08,3.70815e-08,3.47953e-08,3.28618e-08,3.09295e-08,2.92073e-08,2.74817e-08,2.59457e-08,2.45701e-08,2.32017e-08,2.19765e-08,2.07693e-08,1.96874e-08,1.86286e-08,1.76781e-08,1.68202e-08,1.59805e-08,1.5166e-08,1.44313e-08,1.37201e-08,1.30768e-08,1.24548e-08,1.1857e-08,2.03492e-08
2.3e-08,0.00391863,0.313721,0.310486,0.166353,0.0292129,0.0103083,0.00162073,0.00089688,0.000238026,0.000137736,8.48718e-05,3.42994e-05,2.26106e-05,1.56463e-05,1.12751e-05,7.9571e-06,6.14042e-06,4.64315e-06,3.53328e-06,2.89371e-06,2.30724e-06,1.80942e-06,1.50787e-06,1.23669e-06,1.03381e-06,8.78357e-07,7.56763e-07,6.45716e-07,5.60874e-07,4.86689e-07,4.27374e-07,3.79172e-07,3.3944e-07,3.00298e-07,2.68283e-07,2.41725e-07,2.16054e-07,1.9761e-07,1.79352e-07,1.61873e-07,1.48925e-07,1.36254e-07,1.25411e-07,1.14964e-07,1.0601e-07,9.82625e-08,9.08063e-08,8.43398e-08,7.81592e-08,7.27796e-08,6.80596e-08,6.3534e-08,5.92389e-08,5.54672e-08,5.21317e-08,4.89477e-08,4.59298e-08,4.33777e-08,4.08269e-08,3.85536e-08,3.62759e-08,3.42483e-08,3.24326e-08,3.06263e-08,2.90091e-08,2.74156e-08,2.59874e-08,2.45898e-08,2.33351e-08,2.22026e-08,2.10944e-08,2.00192e-08,1.90494e-08,1.81107e-08,1.72613e-08,1.64404e-08,1.56512e-08,2.68609e-08
3.04e-08,0.00517304,0.418375,0.414475,0.22109,0.0386175,0.0136148,0.0021396,0.00118396,0.000314202,0.000181814,0.000112032,4.52754e-05,2.98461e-05,2.06531e-05,1.48832e-05,1.05033e-05,8.10536e-06,6.12896e-06,4.66394e-06,3.81969e-06,3.04555e-06,2.38843e-06,1.99039e-06,1.63243e-06,1.36463e-06,1.15943e-06,9.98928e-07,8.52344e-07,7.40352e-07,6.42427e-07,5.64134e-07,5.00507e-07,4.4806e-07,3.96394e-07,3.54133e-07,3.19078e-07,2.85191e-07,2.60846e-07,2.36744e-07,2.13673e-07,1.96581e-07,1.79855e-07,1.65543e-07,1.51752e-07,1.39933e-07,1.29707e-07,1.19864e-07,1.11328e-07,1.0317e-07,9.60691e-08,8.98388e-08,8.38647e-08,7.81953e-08,7.32169e-08,6.88138e-08,6.46109e-08,6.06273e-08,5.72585e-08,5.38915e-08,5.08907e-08,4.78841e-08,4.52078e-08,4.28111e-08,4.04268e-08,3.8292e-08,3.61884e-08,3.43033e-08,3.24585e-08,3.08023e-08,2.93075e-08,2.78446e-08,2.64254e-08,2.51452e-08,2.3906e-08,2.2785e-08,2.17014e-08,2.06596e-08,3.54565e-08
4.01e-08,0.00682925,0.559865,0.555405,0.29451,0.0510737,0.0179851,0.00282468,0.00156296,0.000414757,0.000239999,0.000147883,5.97638e-05,3.9397e-05,2.72622e-05,1.96458e-05,1.38645e-05,1.0699e-05,8.09022e-06,6.15639e-06,5.04199e-06,4.02012e-06,3.15272e-06,2.62732e-06,2.15481e-06,1.8013e-06,1.53044e-06,1.31858e-06,1.12509e-06,9.77266e-07,8.48004e-07,7.44653e-07,6.60668e-07,5.9144e-07,5.23241e-07,4.67455e-07,4.21182e-07,3.76452e-07,3.44316e-07,3.12501e-07,2.82048e-07,2.59486e-07,2.37409e-07,2.18516e-07,2.00312e-07,1.84711e-07,1.71212e-07,1.58221e-07,1.46953e-07,1.36185e-07,1.26811e-07,1.18587e-07,1.10701e-07,1.03218e-07,9.6646e-08,9.08342e-08,8.52862e-08,8.00278e-08,7.55812e-08,7.11367e-08,6.71757e-08,6.32068e-08,5.96741e-08,5.65106e-08,5.33633e-08,5.05453e-08,4.77687e-08,4.52803e-08,4.28452e-08,4.06589e-08,3.86859e-08,3.67547e-08,3.48813e-08,3.31916e-08,3.15559e-08,3.00761e-08,2.86458e-08,2.72706e-08,4.68025e-08
5.29e-08,0.00901609,0.752706,0.7481,0.393562,0.0675903,0.023764,0.0037293,0.00206334,0.000547499,0.000316806,0.000195209,7.88888e-05,5.20044e-05,3.59862e-05,2.59325e-05,1.83011e-05,1.41228e-05,1.06791e-05,8.12645e-06,6.65544e-06,5.30656e-06,4.16159e-06,3.46806e-06,2.84435e-06,2.37773e-06,2.02019e-06,1.74053e-06,1.48512e-06,1.28999e-06,1.11937e-06,9.82948e-07,8.72081e-07,7.807e-07,6.90677e-07,6.17039e-07,5.55959e-07,4.96915e-07,4.54498e-07,4.12504e-07,3.72304e-07,3.42523e-07,3.1338e-07,2.88441e-07,2.64413e-07,2.43818e-07,2.26001e-07,2.08851e-07,1.93979e-07,1.79764e-07,1.6739e-07,1.56535e-07,1.46126e-07,1.36247e-07,1.27573e-07,1.19901e-07,1.12578e-07,1.05637e-07,9.97671e-08,9.39004e-08,8.86719e-08,8.34332e-08,7.877e-08,7.45941e-08,7.04396e-08,6.67198e-08,6.30546e-08,5.977e-08,5.65556e-08,5.36699e-08,5.10654e-08,4.85163e-08,4.60434e-08,4.38129e-08,4.16538e-08,3.97005e-08,3.78125e-08,3.59973e-08,6.17792e-08
6.98e-08,0.0119038,1.01841,1.01476,0.528034,0.0895225,0.0314102,0.00492392,0.00272402,0.000722733,0.000418197,0.000257682,0.000104134,6.86462e-05,4.75021e-05,3.42311e-05,2.41576e-05,1.86422e-05,1.40964e-05,1.07269e-05,8.78519e-06,7.00468e-06,5.49331e-06,4.57785e-06,3.75455e-06,3.1386e-06,2.66666e-06,2.2975e-06,1.96037e-06,1.70279e-06,1.47757e-06,1.29749e-06,1.15115e-06,1.03052e-06,9.11696e-07,8.14496e-07,7.33869e-07,6.55931e-07,5.99937e-07,5.44504e-07,4.91442e-07,4.52131e-07,4.13662e-07,3.80743e-07,3.49025e-07,3.2184e-07,2.98321e-07,2.75684e-07,2.56052e-07,2.37288e-07,2.20956e-07,2.06626e-07,1.92886e-07,1.79847e-07,1.68396e-07,1.5827e-07,1.48603e-07,1.39441e-07,1.31693e-07,1.23949e-07,1.17047e-07,1.10132e-07,1.03976e-07,9.84643e-08,9.29802e-08,8.80704e-08,8.32324e-08,7.88965e-08,7.46536e-08,7.08443e-08,6.74063e-08,6.40416e-08,6.07774e-08,5.7833e-08,5.49831e-08,5.24047e-08,4.99124e-08,4.75164e-08,8.15485e-08
9.22e-08,0.0157174,1.38982,1.38967,0.712434,0.118703,0.0415341,0.00650176,0.00359642,0.000954069,0.000552042,0.00034015,0.000137459,9.06138e-05,6.27031e-05,4.51852e-05,3.18881e-05,2.46077e-05,1.86073e-05,1.41596e-05,1.15965e-05,9.24621e-06,7.25117e-06,6.04276e-06,4.95601e-06,4.14295e-06,3.51998e-06,3.0327e-06,2.58768e-06,2.24768e-06,1.95039e-06,1.71269e-06,1.51952e-06,1.36029e-06,1.20344e-06,1.07513e-06,9.68705e-07,8.6583e-07,7.91914e-07,7.18746e-07,6.48703e-07,5.96811e-07,5.46032e-07,5.02582e-07,4.60712e-07,4.24829e-07,3.93783e-07,3.63902e-07,3.37987e-07,3.13221e-07,2.91661e-07,2.72746e-07,2.5461e-07,2.37396e-07,2.22283e-07,2.08916e-07,1.96156e-07,1.84062e-07,1.73834e-07,1.63612e-07,1.54502e-07,1.45374e-07,1.37249e-07,1.29973e-07,1.22734e-07,1.16253e-07,1.09867e-07,1.04143e-07,9.85426e-08,9.35145e-08,8.89763e-08,8.45349e-08,8.02261e-08,7.63396e-08,7.25776e-08,6.91741e-08,6.58844e-08,6.27217e-08,1.07644e-07
