,0.29147,0.3112,0.33093,0.35067,0.3704,0.4,0.41973,0.44933,0.46907,0.49867,0.5184,0.548,0.56773,0.59733,0.61707,0.64667,0.6664,0.696,0.71573,0.74533,0.77493,0.79467,0.82427,0.86373,0.89333,0.9328,0.97227,1.01173,1.06107,1.10053,1.14987,1.1992,1.24853,1.29787,1.35707,1.41627,1.47547,1.53467,1.60373,1.66293,1.732,1.81093,1.88987,1.9688,2.04773,2.13653,2.22533,2.31413,2.4128,2.52133,2.62,2.72853,2.84693,2.96533,3.0936,3.22187,3.36,3.49813,3.64613,3.804,3.96187,4.1296,4.29733,4.4848,4.67227,4.8696,5.06693,5.284,5.51093,5.73787,5.97467,6.2312
1e-06,0.00308686,0.00482771,0.00519064,0.00470633,0.00393361,0.00261513,0.00185277,0.00107704,0.000768801,0.000497896,0.000391911,0.000292247,0.000249035,0.000204039,0.000182492,0.000158152,0.00014562,0.000130615,0.000122484,0.000112338,0.000104041,9.92965e-05,9.31024e-05,8.61861e-05,8.17749e-05,7.66894e-05,7.23207e-05,6.85154e-05,6.43837e-05,6.14801e-05,5.82552e-05,5.53989e-05,5.28456e-05,5.0545e-05,4.80632e-05,4.58366e-05,4.38246e-05,4.19952e-05,4.00578e-05,3.85428e-05,3.69217e-05,3.52362e-05,3.37043e-05,3.2305e-05,3.1021e-05,2.96969e-05,2.8484e-05,2.73687e-05,2.62296e-05,2.50833e-05,2.41262e-05,2.31555e-05,2.2183e-05,2.12899e-05,2.04008e-05,1.95836e-05,1.87743e-05,1.80297e-05,1.72952e-05,1.65753e-05,1.59132e-05,1.52655e-05,1.46687e-05,1.40547e-05,1.34903e-05,1.29432e-05,1.24389e-05,1.19278e-05,1.14365e-05,1.09842e-05,1.0549e-05,1.01148e-05
1.15e-06,0.00354986,0.0055518,0.00596915,0.00541223,0.00452362,0.00300739,0.00213068,0.00123859,0.000884121,0.000572581,0.000450698,0.000336084,0.000286389,0.000234645,0.000209866,0.000181875,0.000167462,0.000150207,0.000140856,0.000129188,0.000119647,0.000114191,0.000107068,9.91138e-05,9.4041e-05,8.81928e-05,8.31688e-05,7.87927e-05,7.40412e-05,7.07021e-05,6.69934e-05,6.37088e-05,6.07725e-05,5.81267e-05,5.52727e-05,5.27121e-05,5.03983e-05,4.82944e-05,4.60665e-05,4.43241e-05,4.24599e-05,4.05216e-05,3.87599e-05,3.71507e-05,3.56741e-05,3.41514e-05,3.27567e-05,3.14739e-05,3.0164e-05,2.88458e-05,2.77451e-05,2.66288e-05,2.55105e-05,2.44833e-05,2.34609e-05,2.25211e-05,2.15905e-05,2.07342e-05,1.98895e-05,1.90616e-05,1.83001e-05,1.75553e-05,1.6869e-05,1.6163e-05,1.55138e-05,1.48847e-05,1.43047e-05,1.37169e-05,1.3152e-05,1.26319e-05,1.21313e-05,1.1632e-05
1.32e-06,0.00407457,0.00637237,0.00685146,0.00621225,0.00519233,0.00345194,0.00244564,0.00142168,0.00101482,0.000657221,0.000517321,0.000385765,0.000328726,0.00026933,0.00024089,0.00020876,0.000192218,0.000172412,0.000161679,0.000148285,0.000137335,0.000131071,0.000122896,0.000113766,0.000107942,0.00010123,9.54633e-05,9.04402e-05,8.49864e-05,8.11537e-05,7.68968e-05,7.31265e-05,6.97562e-05,6.67193e-05,6.34433e-05,6.05042e-05,5.78484e-05,5.54336e-05,5.28763e-05,5.08764e-05,4.87366e-05,4.65117e-05,4.44896e-05,4.26425e-05,4.09477e-05,3.91998e-05,3.75989e-05,3.61266e-05,3.4623e-05,3.31099e-05,3.18465e-05,3.05653e-05,2.92816e-05,2.81026e-05,2.6929e-05,2.58503e-05,2.47821e-05,2.37992e-05,2.28296e-05,2.18793e-05,2.10053e-05,2.01504e-05,1.93626e-05,1.85522e-05,1.78071e-05,1.7085e-05,1.64193e-05,1.57446e-05,1.50962e-05,1.44992e-05,1.39246e-05,1.33515e-05
1.52e-06,0.00469184,0.00733774,0.0078894,0.00715343,0.00597902,0.00397495,0.00281619,0.00163709,0.00116858,0.000756799,0.000595703,0.000444215,0.000378532,0.000310139,0.000277387,0.000240391,0.00022134,0.000198533,0.000186176,0.000170753,0.000158143,0.00015093,0.000141515,0.000131002,0.000124297,0.000116568,0.000109927,0.000104143,9.78634e-05,9.34499e-05,8.85474e-05,8.42065e-05,8.03253e-05,7.68284e-05,7.30558e-05,6.96715e-05,6.6613e-05,6.38327e-05,6.08876e-05,5.85849e-05,5.6121e-05,5.35587e-05,5.12305e-05,4.91036e-05,4.71517e-05,4.51392e-05,4.32957e-05,4.16002e-05,3.9869e-05,3.81263e-05,3.66718e-05,3.51963e-05,3.3718e-05,3.23606e-05,3.10091e-05,2.9767e-05,2.85368e-05,2.74052e-05,2.62886e-05,2.51944e-05,2.41879e-05,2.32034e-05,2.22964e-05,2.13632e-05,2.05052e-05,1.96737e-05,1.89071e-05,1.81302e-05,1.73835e-05,1.66959e-05,1.60344e-05,1.53744e-05
1.75e-06,0.0054017,0.00844786,0.00908303,0.00823577,0.0068837,0.00457644,0.00324233,0.00188481,0.0013454,0.000871314,0.000685841,0.00051143,0.000435809,0.000357067,0.000319361,0.000276766,0.000254833,0.000228575,0.000214347,0.00019659,0.000182072,0.000173769,0.000162928,0.000150825,0.000143106,0.000134206,0.000126561,0.000119901,0.000112671,0.00010759,0.000101946,9.69481e-05,9.24799e-05,8.84536e-05,8.41101e-05,8.0214e-05,7.66929e-05,7.34913e-05,7.0101e-05,6.74494e-05,6.46125e-05,6.1663e-05,5.89823e-05,5.65337e-05,5.42866e-05,5.19692e-05,4.98468e-05,4.78951e-05,4.59017e-05,4.38957e-05,4.22207e-05,4.0522e-05,3.88203e-05,3.72569e-05,3.57012e-05,3.42711e-05,3.2855e-05,3.1552e-05,3.02666e-05,2.90066e-05,2.78479e-05,2.67145e-05,2.56701e-05,2.45958e-05,2.36079e-05,2.26506e-05,2.1768e-05,2.08736e-05,2.00138e-05,1.92224e-05,1.84606e-05,1.77007e-05
2.01e-06,0.00620412,0.00970269,0.0104323,0.00945927,0.00790638,0.00525634,0.00372403,0.00216483,0.00154528,0.00100077,0.000787738,0.000587414,0.000500558,0.000410116,0.000366808,0.000317884,0.000292693,0.000262534,0.000246192,0.000225798,0.000209122,0.000199585,0.000187134,0.000173233,0.000164367,0.000154145,0.000145364,0.000137715,0.000129411,0.000123574,0.000117092,0.000111351,0.000106219,0.000101595,9.66065e-05,9.2131e-05,8.80872e-05,8.44099e-05,8.0516e-05,7.74705e-05,7.42122e-05,7.08245e-05,6.77453e-05,6.49325e-05,6.23521e-05,5.96906e-05,5.72525e-05,5.50109e-05,5.27211e-05,5.04171e-05,4.84936e-05,4.65423e-05,4.45879e-05,4.27923e-05,4.10053e-05,3.93628e-05,3.77362e-05,3.62397e-05,3.47633e-05,3.33161e-05,3.19852e-05,3.06836e-05,2.9484e-05,2.82499e-05,2.71154e-05,2.60158e-05,2.50021e-05,2.39748e-05,2.29874e-05,2.20782e-05,2.12033e-05,2.03306e-05
2.31e-06,0.00712993,0.0111505,0.011989,0.0108709,0.0090864,0.00604086,0.00427984,0.00248794,0.00177592,0.00115013,0.000905308,0.000675086,0.000575267,0.000471327,0.000421555,0.000365329,0.000336379,0.000301718,0.000282936,0.000259499,0.000240334,0.000229374,0.000215065,0.000199089,0.000188899,0.000177152,0.00016706,0.00015827,0.000148725,0.000142019,0.000134568,0.000127971,0.000122073,0.000116759,0.000111025,0.000105882,0.000101234,9.70086e-05,9.25329e-05,8.90336e-05,8.52887e-05,8.13954e-05,7.78568e-05,7.46242e-05,7.16583e-05,6.85995e-05,6.57978e-05,6.32214e-05,6.059e-05,5.79421e-05,5.57312e-05,5.3489e-05,5.12427e-05,4.91792e-05,4.71255e-05,4.52379e-05,4.33684e-05,4.16484e-05,3.99517e-05,3.82887e-05,3.67592e-05,3.52632e-05,3.38844e-05,3.24663e-05,3.11625e-05,2.98987e-05,2.87338e-05,2.7553e-05,2.64182e-05,2.53735e-05,2.43679e-05,2.3365e-05
2.66e-06,0.00821003,0.0128395,0.0138051,0.0125178,0.0104631,0.00695612,0.0049283,0.00286489,0.00204499,0.00132439,0.00104247,0.00077737,0.000662427,0.000542738,0.000485425,0.000420681,0.000387344,0.000347433,0.000325805,0.000298817,0.000276748,0.000264127,0.000247651,0.000229253,0.00021752,0.000203992,0.000192372,0.00018225,0.000171259,0.000163536,0.000154958,0.00014736,0.000140568,0.000134449,0.000127847,0.000121924,0.000116573,0.000111706,0.000106553,0.000102523,9.8211e-05,9.37275e-05,8.96528e-05,8.59306e-05,8.25152e-05,7.89932e-05,7.57671e-05,7.28e-05,6.97703e-05,6.67212e-05,6.41751e-05,6.15932e-05,5.90065e-05,5.66305e-05,5.42657e-05,5.20922e-05,4.99395e-05,4.79589e-05,4.6005e-05,4.40901e-05,4.23287e-05,4.0606e-05,3.90185e-05,3.73854e-05,3.58839e-05,3.44288e-05,3.30873e-05,3.17277e-05,3.0421e-05,2.92178e-05,2.806e-05,2.69051e-05
3.06e-06,0.00944431,0.0147696,0.0158805,0.0144,0.0120364,0.00800213,0.00566938,0.00329568,0.00235251,0.00152355,0.00119923,0.000894266,0.000762039,0.000624352,0.000558422,0.00048394,0.00044559,0.000399677,0.000374797,0.00034375,0.000318364,0.000303844,0.000284891,0.000263727,0.000250229,0.000234667,0.0002213,0.000209656,0.000197012,0.000188127,0.00017826,0.000169519,0.000161706,0.000154666,0.000147072,0.000140259,0.000134102,0.000128504,0.000122576,0.00011794,0.00011298,0.000107822,0.000103134,9.88523e-05,9.49236e-05,9.08718e-05,8.71603e-05,8.37475e-05,8.02619e-05,7.67541e-05,7.38255e-05,7.08553e-05,6.78794e-05,6.51463e-05,6.24257e-05,5.99252e-05,5.74491e-05,5.51704e-05,5.2923e-05,5.072e-05,4.86939e-05,4.67121e-05,4.48858e-05,4.30072e-05,4.128e-05,3.9606e-05,3.80628e-05,3.64986e-05,3.49955e-05,3.36114e-05,3.22796e-05,3.0951e-05
3.52e-06,0.0108637,0.0169891,0.018267,0.0165643,0.0138456,0.00920502,0.00652162,0.00379111,0.00270615,0.00175257,0.00137951,0.0010287,0.000876591,0.000718207,0.000642365,0.000556688,0.000512574,0.000459757,0.000431138,0.000395425,0.000366221,0.00034952,0.000327716,0.000303371,0.000287844,0.000269944,0.000254566,0.000241172,0.000226629,0.000216408,0.000205056,0.000195002,0.000186015,0.000177917,0.000169181,0.000161343,0.000154261,0.000147822,0.000141002,0.000135669,0.000129963,0.00012403,0.000118638,0.000113712,0.000109193,0.000104532,0.000100263,9.63369e-05,9.23271e-05,8.82921e-05,8.49233e-05,8.15064e-05,7.80833e-05,7.49396e-05,7.18099e-05,6.89335e-05,6.60851e-05,6.3464e-05,6.08784e-05,5.83445e-05,5.60137e-05,5.37341e-05,5.16333e-05,4.94722e-05,4.74854e-05,4.55598e-05,4.37845e-05,4.19853e-05,4.02563e-05,3.86641e-05,3.7132e-05,3.56036e-05
4.05e-06,0.0124989,0.019546,0.0210165,0.0190579,0.0159302,0.010591,0.00750354,0.00436191,0.0031136,0.00201646,0.00158721,0.00118358,0.00100857,0.000826343,0.000739082,0.000640506,0.000589748,0.000528981,0.000496053,0.000454962,0.000421362,0.000402145,0.000377059,0.000349049,0.000331184,0.000310588,0.000292895,0.000277484,0.000260751,0.000248991,0.000235931,0.000224363,0.000214022,0.000204704,0.000194654,0.000185636,0.000177487,0.000170079,0.000162232,0.000156096,0.000149531,0.000142705,0.000136501,0.000130834,0.000125634,0.000120271,0.000115359,0.000110842,0.000106228,0.000101586,9.77098e-05,9.37788e-05,8.98401e-05,8.62228e-05,8.26222e-05,7.93127e-05,7.60351e-05,7.30195e-05,7.00448e-05,6.71289e-05,6.44474e-05,6.18245e-05,5.94075e-05,5.69211e-05,5.46349e-05,5.24194e-05,5.03769e-05,4.83068e-05,4.63175e-05,4.44855e-05,4.27227e-05,4.09643e-05
4.65e-06,0.0143499,0.0224402,0.0241287,0.0218807,0.01829,0.0121599,0.00861513,0.00500811,0.00357485,0.00231517,0.00182236,0.00135892,0.00115799,0.000948762,0.000848574,0.000735394,0.000677117,0.000607347,0.000569541,0.000522362,0.000483783,0.000461721,0.000432919,0.000400759,0.000380247,0.0003566,0.000336286,0.000318592,0.00029938,0.000285879,0.000270882,0.000257601,0.000245728,0.000235031,0.00022349,0.000213137,0.000203781,0.000195275,0.000186266,0.000179221,0.000171684,0.000163846,0.000156723,0.000150216,0.000144246,0.000138089,0.000132449,0.000127263,0.000121966,0.000116636,0.000112185,0.000107671,0.00010315,9.89962e-05,9.48623e-05,9.10626e-05,8.72994e-05,8.38369e-05,8.04215e-05,7.70738e-05,7.3995e-05,7.09835e-05,6.82083e-05,6.53536e-05,6.27289e-05,6.01852e-05,5.784e-05,5.54634e-05,5.31792e-05,5.1076e-05,4.9052e-05,4.7033e-05
5.35e-06,0.0165093,0.0258164,0.0277593,0.0251738,0.0210431,0.0139903,0.00991196,0.00576198,0.004113,0.00266368,0.00209667,0.00156349,0.00133231,0.00109158,0.000976313,0.000846096,0.000779046,0.000698774,0.000655276,0.000600994,0.00055661,0.000531226,0.000498088,0.000461087,0.000437488,0.000410281,0.000386909,0.000366551,0.000344447,0.000328912,0.00031166,0.000296379,0.000282719,0.000270411,0.000257134,0.000245222,0.000234458,0.00022467,0.000214306,0.0002062,0.000197528,0.00018851,0.000180315,0.000172829,0.000165959,0.000158876,0.000152387,0.00014642,0.000140326,0.000134193,0.000129073,0.00012388,0.000118677,0.000113899,0.000109142,0.00010477,0.000100441,9.64574e-05,9.25277e-05,8.86763e-05,8.5134e-05,8.16691e-05,7.84762e-05,7.51916e-05,7.21718e-05,6.92451e-05,6.65471e-05,6.38126e-05,6.11845e-05,5.87646e-05,5.64358e-05,5.41131e-05
6.15e-06,0.0189768,0.0296743,0.031908,0.0289369,0.0241894,0.0160822,0.0113941,0.00662358,0.004728,0.00306198,0.00241018,0.00179727,0.00153152,0.0012548,0.0011223,0.000972612,0.000895536,0.00080326,0.000753258,0.00069086,0.000639839,0.000610659,0.000572567,0.000530032,0.000502905,0.000471629,0.000444762,0.000421361,0.000395951,0.000378095,0.000358261,0.000340696,0.000324994,0.000310845,0.000295583,0.000281889,0.000269516,0.000258265,0.000246351,0.000237033,0.000227064,0.000216698,0.000207277,0.000198671,0.000190775,0.000182632,0.000175173,0.000168314,0.000161309,0.000154259,0.000148373,0.000142403,0.000136423,0.00013093,0.000125462,0.000120437,0.00011546,0.000110881,0.000106363,0.000101936,9.7864e-05,9.3881e-05,9.02105e-05,8.6435e-05,8.29635e-05,7.95993e-05,7.64978e-05,7.33543e-05,7.03332e-05,6.75516e-05,6.48748e-05,6.22046e-05
7.08e-06,0.0218449,0.0341584,0.03673,0.0333113,0.0278467,0.018514,0.013117,0.00762514,0.00544295,0.003525,0.00277465,0.00206905,0.00176311,0.00144455,0.00129201,0.00111968,0.00103095,0.000924725,0.000867162,0.000795329,0.000736592,0.000702999,0.000659147,0.000610181,0.000578951,0.000542947,0.000512018,0.000485077,0.000455826,0.000435268,0.000412436,0.000392215,0.000374138,0.00035785,0.000340279,0.000324515,0.000310271,0.000297319,0.000283602,0.000272876,0.000261399,0.000249466,0.000238621,0.000228713,0.000219624,0.000210249,0.000201662,0.000193766,0.000185701,0.000177585,0.000170809,0.000163937,0.000157052,0.000150728,0.000144434,0.000138649,0.000132919,0.000127647,0.000122447,0.00011735,0.000112663,0.000108077,0.000103852,9.95053e-05,9.55089e-05,9.16359e-05,8.80653e-05,8.44467e-05,8.09688e-05,7.77665e-05,7.46848e-05,7.16109e-05
