,0.342,0.35905,0.3761,0.39315,0.4102,0.42725,0.4443,0.46135,0.49545,0.5125,0.52955,0.56365,0.5807,0.6148,0.63185,0.66595,0.70005,0.73415,0.76825,0.80235,0.83645,0.87055,0.9217,0.9558,0.9899,1.04105,1.0922,1.14335,1.1945,1.24565,1.2968,1.365,1.41615,1.48435,1.54232,1.62416,1.706,1.76056,1.8424,1.92424,2.03336,2.1152,2.19704,2.30616,2.41528,2.5244,2.63352,2.76992,2.87904,3.01544,3.15184,3.28824,3.45192,3.58832,3.752,3.91568,4.10664,4.2976,4.48856,4.67952,4.89776,5.116,5.33424,5.57976,5.85256,6.09808,6.37088,6.67096,6.97104,7.27112,7.59848,7.95312,8.30776,8.68968,9.0716,9.4808,9.91728,10.3538,10.8175,11.3086,11.8269,12.3725
1e-08,26.627,24.9445,22.2154,16.913,1.37134,0.43536,0.15721,0.0615716,0.0121043,0.00611193,0.00335533,0.00126173,0.000848946,0.000443477,0.000267999,0.00021717,0.000152041,0.000113821,8.96357e-05,7.33933e-05,6.1949e-05,5.35619e-05,4.45924e-05,4.01911e-05,3.51238e-05,3.24722e-05,2.9258e-05,2.67087e-05,2.4636e-05,2.29155e-05,2.14618e-05,1.98373e-05,1.84834e-05,1.76049e-05,1.66769e-05,1.55999e-05,1.46741e-05,1.41245e-05,1.33832e-05,1.27252e-05,1.19528e-05,1.14384e-05,1.08234e-05,1.04073e-05,9.90326e-06,9.44874e-06,9.03635e-06,8.57125e-06,8.23368e-06,7.84877e-06,7.49936e-06,7.18061e-06,6.83299e-06,6.56859e-06,6.27761e-06,5.96966e-06,5.7291e-06,5.47217e-06,5.23752e-06,5.02238e-06,4.79734e-06,4.59176e-06,4.38071e-06,4.1883e-06,4.01217e-06,3.83314e-06,3.66946e-06,3.51924e-06,3.36762e-06,3.21649e-06,3.07837e-06,2.95165e-06,2.81642e-06,2.7015e-06,2.58005e-06,2.46906e-06,2.36723e-06,2.26154e-06,2.16489e-06,2.07118e-06,1.98069e-06,1.89778e-06
1.2e-08,27.0667,25.4082,22.8426,18.5032,1.76826,0.532372,0.189912,0.0740816,0.0145332,0.0073364,0.00402704,0.00151417,0.00101878,0.000532184,0.000321604,0.000260607,0.00018245,0.000136586,0.000107563,8.80724e-05,7.43391e-05,6.42745e-05,5.3511e-05,4.82295e-05,4.21486e-05,3.89668e-05,3.51097e-05,3.20505e-05,2.95633e-05,2.74987e-05,2.57542e-05,2.38048e-05,2.21802e-05,2.1126e-05,2.00123e-05,1.872e-05,1.76089e-05,1.69494e-05,1.60598e-05,1.52703e-05,1.43434e-05,1.37261e-05,1.29881e-05,1.24888e-05,1.18839e-05,1.13385e-05,1.08436e-05,1.02855e-05,9.88044e-06,9.41852e-06,8.99923e-06,8.61672e-06,8.19959e-06,7.8823e-06,7.53315e-06,7.1636e-06,6.87492e-06,6.56659e-06,6.28505e-06,6.02686e-06,5.75683e-06,5.51013e-06,5.25686e-06,5.02596e-06,4.81461e-06,4.59977e-06,4.40336e-06,4.22309e-06,4.04115e-06,3.85979e-06,3.69405e-06,3.54198e-06,3.3797e-06,3.2418e-06,3.09605e-06,2.96287e-06,2.84069e-06,2.71385e-06,2.59788e-06,2.48542e-06,2.37683e-06,2.27734e-06
1.44e-08,27.4722,25.8324,23.3961,19.6216,2.35644,0.654086,0.229746,0.0891821,0.0174513,0.00880671,0.00483338,0.00181714,0.0012226,0.00063864,0.00038593,0.000312733,0.000218944,0.000163904,0.000129077,0.000105687,8.92071e-05,7.71296e-05,6.42134e-05,5.78756e-05,5.05785e-05,4.67602e-05,4.21317e-05,3.84606e-05,3.5476e-05,3.29984e-05,3.09051e-05,2.85658e-05,2.66162e-05,2.53512e-05,2.40148e-05,2.2464e-05,2.11307e-05,2.03393e-05,1.92719e-05,1.83243e-05,1.72121e-05,1.64713e-05,1.55857e-05,1.49866e-05,1.42607e-05,1.36062e-05,1.30124e-05,1.23426e-05,1.18566e-05,1.13022e-05,1.07991e-05,1.03401e-05,9.83954e-06,9.45878e-06,9.03978e-06,8.59633e-06,8.24993e-06,7.87994e-06,7.54206e-06,7.23225e-06,6.90821e-06,6.61215e-06,6.30824e-06,6.03117e-06,5.77754e-06,5.51974e-06,5.28403e-06,5.06772e-06,4.84938e-06,4.63175e-06,4.43286e-06,4.25038e-06,4.05565e-06,3.89016e-06,3.71528e-06,3.55545e-06,3.40882e-06,3.25663e-06,3.11746e-06,2.98252e-06,2.8522e-06,2.73281e-06
1.728e-08,27.8483,26.2233,23.8918,20.501,3.37206,0.808664,0.278434,0.107432,0.0209581,0.0105724,0.00580141,0.00218077,0.00146721,0.000766394,0.000463127,0.000375287,0.000262735,0.000196686,0.000154893,0.000126826,0.000107049,9.25558e-05,7.70562e-05,6.94508e-05,6.06943e-05,5.61124e-05,5.05582e-05,4.61529e-05,4.25713e-05,3.95982e-05,3.70862e-05,3.4279e-05,3.19396e-05,3.04215e-05,2.88178e-05,2.69568e-05,2.53569e-05,2.44072e-05,2.31263e-05,2.19893e-05,2.06546e-05,1.97656e-05,1.8703e-05,1.79839e-05,1.71129e-05,1.63275e-05,1.56149e-05,1.48112e-05,1.42279e-05,1.35627e-05,1.29589e-05,1.24081e-05,1.18075e-05,1.13506e-05,1.08478e-05,1.03156e-05,9.89994e-06,9.45593e-06,9.0505e-06,8.67872e-06,8.28985e-06,7.9346e-06,7.56988e-06,7.23742e-06,6.93306e-06,6.62369e-06,6.34085e-06,6.08126e-06,5.81927e-06,5.55811e-06,5.31945e-06,5.10047e-06,4.86678e-06,4.66821e-06,4.45834e-06,4.26655e-06,4.0906e-06,3.90796e-06,3.74095e-06,3.57902e-06,3.42265e-06,3.27937e-06
2.0736e-08,28.1991,26.5859,24.3411,21.2317,13.7668,1.00831,0.338192,0.129521,0.0251739,0.0126931,0.00696363,0.00261722,0.00176078,0.000919711,0.000555767,0.000450355,0.000315287,0.000236026,0.000185873,0.000152191,0.00012846,0.000111068,9.24679e-05,8.33414e-05,7.28334e-05,6.73351e-05,6.06699e-05,5.53836e-05,5.10857e-05,4.7518e-05,4.45036e-05,4.11349e-05,3.83275e-05,3.65058e-05,3.45814e-05,3.23482e-05,3.04284e-05,2.92887e-05,2.77516e-05,2.63871e-05,2.47855e-05,2.37187e-05,2.24436e-05,2.15807e-05,2.05355e-05,1.9593e-05,1.87379e-05,1.77734e-05,1.70735e-05,1.62753e-05,1.55508e-05,1.48898e-05,1.4169e-05,1.36207e-05,1.30173e-05,1.23787e-05,1.18799e-05,1.13471e-05,1.08606e-05,1.04145e-05,9.94785e-06,9.52154e-06,9.0839e-06,8.68491e-06,8.31968e-06,7.94845e-06,7.60904e-06,7.29754e-06,6.98314e-06,6.66975e-06,6.38334e-06,6.12058e-06,5.84015e-06,5.60186e-06,5.35001e-06,5.11986e-06,4.90872e-06,4.68956e-06,4.48916e-06,4.29483e-06,4.10718e-06,3.93526e-06
2.4883e-08,28.5275,26.9238,24.7519,21.8594,16.6253,1.27245,0.411926,0.156305,0.030243,0.0152407,0.00835909,0.00314105,0.00211311,0.0011037,0.000666935,0.000540435,0.000378348,0.000283233,0.000223049,0.00018263,0.000154151,0.000133281,0.000110961,0.000100009,8.73998e-05,8.08017e-05,7.28036e-05,6.64599e-05,6.13026e-05,5.70213e-05,5.3404e-05,4.93616e-05,4.59928e-05,4.38067e-05,4.14974e-05,3.88177e-05,3.65138e-05,3.51462e-05,3.33017e-05,3.16644e-05,2.97425e-05,2.84623e-05,2.69322e-05,2.58967e-05,2.46425e-05,2.35115e-05,2.24853e-05,2.1328e-05,2.04881e-05,1.95302e-05,1.86608e-05,1.78676e-05,1.70027e-05,1.63447e-05,1.56207e-05,1.48544e-05,1.42558e-05,1.36165e-05,1.30327e-05,1.24973e-05,1.19374e-05,1.14258e-05,1.09006e-05,1.04218e-05,9.98357e-06,9.53808e-06,9.1308e-06,8.75699e-06,8.37972e-06,8.00366e-06,7.65997e-06,7.34465e-06,7.00814e-06,6.72219e-06,6.41998e-06,6.1438e-06,5.89043e-06,5.62744e-06,5.38696e-06,5.15377e-06,4.92859e-06,4.72228e-06
2.986e-08,28.8363,27.2402,25.1305,22.4108,18.0837,1.63536,0.503544,0.18886,0.0363421,0.0183021,0.0100351,0.00376991,0.00253606,0.00132453,0.000800363,0.00064855,0.000454035,0.000339889,0.000267665,0.000219161,0.000184985,0.00015994,0.000133156,0.000120014,0.000104881,9.69634e-05,8.73661e-05,7.97533e-05,7.35643e-05,6.84267e-05,6.40858e-05,5.92349e-05,5.51922e-05,5.25689e-05,4.97978e-05,4.65819e-05,4.38173e-05,4.21761e-05,3.99627e-05,3.79978e-05,3.56915e-05,3.41553e-05,3.23191e-05,3.10766e-05,2.95714e-05,2.82142e-05,2.69828e-05,2.5594e-05,2.45861e-05,2.34367e-05,2.23933e-05,2.14415e-05,2.04035e-05,1.9614e-05,1.87452e-05,1.78256e-05,1.71073e-05,1.634e-05,1.56394e-05,1.4997e-05,1.43251e-05,1.37112e-05,1.30809e-05,1.25064e-05,1.19805e-05,1.14459e-05,1.09571e-05,1.05085e-05,1.00558e-05,9.60454e-06,9.19212e-06,8.81373e-06,8.40991e-06,8.06675e-06,7.70409e-06,7.37268e-06,7.06863e-06,6.75304e-06,6.46445e-06,6.18462e-06,5.91441e-06,5.66682e-06
3.5832e-08,29.1276,27.5376,25.4814,22.9032,19.13,2.16627,0.61838,0.228534,0.0436828,0.0219813,0.0120479,0.00452476,0.00304366,0.00158956,0.000960478,0.000778288,0.000544855,0.000407875,0.000321203,0.000262996,0.000221985,0.000191929,0.000159788,0.000144016,0.000125859,0.000116357,0.00010484,9.57043e-05,8.82774e-05,8.21124e-05,7.69034e-05,7.10819e-05,6.62309e-05,6.30829e-05,5.97575e-05,5.58985e-05,5.2581e-05,5.06115e-05,4.79554e-05,4.55976e-05,4.283e-05,4.09866e-05,3.8783e-05,3.7292e-05,3.54858e-05,3.38572e-05,3.23796e-05,3.07129e-05,2.95034e-05,2.81241e-05,2.68721e-05,2.57299e-05,2.44843e-05,2.35369e-05,2.24943e-05,2.13907e-05,2.05288e-05,1.96081e-05,1.87674e-05,1.79965e-05,1.71901e-05,1.64535e-05,1.56972e-05,1.50077e-05,1.43766e-05,1.37351e-05,1.31486e-05,1.26103e-05,1.2067e-05,1.15255e-05,1.10306e-05,1.05765e-05,1.00919e-05,9.68014e-06,9.24494e-06,8.84724e-06,8.48239e-06,8.10367e-06,7.75736e-06,7.42157e-06,7.09731e-06,6.80021e-06
4.2998e-08,29.4031,27.8181,25.8084,23.3483,19.9604,3.05439,0.76404,0.277051,0.0525237,0.0264046,0.0144657,0.00543089,0.00365294,0.00190761,0.00115263,0.000933978,0.00065384,0.000489457,0.000385446,0.000315597,0.000266381,0.000230315,0.000191745,0.00017282,0.00015103,0.000139628,0.000125807,0.000114845,0.000105932,9.85345e-05,9.22835e-05,8.52983e-05,7.94767e-05,7.5699e-05,7.17086e-05,6.70778e-05,6.30968e-05,6.07335e-05,5.75464e-05,5.47169e-05,5.13959e-05,4.91838e-05,4.65392e-05,4.475e-05,4.25827e-05,4.06285e-05,3.88551e-05,3.68552e-05,3.54038e-05,3.37487e-05,3.22464e-05,3.08757e-05,2.93811e-05,2.82441e-05,2.69929e-05,2.56687e-05,2.46344e-05,2.35295e-05,2.25207e-05,2.15957e-05,2.0628e-05,1.9744e-05,1.88365e-05,1.80092e-05,1.72518e-05,1.6482e-05,1.57782e-05,1.51322e-05,1.44803e-05,1.38305e-05,1.32366e-05,1.26918e-05,1.21103e-05,1.16161e-05,1.10939e-05,1.06166e-05,1.01788e-05,9.72433e-06,9.30874e-06,8.90587e-06,8.51676e-06,8.16018e-06
